Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Khéphren Thuram,Juventus,2018-2019,17,Monaco,fr FRA,1. Ligue 1,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Khéphren Thuram,Juventus,2019-2020,18,Nice,fr FRA,1. Ligue 1,5th,14,7,590,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,24,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Khéphren Thuram,Juventus,2020-2021,19,Nice,fr FRA,1. Ligue 1,9th,29,17,1494,16.6,2,0,2,2,0,0,3,0,1.0,1.0,0.2,1.2,32,86,17,0.12,0.00,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07,Matches
Khéphren Thuram,Juventus,2021-2022,20,Nice,fr FRA,1. Ligue 1,5th,36,20,1901,21.1,4,2,6,4,0,0,4,0,2.7,2.7,2.3,5.0,65,123,33,0.19,0.09,0.28,0.19,0.28,0.13,0.11,0.24,0.13,0.24,Matches
Khéphren Thuram,Juventus,2022-2023,21,Nice,fr FRA,1. Ligue 1,9th,35,30,2547,28.3,2,4,6,2,0,0,3,0,3.2,3.2,5.1,8.3,92,128,77,0.07,0.14,0.21,0.07,0.21,0.11,0.18,0.29,0.11,0.29,Matches
Khéphren Thuram,Juventus,2023-2024,22,Nice,fr FRA,1. Ligue 1,5th,27,25,2108,23.4,1,1,2,1,0,0,7,0,3.4,3.4,3.7,7.0,67,104,57,0.04,0.04,0.09,0.04,0.09,0.14,0.16,0.30,0.14,0.30,Matches
Khéphren Thuram,Juventus,2024-2025,23,Juventus,it ITA,1. Serie A,4th,35,26,2326,25.8,4,5,9,4,0,0,5,0,3.5,3.5,3.6,7.1,74,123,52,0.15,0.19,0.35,0.15,0.35,0.13,0.14,0.28,0.13,0.28,Matches
Khéphren Thuram,Juventus,2025-2026,24,Juventus,it ITA,1. Serie A,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,9,0,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.30,0.20,0.30,Matches
Khéphren Thuram,Juventus,8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,177,126,11056,122.8,13,12,25,13,0,0,23,0,14.1,14.1,15.1,29.2,336,597,240,0.11,0.10,0.20,0.11,0.20,0.11,0.12,0.24,0.11,0.24,
Khéphren Thuram,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Khéphren Thuram,Juventus,Nice (5 Seasons),Nice (5 Seasons),Nice (5 Seasons),,1 League,,141,99,8640,96.0,9,7,16,9,0,0,18,0,10.4,10.4,11.3,21.7,259,465,188,0.09,0.07,0.17,0.09,0.17,0.11,0.12,0.23,0.11,0.23,
Khéphren Thuram,Juventus,Juventus (2 Seasons),Juventus (2 Seasons),Juventus (2 Seasons),,1 League,,36,27,2416,26.8,4,5,9,4,0,0,5,0,3.7,3.7,3.7,7.4,77,132,52,0.15,0.19,0.34,0.15,0.34,0.14,0.14,0.28,0.14,0.28,
Khéphren Thuram,Juventus,Monaco (1 Season),Monaco (1 Season),Monaco (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khéphren Thuram,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khéphren Thuram,Juventus,Ligue 1 (6 Seasons),Ligue 1 (6 Seasons),Ligue 1 (6 Seasons),,,,141,99,8640,96.0,9,7,16,9,0,0,18,0,10.4,10.4,11.3,21.7,259,465,188,0.09,0.07,0.17,0.09,0.17,0.11,0.12,0.23,0.11,0.23,
Khéphren Thuram,Juventus,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,36,27,2416,26.8,4,5,9,4,0,0,5,0,3.7,3.7,3.7,7.4,77,132,52,0.15,0.19,0.34,0.15,0.34,0.14,0.14,0.28,0.14,0.28,
