Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Manuel Locatelli,Juventus,2014-2015,16,Milan,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manuel Locatelli,Juventus,2015-2016,17,Milan,it ITA,1. Serie A,7th,2,1,94,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Manuel Locatelli,Juventus,2016-2017,18,Milan,it ITA,1. Serie A,6th,25,17,1694,18.8,2,0,2,2,0,0,7,0,,,,,,,,0.11,0.00,0.11,0.11,0.11,,,,,,Matches
Manuel Locatelli,Juventus,2017-2018,19,Milan,it ITA,1. Serie A,6th,21,5,684,7.6,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,18,54,15,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
Manuel Locatelli,Juventus,2018-2019,20,Sassuolo,it ITA,1. Serie A,11th,29,21,1847,20.5,2,4,6,2,0,0,7,0,2.5,2.5,3.5,6.0,36,130,80,0.10,0.19,0.29,0.10,0.29,0.12,0.17,0.29,0.12,0.29,Matches
Manuel Locatelli,Juventus,2019-2020,21,Sassuolo,it ITA,1. Serie A,8th,33,31,2586,28.7,0,5,5,0,0,0,9,0,1.5,1.5,4.6,6.1,63,229,57,0.00,0.17,0.17,0.00,0.17,0.05,0.16,0.21,0.05,0.21,Matches
Manuel Locatelli,Juventus,2020-2021,22,Sassuolo,it ITA,1. Serie A,8th,34,32,2883,32.0,4,2,6,2,2,2,9,0,3.7,2.1,2.8,4.9,48,315,77,0.12,0.06,0.19,0.06,0.12,0.11,0.09,0.20,0.07,0.15,Matches
Manuel Locatelli,Juventus,2021-2022,23,Juventus,it ITA,1. Serie A,4th,31,23,2160,24.0,3,3,6,3,0,0,6,0,2.2,2.2,1.3,3.5,15,147,32,0.12,0.12,0.25,0.12,0.25,0.09,0.06,0.15,0.09,0.15,Matches
Manuel Locatelli,Juventus,2022-2023,24,Juventus,it ITA,1. Serie A,7th,32,29,2446,27.2,0,2,2,0,0,0,8,0,1.5,1.5,1.8,3.2,25,134,37,0.00,0.07,0.07,0.00,0.07,0.05,0.07,0.12,0.05,0.12,Matches
Manuel Locatelli,Juventus,2023-2024,25,Juventus,it ITA,1. Serie A,3rd,36,34,3008,33.4,1,4,5,1,0,0,6,0,1.3,1.3,1.4,2.7,21,232,26,0.03,0.12,0.15,0.03,0.15,0.04,0.04,0.08,0.04,0.08,Matches
Manuel Locatelli,Juventus,2024-2025,26,Juventus,it ITA,1. Serie A,4th,36,34,2822,31.4,2,2,4,1,1,1,9,0,1.8,1.0,2.5,3.5,33,294,33,0.06,0.06,0.13,0.03,0.10,0.06,0.08,0.14,0.03,0.11,Matches
Manuel Locatelli,Juventus,2025-2026,27,Juventus,it ITA,1. Serie A,2nd,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
Manuel Locatelli,Juventus,12 Seasons,12 Seasons,3 Clubs,,1 League,,280,228,20280,225.3,14,22,36,11,3,3,66,0,14.9,12.5,18.3,30.8,260,1542,357,0.06,0.10,0.16,0.05,0.15,0.07,0.09,0.16,0.06,0.15,
Manuel Locatelli,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Manuel Locatelli,Juventus,Juventus (5 Seasons),Juventus (5 Seasons),Juventus (5 Seasons),,1 League,,136,121,10492,116.6,6,11,17,5,1,1,29,0,6.8,6.0,7.1,13.1,95,814,128,0.05,0.09,0.15,0.04,0.14,0.06,0.06,0.12,0.05,0.11,
Manuel Locatelli,Juventus,Milan (4 Seasons),Milan (4 Seasons),Milan (4 Seasons),,1 League,,48,23,2472,27.5,2,0,2,2,0,0,12,0,0.3,0.3,0.4,0.7,18,54,15,0.07,0.00,0.07,0.07,0.07,0.04,0.05,0.09,0.04,0.09,
Manuel Locatelli,Juventus,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,1 League,,96,84,7316,81.3,6,11,17,4,2,2,25,0,7.7,6.2,10.8,17.0,147,674,214,0.07,0.14,0.21,0.05,0.18,0.10,0.13,0.23,0.08,0.21,
