Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Di Gregorio,Juventus,2019-2020,22,Pordenone,it ITA,2. Serie B,4th,33,33,2939,32.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michele Di Gregorio,Juventus,2020-2021,23,Monza,it ITA,2. Serie B,3rd,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michele Di Gregorio,Juventus,2021-2022,24,Monza,it ITA,2. Serie B,4th,37,37,3330,37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Michele Di Gregorio,Juventus,2022-2023,25,Monza,it ITA,1. Serie A,11th,37,37,3330,37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Michele Di Gregorio,Juventus,2023-2024,26,Monza,it ITA,1. Serie A,12th,33,33,2872,31.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michele Di Gregorio,Juventus,2024-2025,27,Juventus,it ITA,1. Serie A,4th,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Michele Di Gregorio,Juventus,2025-2026,28,Juventus,it ITA,1. Serie A,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michele Di Gregorio,Juventus,7 Seasons,7 Seasons,3 Clubs,,2 Leagues,,201,201,17961,199.6,0,2,2,0,0,0,2,0,0.0,0.0,0.5,0.5,0,1,0,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Michele Di Gregorio,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Di Gregorio,Juventus,Monza (4 Seasons),Monza (4 Seasons),Monza (4 Seasons),,2 Leagues,,134,134,11962,132.9,0,2,2,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,
Michele Di Gregorio,Juventus,Juventus (2 Seasons),Juventus (2 Seasons),Juventus (2 Seasons),,1 League,,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,
Michele Di Gregorio,Juventus,Pordenone (1 Season),Pordenone (1 Season),Pordenone (1 Season),,1 League,,33,33,2939,32.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Michele Di Gregorio,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michele Di Gregorio,Juventus,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,104,104,9262,102.9,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,0,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Michele Di Gregorio,Juventus,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,97,97,8699,96.7,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
