Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolás González,Juventus,2017-2018,19,Arg Juniors,ar ARG,1. Liga Argentina,12th,24,22,1926,21.4,7,1,8,7,0,0,4,0,7.2,7.2,1.6,8.9,31,68,151,0.33,0.05,0.37,0.33,0.37,0.34,0.08,0.41,0.34,0.41,Matches
Nicolás González,Juventus,2018-2019,20,Stuttgart,de GER,1. Bundesliga,16th,30,23,2162,24.0,2,3,5,2,0,0,2,1,6.3,6.3,3.9,10.2,62,51,154,0.08,0.12,0.21,0.08,0.21,0.26,0.16,0.42,0.26,0.42,Matches
Nicolás González,Juventus,2019-2020,21,Stuttgart,de GER,2. 2. Bundesliga,2nd,27,21,1860,20.7,14,3,17,10,4,4,8,0,,,,,,,,0.68,0.15,0.82,0.48,0.63,,,,,,Matches
Nicolás González,Juventus,2020-2021,22,Stuttgart,de GER,1. Bundesliga,9th,15,10,934,10.4,6,2,8,3,3,4,5,0,7.4,4.3,2.0,6.3,32,27,65,0.58,0.19,0.77,0.29,0.48,0.71,0.19,0.90,0.41,0.60,Matches
Nicolás González,Juventus,2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,33,26,2357,26.2,7,6,13,4,3,3,4,1,10.1,7.7,4.2,12.0,97,91,210,0.27,0.23,0.50,0.15,0.38,0.39,0.16,0.55,0.30,0.46,Matches
Nicolás González,Juventus,2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,24,13,1354,15.0,6,1,7,4,2,2,3,0,6.7,5.4,1.3,6.7,37,70,112,0.40,0.07,0.47,0.27,0.33,0.45,0.09,0.53,0.36,0.45,Matches
Nicolás González,Juventus,2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,29,21,1913,21.3,12,2,14,11,1,3,1,0,10.4,8.0,1.6,9.6,53,100,190,0.56,0.09,0.66,0.52,0.61,0.49,0.07,0.56,0.38,0.45,Matches
Nicolás González,Juventus,2024-2025,26,Juventus,it ITA,1. Serie A,4th,26,23,1750,19.4,3,2,5,3,0,0,3,0,4.1,4.1,1.1,5.1,35,69,123,0.15,0.10,0.26,0.15,0.26,0.21,0.06,0.26,0.21,0.26,Matches
Nicolás González,Juventus,2025-2026,27,Juventus,it ITA,1. Serie A,2nd,1,0,11,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.92,0.92,0.92,Matches
Nicolás González,Juventus,9 Seasons,9 Seasons,4 Clubs,,4 Leagues,,209,159,14267,158.5,57,20,77,44,13,16,30,2,52.3,43.2,15.7,58.9,347,476,1005,0.36,0.13,0.49,0.28,0.40,0.38,0.11,0.49,0.31,0.43,
Nicolás González,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolás González,Juventus,Fiorentina (3 Seasons),Fiorentina (3 Seasons),Fiorentina (3 Seasons),,1 League,,86,60,5624,62.5,25,9,34,19,6,8,8,1,27.3,21.2,7.1,28.4,187,261,512,0.40,0.14,0.54,0.30,0.45,0.44,0.11,0.55,0.34,0.45,
Nicolás González,Juventus,Stuttgart (3 Seasons),Stuttgart (3 Seasons),Stuttgart (3 Seasons),,2 Leagues,,72,54,4956,55.1,22,8,30,15,7,8,15,1,13.6,10.5,5.9,16.4,94,78,219,0.40,0.15,0.54,0.27,0.42,0.40,0.17,0.57,0.31,0.48,
Nicolás González,Juventus,Juventus (2 Seasons),Juventus (2 Seasons),Juventus (2 Seasons),,1 League,,27,23,1761,19.6,3,2,5,3,0,0,3,0,4.2,4.2,1.1,5.3,35,69,123,0.15,0.10,0.26,0.15,0.26,0.21,0.06,0.27,0.21,0.27,
Nicolás González,Juventus,Arg Juniors (1 Season),Arg Juniors (1 Season),Arg Juniors (1 Season),,1 League,,24,22,1926,21.4,7,1,8,7,0,0,4,0,7.2,7.2,1.6,8.9,31,68,151,0.33,0.05,0.37,0.33,0.37,0.34,0.08,0.41,0.34,0.41,
Nicolás González,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás González,Juventus,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,113,83,7385,82.1,28,11,39,22,6,8,11,1,31.4,25.4,8.2,33.6,222,330,635,0.34,0.13,0.48,0.27,0.40,0.38,0.10,0.48,0.31,0.41,
Nicolás González,Juventus,Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,45,33,3096,34.4,8,5,13,5,3,4,7,1,13.6,10.5,5.9,16.4,94,78,219,0.23,0.15,0.38,0.15,0.29,0.40,0.17,0.57,0.31,0.48,
Nicolás González,Juventus,2. Bundesliga (1 Season),2. Bundesliga (1 Season),2. Bundesliga (1 Season),,,,27,21,1860,20.7,14,3,17,10,4,4,8,0,,,,,,,,0.68,0.15,0.82,0.48,0.63,,,,,,
Nicolás González,Juventus,Liga Argentina (1 Season),Liga Argentina (1 Season),Liga Argentina (1 Season),,,,24,22,1926,21.4,7,1,8,7,0,0,4,0,7.2,7.2,1.6,8.9,31,68,151,0.33,0.05,0.37,0.33,0.37,0.34,0.08,0.41,0.34,0.41,
