Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Christos Mandas,Lazio,2017-2018,15,Atromitos,gr GRE,1. Super League,4th,1,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Christos Mandas,Lazio,2018-2019,16,Atromitos,gr GRE,1. Super League,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Christos Mandas,Lazio,2019-2020,17,Atromitos,gr GRE,1. Super League,8th,12,12,1080,12.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Christos Mandas,Lazio,2020-2021,18,Atromitos,gr GRE,1. Super League,8th,14,12,1182,13.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Christos Mandas,Lazio,2021-2022,19,Atromitos,gr GRE,1. Super League,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Christos Mandas,Lazio,2021-2022,19,OFI Crete,gr GRE,1. Super League,8th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Christos Mandas,Lazio,2022-2023,20,OFI Crete,gr GRE,1. Super League,6th,26,26,2340,26.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Christos Mandas,Lazio,2023-2024,21,OFI Crete,gr GRE,1. Super League,10th,2,2,180,2.0,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.50,0.50,0.00,0.50,,,,,,Matches
Christos Mandas,Lazio,2023-2024,21,Lazio,it ITA,1. Serie A,7th,9,8,721,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christos Mandas,Lazio,2024-2025,22,Lazio,it ITA,1. Serie A,7th,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christos Mandas,Lazio,2025-2026,23,Lazio,it ITA,1. Serie A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Christos Mandas,Lazio,9 Seasons,9 Seasons,3 Clubs,,2 Leagues,,75,71,6508,72.3,0,1,1,0,0,0,4,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
Christos Mandas,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Christos Mandas,Lazio,Atromitos (5 Seasons),Atromitos (5 Seasons),Atromitos (5 Seasons),,1 League,,28,25,2367,26.3,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Christos Mandas,Lazio,OFI Crete (3 Seasons),OFI Crete (3 Seasons),OFI Crete (3 Seasons),,1 League,,29,29,2610,29.0,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,
Christos Mandas,Lazio,Lazio (3 Seasons),Lazio (3 Seasons),Lazio (3 Seasons),,1 League,,18,17,1531,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Christos Mandas,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christos Mandas,Lazio,Super League (7 Seasons),Super League (7 Seasons),Super League (7 Seasons),,,,57,54,4977,55.3,0,1,1,0,0,0,4,0,,,,,,,,0.00,0.02,0.02,0.00,0.02,,,,,,
Christos Mandas,Lazio,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,18,17,1531,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
