Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ivan Provedel,Lazio,2014-2015,20,Perugia,it ITA,2. Serie B,6th,24,23,2132,23.7,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ivan Provedel,Lazio,2015-2016,21,Modena,it ITA,2. Serie B,21st,21,21,1812,20.1,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ivan Provedel,Lazio,2016-2017,22,Pro Vercelli,it ITA,2. Serie B,17th,40,40,3565,39.6,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ivan Provedel,Lazio,2017-2018,23,Empoli,it ITA,2. Serie B,1st,23,23,2070,23.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ivan Provedel,Lazio,2018-2019,24,Empoli,it ITA,1. Serie A,18th,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Ivan Provedel,Lazio,2019-2020,25,Juve Stabia,it ITA,2. Serie B,19th,18,18,1620,18.0,1,0,1,1,0,0,0,0,0.7,0.7,0.9,1.6,0,0,0,0.06,0.00,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,Matches
Ivan Provedel,Lazio,2019-2020,25,Empoli,it ITA,2. Serie B,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ivan Provedel,Lazio,2020-2021,26,Empoli,it ITA,2. Serie B,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ivan Provedel,Lazio,2020-2021,26,Spezia,it ITA,1. Serie A,15th,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Provedel,Lazio,2021-2022,27,Spezia,it ITA,1. Serie A,16th,31,31,2761,30.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Provedel,Lazio,2022-2023,28,Lazio,it ITA,1. Serie A,2nd,38,37,3413,37.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Provedel,Lazio,2023-2024,29,Lazio,it ITA,1. Serie A,7th,30,30,2699,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Provedel,Lazio,2024-2025,30,Lazio,it ITA,1. Serie A,7th,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Ivan Provedel,Lazio,2025-2026,31,Lazio,it ITA,1. Serie A,17th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ivan Provedel,Lazio,12 Seasons,12 Seasons,7 Clubs,,2 Leagues,,300,298,26822,298.0,1,0,1,1,0,0,6,3,0.7,0.7,1.4,2.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,
Ivan Provedel,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ivan Provedel,Lazio,Lazio (4 Seasons),Lazio (4 Seasons),Lazio (4 Seasons),,1 League,,98,97,8812,97.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Ivan Provedel,Lazio,Empoli (4 Seasons),Empoli (4 Seasons),Empoli (4 Seasons),,2 Leagues,,39,39,3510,39.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,
Ivan Provedel,Lazio,Spezia (2 Seasons),Spezia (2 Seasons),Spezia (2 Seasons),,1 League,,60,60,5371,59.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Ivan Provedel,Lazio,Pro Vercelli (1 Season),Pro Vercelli (1 Season),Pro Vercelli (1 Season),,1 League,,40,40,3565,39.6,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Ivan Provedel,Lazio,Perugia (1 Season),Perugia (1 Season),Perugia (1 Season),,1 League,,24,23,2132,23.7,0,0,0,0,0,0,0,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Ivan Provedel,Lazio,Modena (1 Season),Modena (1 Season),Modena (1 Season),,1 League,,21,21,1812,20.1,0,0,0,0,0,0,1,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Ivan Provedel,Lazio,Juve Stabia (1 Season),Juve Stabia (1 Season),Juve Stabia (1 Season),,1 League,,18,18,1620,18.0,1,0,1,1,0,0,0,0,0.7,0.7,0.9,1.6,0,0,0,0.06,0.00,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,
Ivan Provedel,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Provedel,Lazio,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,174,173,15623,173.6,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Ivan Provedel,Lazio,Serie B (6 Seasons),Serie B (6 Seasons),Serie B (6 Seasons),,,,126,125,11199,124.4,1,0,1,1,0,0,2,3,0.7,0.7,0.9,1.6,0,0,0,0.01,0.00,0.01,0.01,0.01,0.04,0.05,0.09,0.04,0.09,
