Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luca Pellegrini,Lazio,2016-2017,17,Roma,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Pellegrini,Lazio,2017-2018,18,Roma,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Pellegrini,Lazio,2018-2019,19,Roma,it ITA,1. Serie A,6th,4,2,161,1.8,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,5,12,9,0.00,0.56,0.56,0.00,0.56,0.00,0.21,0.21,0.00,0.21,Matches
Luca Pellegrini,Lazio,2018-2019,19,Cagliari,it ITA,1. Serie A,15th,12,11,940,10.4,0,1,1,0,0,0,3,1,0.0,0.0,0.9,0.9,32,25,45,0.00,0.10,0.10,0.00,0.10,0.00,0.08,0.09,0.00,0.09,Matches
Luca Pellegrini,Lazio,2019-2020,20,Cagliari,it ITA,1. Serie A,14th,24,22,1908,21.2,0,5,5,0,0,0,10,0,0.8,0.8,2.4,3.2,63,62,99,0.00,0.24,0.24,0.00,0.24,0.04,0.12,0.15,0.04,0.15,Matches
Luca Pellegrini,Lazio,2020-2021,21,Genoa,it ITA,1. Serie A,11th,11,7,639,7.1,0,1,1,0,0,0,2,0,0.1,0.1,1.6,1.7,23,13,47,0.00,0.14,0.14,0.00,0.14,0.02,0.23,0.25,0.02,0.25,Matches
Luca Pellegrini,Lazio,2021-2022,22,Juventus,it ITA,1. Serie A,4th,18,15,1107,12.3,0,1,1,0,0,0,6,0,0.3,0.3,1.7,2.0,21,35,41,0.00,0.08,0.08,0.00,0.08,0.02,0.14,0.16,0.02,0.16,Matches
Luca Pellegrini,Lazio,2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,9,7,557,6.2,0,0,0,0,0,0,1,0,0.6,0.6,0.8,1.4,19,22,28,0.00,0.00,0.00,0.00,0.00,0.09,0.14,0.23,0.09,0.23,Matches
Luca Pellegrini,Lazio,2022-2023,23,Lazio,it ITA,1. Serie A,2nd,7,1,180,2.0,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,7,9,11,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Matches
Luca Pellegrini,Lazio,2023-2024,24,Lazio,it ITA,1. Serie A,7th,19,8,786,8.7,1,0,1,1,0,0,7,1,0.2,0.2,0.3,0.5,18,46,30,0.11,0.00,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06,Matches
Luca Pellegrini,Lazio,2024-2025,25,Lazio,it ITA,1. Serie A,7th,22,10,1067,11.9,0,4,4,0,0,0,5,0,0.7,0.7,1.8,2.4,21,72,61,0.00,0.34,0.34,0.00,0.34,0.06,0.15,0.20,0.06,0.20,Matches
Luca Pellegrini,Lazio,2025-2026,26,Lazio,it ITA,1. Serie A,17th,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,Matches
Luca Pellegrini,Lazio,10 Seasons,10 Seasons,6 Clubs,,2 Leagues,,127,83,7370,81.9,1,13,14,1,0,0,39,2,2.8,2.8,10.2,13.0,209,297,371,0.01,0.16,0.17,0.01,0.17,0.03,0.12,0.16,0.03,0.16,
Luca Pellegrini,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
