Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Manuel Lazzari,Lazio,2016-2017,22,SPAL,it ITA,2. Serie B,1st,39,38,3328,37.0,0,6,6,0,0,0,10,0,,,,,,,,0.00,0.16,0.16,0.00,0.16,,,,,,Matches
Manuel Lazzari,Lazio,2017-2018,23,SPAL,it ITA,1. Serie A,17th,36,36,3116,34.6,2,1,3,2,0,0,4,0,1.2,1.2,2.0,3.2,212,81,239,0.06,0.03,0.09,0.06,0.09,0.03,0.06,0.09,0.03,0.09,Matches
Manuel Lazzari,Lazio,2018-2019,24,SPAL,it ITA,1. Serie A,13th,33,33,2835,31.5,0,8,8,0,0,0,7,0,1.4,1.4,5.9,7.4,239,68,234,0.00,0.25,0.25,0.00,0.25,0.05,0.19,0.23,0.05,0.23,Matches
Manuel Lazzari,Lazio,2019-2020,25,Lazio,it ITA,1. Serie A,4th,32,29,2548,28.3,0,3,3,0,0,0,6,0,1.3,1.3,3.2,4.5,140,39,267,0.00,0.11,0.11,0.00,0.11,0.05,0.11,0.16,0.05,0.16,Matches
Manuel Lazzari,Lazio,2020-2021,26,Lazio,it ITA,1. Serie A,6th,32,30,2613,29.0,2,5,7,2,0,0,2,1,2.1,2.1,3.4,5.6,130,37,202,0.07,0.17,0.24,0.07,0.24,0.07,0.12,0.19,0.07,0.19,Matches
Manuel Lazzari,Lazio,2021-2022,27,Lazio,it ITA,1. Serie A,5th,31,16,1665,18.5,3,3,6,3,0,0,3,0,0.8,0.8,2.1,2.8,80,50,107,0.16,0.16,0.32,0.16,0.32,0.04,0.11,0.15,0.04,0.15,Matches
Manuel Lazzari,Lazio,2022-2023,28,Lazio,it ITA,1. Serie A,2nd,28,22,1879,20.9,0,0,0,0,0,0,8,0,0.3,0.3,0.7,1.0,98,64,74,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Manuel Lazzari,Lazio,2023-2024,29,Lazio,it ITA,1. Serie A,7th,24,19,1671,18.6,0,2,2,0,0,0,4,1,1.0,1.0,1.3,2.3,73,62,104,0.00,0.11,0.11,0.00,0.11,0.06,0.07,0.13,0.06,0.13,Matches
Manuel Lazzari,Lazio,2024-2025,30,Lazio,it ITA,1. Serie A,7th,25,16,1406,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.3,1.4,72,66,96,0.00,0.06,0.06,0.00,0.06,0.01,0.08,0.09,0.01,0.09,Matches
Manuel Lazzari,Lazio,2025-2026,31,Lazio,it ITA,1. Serie A,17th,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Lazzari,Lazio,10 Seasons,10 Seasons,2 Clubs,,2 Leagues,,281,240,21121,234.7,7,29,36,7,0,0,47,2,8.3,8.3,19.9,28.2,1045,469,1323,0.03,0.12,0.15,0.03,0.15,0.04,0.10,0.14,0.04,0.14,
Manuel Lazzari,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Manuel Lazzari,Lazio,Lazio (7 Seasons),Lazio (7 Seasons),Lazio (7 Seasons),,1 League,,173,133,11842,131.6,5,14,19,5,0,0,26,2,5.7,5.7,12.0,17.7,594,320,850,0.04,0.11,0.14,0.04,0.14,0.04,0.09,0.13,0.04,0.13,
Manuel Lazzari,Lazio,SPAL (3 Seasons),SPAL (3 Seasons),SPAL (3 Seasons),,2 Leagues,,108,107,9279,103.1,2,15,17,2,0,0,21,0,2.6,2.6,7.9,10.6,451,149,473,0.02,0.15,0.16,0.02,0.16,0.04,0.12,0.16,0.04,0.16,
Manuel Lazzari,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Lazzari,Lazio,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,242,202,17793,197.7,7,23,30,7,0,0,37,2,8.3,8.3,19.9,28.2,1045,469,1323,0.04,0.12,0.15,0.04,0.15,0.04,0.10,0.14,0.04,0.14,
Manuel Lazzari,Lazio,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,39,38,3328,37.0,0,6,6,0,0,0,10,0,,,,,,,,0.00,0.16,0.16,0.00,0.16,,,,,,
