Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Zaccagni,Lazio,2015-2016,20,Hellas Verona,it ITA,1. Serie A,20th,3,0,52,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mattia Zaccagni,Lazio,2016-2017,21,Hellas Verona,it ITA,2. Serie B,2nd,26,13,1355,15.1,2,2,4,2,0,0,5,1,,,,,,,,0.13,0.13,0.27,0.13,0.27,,,,,,Matches
Mattia Zaccagni,Lazio,2017-2018,22,Hellas Verona,it ITA,1. Serie A,19th,6,2,152,1.7,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,6,6,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,Matches
Mattia Zaccagni,Lazio,2018-2019,23,Hellas Verona,it ITA,2. Serie B,5th,29,22,1919,21.3,3,1,4,3,0,0,4,0,3.3,3.3,3.3,6.6,104,117,119,0.14,0.05,0.19,0.14,0.19,0.15,0.15,0.31,0.15,0.31,Matches
Mattia Zaccagni,Lazio,2019-2020,24,Hellas Verona,it ITA,1. Serie A,9th,34,26,2114,23.5,2,5,7,2,0,0,5,0,4.0,4.0,4.1,8.1,98,89,225,0.09,0.21,0.30,0.09,0.30,0.17,0.18,0.35,0.17,0.35,Matches
Mattia Zaccagni,Lazio,2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,36,33,2609,29.0,5,5,10,4,1,1,6,0,3.2,2.4,5.7,8.2,118,112,299,0.17,0.17,0.34,0.14,0.31,0.11,0.20,0.31,0.09,0.29,Matches
Mattia Zaccagni,Lazio,2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,2,2,180,2.0,2,0,2,1,1,1,0,0,1.1,0.3,1.1,1.4,10,10,20,1.00,0.00,1.00,0.50,0.50,0.56,0.54,1.10,0.17,0.70,Matches
Mattia Zaccagni,Lazio,2021-2022,26,Lazio,it ITA,1. Serie A,5th,29,21,1876,20.8,4,5,9,4,0,0,6,0,3.2,3.2,2.9,6.1,85,55,211,0.19,0.24,0.43,0.19,0.43,0.15,0.14,0.29,0.15,0.29,Matches
Mattia Zaccagni,Lazio,2022-2023,27,Lazio,it ITA,1. Serie A,2nd,35,33,2770,30.8,10,6,16,9,1,1,9,0,6.7,5.9,4.5,10.4,118,76,282,0.32,0.19,0.52,0.29,0.49,0.22,0.15,0.36,0.19,0.34,Matches
Mattia Zaccagni,Lazio,2023-2024,28,Lazio,it ITA,1. Serie A,7th,28,24,1956,21.7,6,1,7,6,0,0,8,0,4.7,4.7,2.9,7.6,88,55,209,0.28,0.05,0.32,0.28,0.32,0.22,0.13,0.35,0.22,0.35,Matches
Mattia Zaccagni,Lazio,2024-2025,29,Lazio,it ITA,1. Serie A,7th,34,33,2686,29.8,8,6,14,6,2,2,10,0,6.4,4.9,4.6,9.5,91,114,264,0.27,0.20,0.47,0.20,0.40,0.22,0.15,0.37,0.16,0.32,Matches
Mattia Zaccagni,Lazio,2025-2026,30,Lazio,it ITA,1. Serie A,17th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Mattia Zaccagni,Lazio,11 Seasons,11 Seasons,2 Clubs,,2 Leagues,,263,210,17759,197.3,42,31,73,37,5,5,55,1,33.2,29.2,29.1,58.3,714,636,1638,0.21,0.16,0.37,0.19,0.34,0.18,0.16,0.34,0.16,0.32,
Mattia Zaccagni,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Zaccagni,Lazio,Hellas Verona (7 Seasons),Hellas Verona (7 Seasons),Hellas Verona (7 Seasons),,2 Leagues,,136,98,8381,93.1,14,13,27,12,2,2,21,1,12.2,10.6,14.2,24.8,332,334,669,0.15,0.14,0.29,0.13,0.27,0.16,0.18,0.34,0.14,0.32,
Mattia Zaccagni,Lazio,Lazio (5 Seasons),Lazio (5 Seasons),Lazio (5 Seasons),,1 League,,127,112,9378,104.2,28,18,46,25,3,3,34,0,21.0,18.7,14.9,33.5,382,302,969,0.27,0.17,0.44,0.24,0.41,0.20,0.14,0.34,0.18,0.32,
Mattia Zaccagni,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattia Zaccagni,Lazio,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,208,175,14485,160.9,37,28,65,32,5,5,46,0,29.9,26.0,25.8,51.7,610,519,1519,0.23,0.17,0.40,0.20,0.37,0.19,0.16,0.35,0.16,0.32,
