Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Rovella,Lazio,2018-2019,16,Genoa,it ITA,1. Serie A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Rovella,Lazio,2019-2020,17,Genoa,it ITA,1. Serie A,17th,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Nicolò Rovella,Lazio,2020-2021,18,Genoa,it ITA,1. Serie A,11th,20,12,1187,13.2,0,2,2,0,0,0,4,0,0.9,0.9,1.6,2.4,15,59,7,0.00,0.15,0.15,0.00,0.15,0.07,0.12,0.18,0.07,0.18,Matches
Nicolò Rovella,Lazio,2021-2022,19,Genoa,it ITA,1. Serie A,19th,21,16,1468,16.3,0,3,3,0,0,0,5,0,0.7,0.7,2.3,3.0,31,84,34,0.00,0.18,0.18,0.00,0.18,0.04,0.14,0.18,0.04,0.18,Matches
Nicolò Rovella,Lazio,2022-2023,20,Monza,it ITA,1. Serie A,11th,25,21,1740,19.3,1,2,3,1,0,0,5,1,1.2,1.2,2.2,3.4,26,99,19,0.05,0.10,0.16,0.05,0.16,0.06,0.11,0.18,0.06,0.18,Matches
Nicolò Rovella,Lazio,2022-2023,20,Juventus,it ITA,1. Serie A,7th,3,0,27,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches
Nicolò Rovella,Lazio,2023-2024,21,Lazio,it ITA,1. Serie A,7th,23,16,1318,14.6,0,2,2,0,0,0,6,0,0.6,0.6,0.5,1.1,21,56,11,0.00,0.14,0.14,0.00,0.14,0.04,0.03,0.08,0.04,0.08,Matches
Nicolò Rovella,Lazio,2024-2025,22,Lazio,it ITA,1. Serie A,7th,33,31,2718,30.2,0,3,3,0,0,0,13,0,1.5,1.5,2.2,3.7,45,159,42,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.12,0.05,0.12,Matches
Nicolò Rovella,Lazio,2025-2026,23,Lazio,it ITA,1. Serie A,17th,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nicolò Rovella,Lazio,8 Seasons,8 Seasons,4 Clubs,,1 League,,128,97,8588,95.4,1,12,13,1,0,0,34,1,5.0,5.0,8.7,13.7,141,461,117,0.01,0.13,0.14,0.01,0.14,0.05,0.09,0.14,0.05,0.14,
Nicolò Rovella,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolò Rovella,Lazio,Genoa (4 Seasons),Genoa (4 Seasons),Genoa (4 Seasons),,1 League,,43,29,2760,30.7,0,5,5,0,0,0,9,0,1.6,1.6,3.8,5.4,47,146,43,0.00,0.16,0.16,0.00,0.16,0.05,0.13,0.18,0.05,0.18,
Nicolò Rovella,Lazio,Lazio (3 Seasons),Lazio (3 Seasons),Lazio (3 Seasons),,1 League,,57,47,4061,45.1,0,5,5,0,0,0,19,0,2.1,2.1,2.7,4.8,67,215,53,0.00,0.11,0.11,0.00,0.11,0.05,0.06,0.11,0.05,0.11,
Nicolò Rovella,Lazio,Monza (1 Season),Monza (1 Season),Monza (1 Season),,1 League,,25,21,1740,19.3,1,2,3,1,0,0,5,1,1.2,1.2,2.2,3.4,26,99,19,0.05,0.10,0.16,0.05,0.16,0.06,0.11,0.18,0.06,0.18,
Nicolò Rovella,Lazio,Juventus (1 Season),Juventus (1 Season),Juventus (1 Season),,1 League,,3,0,27,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,
