Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nuno Tavares,Lazio,2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,11,10,927,10.3,1,4,5,1,0,0,2,0,0.5,0.5,2.6,3.1,29,43,107,0.10,0.39,0.49,0.10,0.49,0.05,0.26,0.30,0.05,0.30,Matches
Nuno Tavares,Lazio,2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,14,7,633,7.0,0,0,0,0,0,0,3,0,0.4,0.4,1.0,1.4,24,39,69,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.20,0.05,0.20,Matches
Nuno Tavares,Lazio,2021-2022,21,Arsenal,eng ENG,1. Premier League,5th,22,13,1176,13.1,1,1,2,1,0,0,2,0,1.9,1.9,1.1,2.9,47,42,91,0.08,0.08,0.15,0.08,0.15,0.14,0.08,0.22,0.14,0.22,Matches
Nuno Tavares,Lazio,2022-2023,22,Marseille,fr FRA,1. Ligue 1,3rd,31,23,2349,26.1,6,0,6,6,0,0,6,1,4.5,4.5,2.6,7.1,96,115,245,0.23,0.00,0.23,0.23,0.23,0.17,0.10,0.27,0.17,0.27,Matches
Nuno Tavares,Lazio,2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14,24,12,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches
Nuno Tavares,Lazio,2024-2025,24,Lazio,it ITA,1. Serie A,7th,23,22,1686,18.7,0,8,8,0,0,0,4,1,1.1,1.1,4.8,5.9,98,111,100,0.00,0.43,0.43,0.00,0.43,0.06,0.26,0.32,0.06,0.32,Matches
Nuno Tavares,Lazio,2025-2026,25,Lazio,it ITA,1. Serie A,17th,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,2,4,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Nuno Tavares,Lazio,7 Seasons,7 Seasons,5 Clubs,,4 Leagues,,110,81,7293,81.0,8,13,21,8,0,0,19,2,8.5,8.5,12.7,21.2,310,376,628,0.10,0.16,0.26,0.10,0.26,0.10,0.16,0.26,0.10,0.26,
Nuno Tavares,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
