Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Oliver Nielsen,Lazio,2021-2022,18,Vejle BK,dk DEN,1. Danish Superliga,11th,5,3,316,3.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Oliver Nielsen,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Nielsen,Lazio,2023-2024,20,Vejle BK,dk DEN,1. Danish Superliga,9th,32,32,2880,32.0,1,0,1,1,0,0,4,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,Matches
Oliver Nielsen,Lazio,2024-2025,21,Vejle BK,dk DEN,1. Danish Superliga,10th,16,16,1440,16.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Oliver Nielsen,Lazio,2024-2025,21,Lazio,it ITA,1. Serie A,7th,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Nielsen,Lazio,2025-2026,22,Lazio,it ITA,1. Serie A,17th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Nielsen,Lazio,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,56,52,4761,52.9,1,0,1,1,0,0,7,0,0.0,0.0,0.0,0.0,1,1,0,0.02,0.00,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.00,
Oliver Nielsen,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Oliver Nielsen,Lazio,Vejle BK (3 Seasons),Vejle BK (3 Seasons),Vejle BK (3 Seasons),,1 League,,53,51,4636,51.5,1,0,1,1,0,0,6,0,,,,,,,,0.02,0.00,0.02,0.02,0.02,,,,,,
Oliver Nielsen,Lazio,Lazio (2 Seasons),Lazio (2 Seasons),Lazio (2 Seasons),,1 League,,3,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Oliver Nielsen,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Nielsen,Lazio,Danish Superliga (3 Seasons),Danish Superliga (3 Seasons),Danish Superliga (3 Seasons),,,,53,51,4636,51.5,1,0,1,1,0,0,6,0,,,,,,,,0.02,0.00,0.02,0.02,0.02,,,,,,
Oliver Nielsen,Lazio,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,3,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
