Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pedro,Lazio,2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,2,0,19,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pedro,Lazio,2008-2009,21,Barcelona,es ESP,1. La Liga,1st,6,4,355,3.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pedro,Lazio,2009-2010,22,Barcelona,es ESP,1. La Liga,1st,34,22,2087,23.2,12,2,14,12,0,0,2,0,,,,,,,,0.52,0.09,0.60,0.52,0.60,,,,,,Matches
Pedro,Lazio,2010-2011,23,Barcelona,es ESP,1. La Liga,1st,33,24,2126,23.6,13,9,22,13,0,0,2,0,,,,,,,,0.55,0.38,0.93,0.55,0.93,,,,,,Matches
Pedro,Lazio,2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,29,20,1621,18.0,5,3,8,5,0,0,4,0,,,,,,,,0.28,0.17,0.44,0.28,0.44,,,,,,Matches
Pedro,Lazio,2012-2013,25,Barcelona,es ESP,1. La Liga,1st,28,23,2066,23.0,7,7,14,7,0,0,3,0,,,,,,,,0.30,0.30,0.61,0.30,0.61,,,,,,Matches
Pedro,Lazio,2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,37,28,2349,26.1,15,8,23,15,0,0,3,0,,,,,,,,0.57,0.31,0.88,0.57,0.88,,,,,,Matches
Pedro,Lazio,2014-2015,27,Barcelona,es ESP,1. La Liga,1st,35,15,1555,17.3,6,6,12,6,0,0,3,0,,,,,,,,0.35,0.35,0.69,0.35,0.69,,,,,,Matches
Pedro,Lazio,2015-2016,28,Chelsea,eng ENG,1. Premier League,10th,29,24,2033,22.6,7,3,10,7,0,0,3,0,,,,,,,,0.31,0.13,0.44,0.31,0.44,,,,,,Matches
Pedro,Lazio,2016-2017,29,Chelsea,eng ENG,1. Premier League,1st,35,26,2140,23.8,9,9,18,9,0,0,6,0,,,,,,,,0.38,0.38,0.76,0.38,0.76,,,,,,Matches
Pedro,Lazio,2017-2018,30,Chelsea,eng ENG,1. Premier League,5th,31,17,1523,16.9,4,2,6,4,0,0,1,0,3.0,3.0,1.3,4.3,66,56,135,0.24,0.12,0.35,0.24,0.35,0.18,0.07,0.25,0.18,0.25,Matches
Pedro,Lazio,2018-2019,31,Chelsea,eng ENG,1. Premier League,3rd,31,21,1778,19.8,8,2,10,8,0,0,2,0,5.3,5.3,3.5,8.8,63,94,202,0.40,0.10,0.51,0.40,0.51,0.27,0.18,0.45,0.27,0.45,Matches
Pedro,Lazio,2019-2020,32,Chelsea,eng ENG,1. Premier League,4th,11,8,661,7.3,1,1,2,1,0,0,1,0,2.0,2.0,0.9,2.9,24,41,52,0.14,0.14,0.27,0.14,0.27,0.27,0.13,0.40,0.27,0.40,Matches
Pedro,Lazio,2020-2021,33,Roma,it ITA,1. Serie A,7th,27,20,1591,17.7,5,2,7,5,0,0,5,1,4.2,4.2,3.1,7.3,50,65,122,0.28,0.11,0.40,0.28,0.40,0.25,0.19,0.44,0.25,0.44,Matches
Pedro,Lazio,2021-2022,34,Lazio,it ITA,1. Serie A,5th,32,25,2033,22.6,9,4,13,9,0,0,5,0,4.7,4.7,3.3,8.0,84,102,147,0.40,0.18,0.58,0.40,0.58,0.21,0.14,0.35,0.21,0.35,Matches
Pedro,Lazio,2022-2023,35,Lazio,it ITA,1. Serie A,2nd,36,17,1898,21.1,4,3,7,4,0,0,1,0,3.4,3.4,2.6,6.1,64,52,144,0.19,0.14,0.33,0.19,0.33,0.16,0.13,0.29,0.16,0.29,Matches
Pedro,Lazio,2023-2024,36,Lazio,it ITA,1. Serie A,7th,33,5,816,9.1,1,1,2,1,0,0,4,0,1.5,1.5,2.1,3.6,31,33,81,0.11,0.11,0.22,0.11,0.22,0.17,0.23,0.39,0.17,0.39,Matches
Pedro,Lazio,2024-2025,37,Lazio,it ITA,1. Serie A,7th,30,6,1102,12.2,10,1,11,8,2,2,2,0,5.3,3.8,1.7,5.4,48,76,89,0.82,0.08,0.90,0.65,0.74,0.44,0.14,0.57,0.31,0.44,Matches
Pedro,Lazio,2025-2026,38,Lazio,it ITA,1. Serie A,17th,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Pedro,Lazio,19 Seasons,19 Seasons,4 Clubs,,3 Leagues,,500,305,27783,308.7,116,63,179,114,2,2,47,1,29.6,28.0,18.4,46.5,430,519,972,0.38,0.20,0.58,0.37,0.57,0.23,0.15,0.38,0.22,0.37,
Pedro,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pedro,Lazio,Barcelona (8 Seasons),Barcelona (8 Seasons),Barcelona (8 Seasons),,1 League,,204,136,12178,135.3,58,35,93,58,0,0,17,0,,,,,,,,0.43,0.26,0.69,0.43,0.69,,,,,,
Pedro,Lazio,Chelsea (5 Seasons),Chelsea (5 Seasons),Chelsea (5 Seasons),,1 League,,137,96,8135,90.4,29,17,46,29,0,0,13,0,10.4,10.4,5.7,16.0,153,191,389,0.32,0.19,0.51,0.32,0.51,0.24,0.13,0.36,0.24,0.36,
Pedro,Lazio,Lazio (5 Seasons),Lazio (5 Seasons),Lazio (5 Seasons),,1 League,,132,53,5879,65.3,24,9,33,22,2,2,12,0,15.0,13.5,9.6,23.1,227,263,461,0.37,0.14,0.51,0.34,0.47,0.23,0.15,0.38,0.21,0.35,
Pedro,Lazio,Roma (1 Season),Roma (1 Season),Roma (1 Season),,1 League,,27,20,1591,17.7,5,2,7,5,0,0,5,1,4.2,4.2,3.1,7.3,50,65,122,0.28,0.11,0.40,0.28,0.40,0.25,0.19,0.44,0.25,0.44,
Pedro,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro,Lazio,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,204,136,12178,135.3,58,35,93,58,0,0,17,0,,,,,,,,0.43,0.26,0.69,0.43,0.69,,,,,,
Pedro,Lazio,Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,159,73,7470,83.0,29,11,40,27,2,2,17,1,19.2,17.7,12.8,30.4,277,328,583,0.35,0.13,0.48,0.33,0.46,0.23,0.16,0.39,0.22,0.37,
Pedro,Lazio,Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,137,96,8135,90.4,29,17,46,29,0,0,13,0,10.4,10.4,5.7,16.0,153,191,389,0.32,0.19,0.51,0.32,0.51,0.24,0.13,0.36,0.24,0.36,
