Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Reda Belahyane,Lazio,2022-2023,18,Nice,fr FRA,1. Ligue 1,9th,4,1,182,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,10,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Reda Belahyane,Lazio,2023-2024,19,Nice,fr FRA,1. Ligue 1,5th,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Reda Belahyane,Lazio,2023-2024,19,Hellas Verona,it ITA,1. Serie A,13th,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Reda Belahyane,Lazio,2024-2025,20,Hellas Verona,it ITA,1. Serie A,14th,22,17,1658,18.4,0,2,2,0,0,0,6,1,0.2,0.2,1.0,1.3,22,73,13,0.00,0.11,0.11,0.00,0.11,0.01,0.06,0.07,0.01,0.07,Matches
Reda Belahyane,Lazio,2024-2025,20,Lazio,it ITA,1. Serie A,7th,6,1,198,2.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Reda Belahyane,Lazio,2025-2026,21,Lazio,it ITA,1. Serie A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Reda Belahyane,Lazio,4 Seasons,4 Seasons,3 Clubs,,2 Leagues,,35,20,2155,23.9,0,2,2,0,0,0,6,2,0.3,0.3,1.1,1.4,31,98,17,0.00,0.08,0.08,0.00,0.08,0.01,0.04,0.06,0.01,0.06,
Reda Belahyane,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Reda Belahyane,Lazio,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,24,18,1748,19.4,0,2,2,0,0,0,6,1,0.3,0.3,1.0,1.3,23,77,15,0.00,0.10,0.10,0.00,0.10,0.01,0.05,0.07,0.01,0.07,
Reda Belahyane,Lazio,Lazio (2 Seasons),Lazio (2 Seasons),Lazio (2 Seasons),,1 League,,6,1,198,2.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Reda Belahyane,Lazio,Nice (2 Seasons),Nice (2 Seasons),Nice (2 Seasons),,1 League,,5,1,209,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,11,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,
Reda Belahyane,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reda Belahyane,Lazio,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,30,19,1946,21.6,0,2,2,0,0,0,6,2,0.3,0.3,1.0,1.3,27,87,16,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.06,0.01,0.06,
Reda Belahyane,Lazio,Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,5,1,209,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,11,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,
