Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tijjani Noslin,Lazio,2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,24,8,815,9.1,1,0,1,1,0,0,0,0,1.9,1.9,0.2,2.2,18,11,64,0.11,0.00,0.11,0.11,0.11,0.21,0.02,0.24,0.21,0.24,Matches
Tijjani Noslin,Lazio,2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,31,18,1609,17.9,5,2,7,5,0,0,3,0,2.9,2.9,3.3,6.2,51,30,109,0.28,0.11,0.39,0.28,0.39,0.16,0.19,0.35,0.16,0.35,Matches
Tijjani Noslin,Lazio,2023-2024,24,Fortuna Sittard,nl NED,1. Eredivisie,10th,13,13,1020,11.3,3,1,4,3,0,1,2,1,4.1,3.3,0.6,4.0,34,24,78,0.26,0.09,0.35,0.26,0.35,0.36,0.05,0.42,0.29,0.35,Matches
Tijjani Noslin,Lazio,2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,17,17,1339,14.9,5,4,9,5,0,0,2,0,3.6,3.6,2.2,5.8,29,26,94,0.34,0.27,0.60,0.34,0.60,0.24,0.14,0.39,0.24,0.39,Matches
Tijjani Noslin,Lazio,2024-2025,25,Lazio,it ITA,1. Serie A,7th,30,8,861,9.6,2,2,4,2,0,0,2,0,2.0,2.0,1.6,3.6,13,16,56,0.21,0.21,0.42,0.21,0.42,0.21,0.17,0.38,0.21,0.38,Matches
Tijjani Noslin,Lazio,2025-2026,26,Lazio,it ITA,1. Serie A,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tijjani Noslin,Lazio,5 Seasons,5 Seasons,3 Clubs,,2 Leagues,,115,64,5644,62.7,16,9,25,16,0,1,9,1,14.6,13.8,7.9,21.7,145,107,401,0.26,0.14,0.40,0.26,0.40,0.23,0.13,0.36,0.22,0.35,
Tijjani Noslin,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tijjani Noslin,Lazio,Fortuna Sittard (3 Seasons),Fortuna Sittard (3 Seasons),Fortuna Sittard (3 Seasons),,1 League,,68,39,3444,38.3,9,3,12,9,0,1,5,1,8.9,8.2,4.2,12.3,103,65,251,0.24,0.08,0.31,0.24,0.31,0.23,0.11,0.34,0.21,0.32,
Tijjani Noslin,Lazio,Lazio (2 Seasons),Lazio (2 Seasons),Lazio (2 Seasons),,1 League,,30,8,861,9.6,2,2,4,2,0,0,2,0,2.0,2.0,1.6,3.6,13,16,56,0.21,0.21,0.42,0.21,0.42,0.21,0.17,0.38,0.21,0.38,
Tijjani Noslin,Lazio,Hellas Verona (1 Season),Hellas Verona (1 Season),Hellas Verona (1 Season),,1 League,,17,17,1339,14.9,5,4,9,5,0,0,2,0,3.6,3.6,2.2,5.8,29,26,94,0.34,0.27,0.60,0.34,0.60,0.24,0.14,0.39,0.24,0.39,
Tijjani Noslin,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tijjani Noslin,Lazio,Eredivisie (3 Seasons),Eredivisie (3 Seasons),Eredivisie (3 Seasons),,,,68,39,3444,38.3,9,3,12,9,0,1,5,1,8.9,8.2,4.2,12.3,103,65,251,0.24,0.08,0.31,0.24,0.31,0.23,0.11,0.34,0.21,0.32,
Tijjani Noslin,Lazio,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,47,25,2200,24.4,7,6,13,7,0,0,4,0,5.6,5.6,3.7,9.4,42,42,150,0.29,0.25,0.53,0.29,0.53,0.23,0.15,0.38,0.23,0.38,
