Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Toma Bašić,Lazio,2015-2016,18,Hajduk Split,hr CRO,1. 1. HNL,3rd,4,2,148,1.6,1,0,1,1,0,0,0,0,,,,,,,,0.61,0.00,0.61,0.61,0.61,,,,,,Matches
Toma Bašić,Lazio,2016-2017,19,Hajduk Split,hr CRO,1. 1. HNL,3rd,28,17,1604,17.8,5,4,9,5,0,0,6,0,,,,,,,,0.28,0.22,0.50,0.28,0.50,,,,,,Matches
Toma Bašić,Lazio,2017-2018,20,Hajduk Split,hr CRO,1. 1. HNL,3rd,27,23,1915,21.3,3,3,6,3,0,0,3,0,,,,,,,,0.14,0.14,0.28,0.14,0.28,,,,,,Matches
Toma Bašić,Lazio,2018-2019,21,Hajduk Split,hr CRO,1. 1. HNL,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Toma Bašić,Lazio,2018-2019,21,Bordeaux,fr FRA,1. Ligue 1,14th,23,16,1333,14.8,2,0,2,2,0,0,3,0,1.2,1.2,1.7,3.0,20,64,58,0.14,0.00,0.14,0.14,0.14,0.08,0.12,0.20,0.08,0.20,Matches
Toma Bašić,Lazio,2019-2020,22,Bordeaux,fr FRA,1. Ligue 1,12th,15,11,991,11.0,1,3,4,1,0,0,4,0,0.8,0.8,2.7,3.5,19,77,24,0.09,0.27,0.36,0.09,0.36,0.07,0.24,0.31,0.07,0.31,Matches
Toma Bašić,Lazio,2020-2021,23,Bordeaux,fr FRA,1. Ligue 1,12th,34,32,2601,28.9,4,1,5,4,0,0,7,0,4.6,4.6,2.5,7.0,31,111,76,0.14,0.03,0.17,0.14,0.17,0.16,0.09,0.24,0.16,0.24,Matches
Toma Bašić,Lazio,2021-2022,24,Bordeaux,fr FRA,1. Ligue 1,20th,3,3,209,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,6,9,10,0.00,0.43,0.43,0.00,0.43,0.02,0.16,0.18,0.02,0.18,Matches
Toma Bašić,Lazio,2021-2022,24,Lazio,it ITA,1. Serie A,5th,29,9,982,10.9,0,2,2,0,0,0,3,0,1.6,1.6,0.9,2.5,18,26,44,0.00,0.18,0.18,0.00,0.18,0.15,0.08,0.23,0.15,0.23,Matches
Toma Bašić,Lazio,2022-2023,25,Lazio,it ITA,1. Serie A,2nd,25,4,513,5.7,1,0,1,1,0,0,2,0,1.8,1.8,0.4,2.2,14,22,29,0.18,0.00,0.18,0.18,0.18,0.32,0.07,0.39,0.32,0.39,Matches
Toma Bašić,Lazio,2023-2024,26,Salernitana,it ITA,1. Serie A,20th,15,14,1162,12.9,0,0,0,0,0,0,5,0,0.6,0.6,0.5,1.1,11,53,16,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Toma Bašić,Lazio,2023-2024,26,Lazio,it ITA,1. Serie A,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Toma Bašić,Lazio,2024-2025,27,Lazio,it ITA,1. Serie A,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
