Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antonino Gallo,Lecce,2019-2020,19,Lecce,it ITA,1. Serie A,18th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonino Gallo,Lecce,2020-2021,20,Lecce,it ITA,2. Serie B,4th,19,15,1354.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,1.2,60.0,72.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Antonino Gallo,Lecce,2021-2022,21,Lecce,it ITA,2. Serie B,1st,26,19,1858.0,20.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,3.2,3.4,63.0,121.0,77.0,0.05,0.0,0.05,0.05,0.05,0.01,0.15,0.16,0.01,0.16,Matches
Antonino Gallo,Lecce,2022-2023,22,Lecce,it ITA,1. Serie A,16th,32,28,2486.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.6,0.6,1.9,2.6,71.0,154.0,65.0,0.0,0.04,0.04,0.0,0.04,0.02,0.07,0.09,0.02,0.09,Matches
Antonino Gallo,Lecce,2023-2024,23,Lecce,it ITA,1. Serie A,14th,35,30,2490.0,27.7,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,4.5,5.0,69.0,125.0,101.0,0.0,0.11,0.11,0.0,0.11,0.02,0.16,0.18,0.02,0.18,Matches
Antonino Gallo,Lecce,2024-2025,24,Lecce,it ITA,1. Serie A,17th,31,31,2609.0,29.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,2.7,3.0,57.0,107.0,110.0,0.0,0.07,0.07,0.0,0.07,0.01,0.09,0.1,0.01,0.1,Matches
Antonino Gallo,Lecce,2025-2026,25,Lecce,it ITA,1. Serie A,14th,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.21,0.15,0.21,Matches
Antonino Gallo,Lecce,7 Seasons,7 Seasons,1 Club,,2 Leagues,,144,124,10887.0,121.0,1.0,6.0,7.0,1.0,0.0,0.0,15.0,2.0,1.8,1.8,13.5,15.3,321.0,585.0,448.0,0.01,0.05,0.06,0.01,0.06,0.01,0.11,0.13,0.01,0.13,
Antonino Gallo,Lecce,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,99,90,7675.0,85.3,0.0,6.0,6.0,0.0,0.0,0.0,10.0,2.0,1.6,1.6,9.2,10.7,198.0,392.0,280.0,0.0,0.07,0.07,0.0,0.07,0.02,0.11,0.13,0.02,0.13,
Antonino Gallo,Lecce,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,45,34,3212.0,35.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.2,0.2,4.4,4.6,123.0,193.0,168.0,0.03,0.0,0.03,0.03,0.03,0.01,0.12,0.13,0.01,0.13,
