Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Corrie Ndaba,Lecce,2018-2019,18,Ipswich Town,eng ENG,2. Championship,24th,0,0,,,,,,,,,,,,,,,,Matches
Corrie Ndaba,Lecce,,,,,,,,,,,,,,,,,,,,,,,,
Corrie Ndaba,Lecce,2020-2021,20,Ayr United,sct SCO,2. Championship,8th,13,13,1170,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Corrie Ndaba,Lecce,2020-2021,20,Ipswich Town,eng ENG,3. League One,9th,0,0,,,,,,,,,,,,,,,,Matches
Corrie Ndaba,Lecce,2021-2022,21,Ipswich Town,eng ENG,3. League One,11th,0,0,,,,,,,,,,,,,,,,Matches
Corrie Ndaba,Lecce,2021-2022,21,Salford City,eng ENG,4. League Two,10th,29,29,2501,27.8,2,0,2,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
Corrie Ndaba,Lecce,2022-2023,22,Burton Albion,eng ENG,3. League One,15th,7,7,570,6.3,0,1,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches
Corrie Ndaba,Lecce,2022-2023,22,Fleetwood Town,eng ENG,3. League One,13th,8,6,567,6.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Corrie Ndaba,Lecce,2023-2024,23,Kilmarnock,sct SCO,1. Premiership,4th,28,21,1857,20.6,1,0,1,1,0,0,2,1,0.05,0.00,0.05,0.05,0.05,Matches
Corrie Ndaba,Lecce,2024-2025,24,Kilmarnock,sct SCO,1. Premiership,9th,36,35,3106,34.5,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,Matches
Corrie Ndaba,Lecce,2025-2026,25,Lecce,it ITA,1. Serie A,14th,0,0,,,,,,,,,,,,,,,,Matches
Corrie Ndaba,Lecce,7 Seasons,7 Seasons,7 Clubs,,6 Leagues,,121,111,9771,108.6,4,2,6,4,0,0,17,1,0.04,0.02,0.06,0.04,0.06,
Corrie Ndaba,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Corrie Ndaba,Lecce,Ipswich Town (3 Seasons),Ipswich Town (3 Seasons),Ipswich Town (3 Seasons),,2 Leagues,,0,0,,,,,,,,,,,,,,,,
Corrie Ndaba,Lecce,Kilmarnock (2 Seasons),Kilmarnock (2 Seasons),Kilmarnock (2 Seasons),,1 League,,64,56,4963,55.1,2,1,3,2,0,0,7,1,0.04,0.02,0.05,0.04,0.05,
Corrie Ndaba,Lecce,Salford City (1 Season),Salford City (1 Season),Salford City (1 Season),,1 League,,29,29,2501,27.8,2,0,2,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,
Corrie Ndaba,Lecce,Ayr United (1 Season),Ayr United (1 Season),Ayr United (1 Season),,1 League,,13,13,1170,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,
Corrie Ndaba,Lecce,Fleetwood Town (1 Season),Fleetwood Town (1 Season),Fleetwood Town (1 Season),,1 League,,8,6,567,6.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,
Corrie Ndaba,Lecce,Burton Albion (1 Season),Burton Albion (1 Season),Burton Albion (1 Season),,1 League,,7,7,570,6.3,0,1,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,
Corrie Ndaba,Lecce,Lecce (1 Season),Lecce (1 Season),Lecce (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,
Corrie Ndaba,Lecce,,,,,,,,,,,,,,,,,,,,,,,,
Corrie Ndaba,Lecce,League One (3 Seasons),League One (3 Seasons),League One (3 Seasons),,,,15,13,1137,12.6,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,
Corrie Ndaba,Lecce,Premiership (2 Seasons),Premiership (2 Seasons),Premiership (2 Seasons),,,,64,56,4963,55.1,2,1,3,2,0,0,7,1,0.04,0.02,0.05,0.04,0.05,
Corrie Ndaba,Lecce,League Two (1 Season),League Two (1 Season),League Two (1 Season),,,,29,29,2501,27.8,2,0,2,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,
Corrie Ndaba,Lecce,Championship (1 Season),Championship (1 Season),Championship (1 Season),,,,13,13,1170,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,
Corrie Ndaba,Lecce,Championship (1 Season),Championship (1 Season),Championship (1 Season),,,,0,0,,,,,,,,,,,,,,,,
Corrie Ndaba,Lecce,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,
