Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kialonda,Lecce,2023-2024,25,Estrela,pt POR,1. Primeira Liga,14th,27,27,2348,26.1,1,0,1,1,0,0,9,0,1.4,1.4,0.6,2.0,16,86,5,0.04,0.00,0.04,0.04,0.04,0.05,0.02,0.08,0.05,0.08,Matches
Kialonda,Lecce,2024-2025,26,Lecce,it ITA,1. Serie A,17th,24,24,2144,23.8,0,1,1,0,0,0,3,0,1.1,1.1,0.4,1.6,4,34,5,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07,Matches
Kialonda,Lecce,2025-2026,27,Lecce,it ITA,1. Serie A,14th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kialonda,Lecce,3 Seasons,3 Seasons,2 Clubs,,2 Leagues,,52,52,4582,50.9,1,1,2,1,0,0,12,0,2.5,2.5,1.1,3.6,20,120,10,0.02,0.02,0.04,0.02,0.04,0.05,0.02,0.07,0.05,0.07,
Kialonda,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kialonda,Lecce,Lecce (2 Seasons),Lecce (2 Seasons),Lecce (2 Seasons),,1 League,,25,25,2234,24.8,0,1,1,0,0,0,3,0,1.1,1.1,0.4,1.6,4,34,5,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.06,0.05,0.06,
Kialonda,Lecce,Estrela (1 Season),Estrela (1 Season),Estrela (1 Season),,1 League,,27,27,2348,26.1,1,0,1,1,0,0,9,0,1.4,1.4,0.6,2.0,16,86,5,0.04,0.00,0.04,0.04,0.04,0.05,0.02,0.08,0.05,0.08,
Kialonda,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kialonda,Lecce,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,25,25,2234,24.8,0,1,1,0,0,0,3,0,1.1,1.1,0.4,1.6,4,34,5,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.06,0.05,0.06,
Kialonda,Lecce,Primeira Liga (1 Season),Primeira Liga (1 Season),Primeira Liga (1 Season),,,,27,27,2348,26.1,1,0,1,1,0,0,9,0,1.4,1.4,0.6,2.0,16,86,5,0.04,0.00,0.04,0.04,0.04,0.05,0.02,0.08,0.05,0.08,
