Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lassana Coulibaly,Lecce,2015-2016,19,Bastia,fr FRA,1. Ligue 1,10th,15,7,704,7.8,1,0,1,1,0,0,1,0,,,,,,,,0.13,0.00,0.13,0.13,0.13,,,,,,Matches
Lassana Coulibaly,Lecce,2016-2017,20,Bastia,fr FRA,1. Ligue 1,20th,30,25,2277,25.3,0,2,2,0,0,0,4,0,,,,,,,,0.00,0.08,0.08,0.00,0.08,,,,,,Matches
Lassana Coulibaly,Lecce,2017-2018,21,Angers,fr FRA,1. Ligue 1,14th,20,8,838,9.3,1,2,3,1,0,0,1,0,1.0,1.0,1.2,2.1,24,38,46,0.11,0.21,0.32,0.11,0.32,0.11,0.12,0.23,0.11,0.23,Matches
Lassana Coulibaly,Lecce,2018-2019,22,Rangers,sct SCO,1. Premiership,2nd,19,14,1065,11.8,1,1,2,1,0,0,0,0,,,,,,,,0.08,0.08,0.17,0.08,0.17,,,,,,Matches
Lassana Coulibaly,Lecce,2019-2020,23,Cercle Brugge,be BEL,1. First Division A,14th,16,14,1340,14.9,0,1,1,0,0,0,4,0,0.5,0.5,0.5,1.0,15,64,18,0.00,0.07,0.07,0.00,0.07,0.03,0.04,0.07,0.03,0.07,Matches
Lassana Coulibaly,Lecce,2020-2021,24,Angers,fr FRA,1. Ligue 1,13th,29,18,1687,18.7,1,1,2,1,0,0,4,1,1.2,1.2,0.6,1.7,20,65,21,0.05,0.05,0.11,0.05,0.11,0.06,0.03,0.09,0.06,0.09,Matches
Lassana Coulibaly,Lecce,2021-2022,25,Salernitana,it ITA,1. Serie A,17th,31,29,2332,25.9,0,0,0,0,0,0,3,0,1.0,1.0,0.3,1.2,39,82,38,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Lassana Coulibaly,Lecce,2022-2023,26,Salernitana,it ITA,1. Serie A,15th,35,34,2892,32.1,3,3,6,3,0,0,12,0,0.8,0.8,1.8,2.6,52,120,59,0.09,0.09,0.19,0.09,0.19,0.03,0.06,0.08,0.03,0.08,Matches
Lassana Coulibaly,Lecce,2023-2024,27,Salernitana,it ITA,1. Serie A,20th,28,25,2082,23.1,0,1,1,0,0,0,5,0,0.6,0.6,0.8,1.4,29,88,38,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.06,0.03,0.06,Matches
Lassana Coulibaly,Lecce,2024-2025,28,Lecce,it ITA,1. Serie A,17th,38,30,2667,29.6,1,0,1,1,0,0,3,0,0.8,0.8,0.9,1.7,21,93,49,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.06,Matches
Lassana Coulibaly,Lecce,2025-2026,29,Lecce,it ITA,1. Serie A,14th,1,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Lassana Coulibaly,Lecce,11 Seasons,11 Seasons,6 Clubs,,4 Leagues,,262,205,17966,199.6,8,11,19,8,0,0,37,1,5.8,5.8,6.0,11.9,201,552,273,0.04,0.06,0.10,0.04,0.10,0.04,0.04,0.08,0.04,0.08,
Lassana Coulibaly,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lassana Coulibaly,Lecce,Salernitana (3 Seasons),Salernitana (3 Seasons),Salernitana (3 Seasons),,1 League,,94,88,7306,81.2,3,4,7,3,0,0,20,0,2.4,2.4,2.9,5.2,120,290,135,0.04,0.05,0.09,0.04,0.09,0.03,0.04,0.06,0.03,0.06,
Lassana Coulibaly,Lecce,Angers (2 Seasons),Angers (2 Seasons),Angers (2 Seasons),,1 League,,49,26,2525,28.1,2,3,5,2,0,0,5,1,2.1,2.1,1.7,3.9,44,103,67,0.07,0.11,0.18,0.07,0.18,0.08,0.06,0.14,0.08,0.14,
Lassana Coulibaly,Lecce,Bastia (2 Seasons),Bastia (2 Seasons),Bastia (2 Seasons),,1 League,,45,32,2981,33.1,1,2,3,1,0,0,5,0,,,,,,,,0.03,0.06,0.09,0.03,0.09,,,,,,
Lassana Coulibaly,Lecce,Lecce (2 Seasons),Lecce (2 Seasons),Lecce (2 Seasons),,1 League,,39,31,2749,30.5,1,0,1,1,0,0,3,0,0.8,0.8,0.9,1.7,22,95,53,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.06,
Lassana Coulibaly,Lecce,Rangers (1 Season),Rangers (1 Season),Rangers (1 Season),,1 League,,19,14,1065,11.8,1,1,2,1,0,0,0,0,,,,,,,,0.08,0.08,0.17,0.08,0.17,,,,,,
