Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Olaf Gorter,Lecce,2023-2024,18,Jong Ajax,nl NED,2. Eerste Divisie,15th,21,7,745,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Olaf Gorter,Lecce,,,,,,,,,,,,,,,,,,,,,,,,
Olaf Gorter,Lecce,2025-2026,20,Lecce,it ITA,1. Serie A,14th,0,0,,,,,,,,,,,,,,,,Matches
Olaf Gorter,Lecce,2 Seasons,2 Seasons,2 Clubs,,2 Leagues,,21,7,745,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
Olaf Gorter,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Olaf Gorter,Lecce,Jong Ajax (1 Season),Jong Ajax (1 Season),Jong Ajax (1 Season),,1 League,,21,7,745,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
Olaf Gorter,Lecce,Lecce (1 Season),Lecce (1 Season),Lecce (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,
Olaf Gorter,Lecce,,,,,,,,,,,,,,,,,,,,,,,,
Olaf Gorter,Lecce,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,21,7,745,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
Olaf Gorter,Lecce,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,
