Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Riccardo Sottil,Lecce,2017-2018,18,Fiorentina,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Riccardo Sottil,Lecce,2018-2019,19,Pescara,it ITA,2. Serie B,4th,10,7,580,6.4,1,1,2,1,0,0,3,0,1.2,1.2,0.7,1.9,31,17,63,0.16,0.16,0.31,0.16,0.31,0.19,0.11,0.30,0.19,0.30,Matches
Riccardo Sottil,Lecce,2018-2019,19,Fiorentina,it ITA,1. Serie A,16th,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,5,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
Riccardo Sottil,Lecce,2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,18,4,514,5.7,0,0,0,0,0,0,3,0,1.0,1.0,0.5,1.4,32,9,58,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.25,0.17,0.25,Matches
Riccardo Sottil,Lecce,2020-2021,21,Cagliari,it ITA,1. Serie A,16th,21,12,1184,13.2,2,1,3,2,0,0,3,0,1.5,1.5,1.8,3.3,77,47,83,0.15,0.08,0.23,0.15,0.23,0.12,0.13,0.25,0.12,0.25,Matches
Riccardo Sottil,Lecce,2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,24,14,1239,13.8,3,2,5,3,0,0,4,1,2.5,2.5,2.5,5.0,81,39,126,0.22,0.15,0.36,0.22,0.36,0.18,0.18,0.36,0.18,0.36,Matches
Riccardo Sottil,Lecce,2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,18,9,833,9.3,0,2,2,0,0,0,1,0,1.0,1.0,1.1,2.2,65,27,123,0.00,0.22,0.22,0.00,0.22,0.11,0.12,0.23,0.11,0.23,Matches
Riccardo Sottil,Lecce,2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,22,13,1103,12.3,2,3,5,2,0,0,1,0,2.6,2.6,2.5,5.1,66,33,139,0.16,0.24,0.41,0.16,0.41,0.21,0.20,0.41,0.21,0.41,Matches
Riccardo Sottil,Lecce,2024-2025,25,Fiorentina,it ITA,1. Serie A,6th,18,8,833,9.3,1,1,2,1,0,0,1,0,0.9,0.9,0.9,1.7,71,18,100,0.11,0.11,0.22,0.11,0.22,0.09,0.09,0.19,0.09,0.19,Matches
Riccardo Sottil,Lecce,2024-2025,25,Milan,it ITA,1. Serie A,8th,6,1,123,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,11,3,14,0.00,0.00,0.00,0.00,0.00,0.13,0.23,0.36,0.13,0.36,Matches
Riccardo Sottil,Lecce,2025-2026,26,Lecce,it ITA,1. Serie A,14th,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Riccardo Sottil,Lecce,9 Seasons,9 Seasons,5 Clubs,,2 Leagues,,140,68,6461,71.8,9,10,19,9,0,0,16,1,10.9,10.9,10.2,21.2,437,193,714,0.13,0.14,0.26,0.13,0.26,0.15,0.14,0.29,0.15,0.29,
Riccardo Sottil,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Riccardo Sottil,Lecce,Fiorentina (7 Seasons),Fiorentina (7 Seasons),Fiorentina (7 Seasons),,1 League,,102,48,4542,50.5,6,8,14,6,0,0,10,1,8.0,8.0,7.4,15.5,317,126,551,0.12,0.16,0.28,0.12,0.28,0.16,0.15,0.31,0.16,0.31,
Riccardo Sottil,Lecce,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,21,12,1184,13.2,2,1,3,2,0,0,3,0,1.5,1.5,1.8,3.3,77,47,83,0.15,0.08,0.23,0.15,0.23,0.12,0.13,0.25,0.12,0.25,
Riccardo Sottil,Lecce,Pescara (1 Season),Pescara (1 Season),Pescara (1 Season),,1 League,,10,7,580,6.4,1,1,2,1,0,0,3,0,1.2,1.2,0.7,1.9,31,17,63,0.16,0.16,0.31,0.16,0.31,0.19,0.11,0.30,0.19,0.30,
Riccardo Sottil,Lecce,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,6,1,123,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,11,3,14,0.00,0.00,0.00,0.00,0.00,0.13,0.23,0.36,0.13,0.36,
Riccardo Sottil,Lecce,Lecce (1 Season),Lecce (1 Season),Lecce (1 Season),,1 League,,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Riccardo Sottil,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riccardo Sottil,Lecce,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,130,61,5881,65.3,8,9,17,8,0,0,13,1,9.7,9.7,9.5,19.3,406,176,651,0.12,0.14,0.26,0.12,0.26,0.15,0.15,0.29,0.15,0.29,
Riccardo Sottil,Lecce,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,10,7,580,6.4,1,1,2,1,0,0,3,0,1.2,1.2,0.7,1.9,31,17,63,0.16,0.16,0.31,0.16,0.31,0.19,0.11,0.30,0.19,0.30,
