Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tete Morente,Lecce,2017-2018,20,Gimnàstic,es ESP,2. La Liga 2,15th,25,18,1661,18.5,2,1,3,2,0,0,6,0,,,,,,,,0.11,0.05,0.16,0.11,0.16,,,,,,Matches
Tete Morente,Lecce,2018-2019,21,Gimnàstic,es ESP,2. La Liga 2,20th,14,12,1014,11.3,1,1,2,1,0,0,4,1,,,,,,,,0.09,0.09,0.18,0.09,0.18,,,,,,Matches
Tete Morente,Lecce,2018-2019,21,Lugo,es ESP,2. La Liga 2,18th,13,8,725,8.1,1,2,3,1,0,0,0,0,,,,,,,,0.12,0.25,0.37,0.12,0.37,,,,,,Matches
Tete Morente,Lecce,2019-2020,22,Lugo,es ESP,2. La Liga 2,16th,16,12,1025,11.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Tete Morente,Lecce,2019-2020,22,Málaga,es ESP,2. La Liga 2,14th,15,13,1088,12.1,2,3,5,2,0,0,3,0,,,,,,,,0.17,0.25,0.41,0.17,0.41,,,,,,Matches
Tete Morente,Lecce,2020-2021,23,Málaga,es ESP,2. La Liga 2,12th,1,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Tete Morente,Lecce,2020-2021,23,Elche,es ESP,1. La Liga,17th,30,23,2019,22.4,2,5,7,2,0,0,5,0,1.7,1.7,1.9,3.6,45,48,130,0.09,0.22,0.31,0.09,0.31,0.07,0.08,0.16,0.07,0.16,Matches
Tete Morente,Lecce,2021-2022,24,Elche,es ESP,1. La Liga,13th,32,18,1632,18.1,3,3,6,3,0,0,4,0,3.0,3.0,1.8,4.8,59,50,135,0.17,0.17,0.33,0.17,0.33,0.16,0.10,0.26,0.16,0.26,Matches
Tete Morente,Lecce,2022-2023,25,Elche,es ESP,1. La Liga,20th,32,23,2068,23.0,4,0,4,4,0,0,5,0,4.2,4.2,1.1,5.3,60,63,193,0.17,0.00,0.17,0.17,0.17,0.18,0.05,0.23,0.18,0.23,Matches
Tete Morente,Lecce,2023-2024,26,Elche,es ESP,2. La Liga 2,11th,39,37,3241,36.0,8,2,10,7,1,1,4,0,,,,,,,,0.22,0.06,0.28,0.19,0.25,,,,,,Matches
Tete Morente,Lecce,2024-2025,27,Lecce,it ITA,1. Serie A,17th,31,23,2021,22.5,3,2,5,3,0,0,5,0,2.9,2.9,1.6,4.5,48,102,144,0.13,0.09,0.22,0.13,0.22,0.13,0.07,0.20,0.13,0.20,Matches
Tete Morente,Lecce,2025-2026,28,Lecce,it ITA,1. Serie A,14th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,4,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
Tete Morente,Lecce,9 Seasons,9 Seasons,5 Clubs,,3 Leagues,,249,189,16674,185.3,26,19,45,25,1,1,39,1,11.8,11.8,6.4,18.3,214,271,606,0.14,0.10,0.24,0.13,0.24,0.14,0.07,0.21,0.14,0.21,
Tete Morente,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tete Morente,Lecce,Elche (4 Seasons),Elche (4 Seasons),Elche (4 Seasons),,2 Leagues,,133,101,8960,99.6,17,10,27,16,1,1,18,0,8.9,8.9,4.8,13.7,164,161,458,0.17,0.10,0.27,0.16,0.26,0.14,0.08,0.21,0.14,0.21,
Tete Morente,Lecce,Gimnàstic (2 Seasons),Gimnàstic (2 Seasons),Gimnàstic (2 Seasons),,1 League,,39,30,2675,29.7,3,2,5,3,0,0,10,1,,,,,,,,0.10,0.07,0.17,0.10,0.17,,,,,,
Tete Morente,Lecce,Lecce (2 Seasons),Lecce (2 Seasons),Lecce (2 Seasons),,1 League,,32,24,2111,23.5,3,2,5,3,0,0,6,0,3.0,3.0,1.6,4.6,50,110,148,0.13,0.09,0.21,0.13,0.21,0.13,0.07,0.20,0.13,0.20,
Tete Morente,Lecce,Lugo (2 Seasons),Lugo (2 Seasons),Lugo (2 Seasons),,1 League,,29,20,1750,19.4,1,2,3,1,0,0,1,0,,,,,,,,0.05,0.10,0.15,0.05,0.15,,,,,,
Tete Morente,Lecce,Málaga (2 Seasons),Málaga (2 Seasons),Málaga (2 Seasons),,1 League,,16,14,1178,13.1,2,3,5,2,0,0,4,0,,,,,,,,0.15,0.23,0.38,0.15,0.38,,,,,,
Tete Morente,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tete Morente,Lecce,La Liga 2 (5 Seasons),La Liga 2 (5 Seasons),La Liga 2 (5 Seasons),,,,123,101,8844,98.3,14,9,23,13,1,1,19,1,,,,,,,,0.14,0.09,0.23,0.13,0.22,,,,,,
Tete Morente,Lecce,La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,94,64,5719,63.5,9,8,17,9,0,0,14,0,8.9,8.9,4.8,13.7,164,161,458,0.14,0.13,0.27,0.14,0.27,0.14,0.08,0.21,0.14,0.21,
Tete Morente,Lecce,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,32,24,2111,23.5,3,2,5,3,0,0,6,0,3.0,3.0,1.6,4.6,50,110,148,0.13,0.09,0.21,0.13,0.21,0.13,0.07,0.20,0.13,0.20,
