Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wladimiro Falcone,Lecce,2016-2017,21,Sampdoria,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wladimiro Falcone,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wladimiro Falcone,Lecce,2019-2020,24,Sampdoria,it ITA,1. Serie A,15th,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wladimiro Falcone,Lecce,2020-2021,25,Cosenza,it ITA,2. Serie B,17th,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wladimiro Falcone,Lecce,2021-2022,26,Sampdoria,it ITA,1. Serie A,15th,10,9,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wladimiro Falcone,Lecce,2022-2023,27,Lecce,it ITA,1. Serie A,16th,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Wladimiro Falcone,Lecce,2023-2024,28,Lecce,it ITA,1. Serie A,14th,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wladimiro Falcone,Lecce,2024-2025,29,Lecce,it ITA,1. Serie A,17th,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wladimiro Falcone,Lecce,2025-2026,30,Lecce,it ITA,1. Serie A,14th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wladimiro Falcone,Lecce,8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,163,162,14625,162.5,0,0,0,0,0,0,8,0,0.0,0.0,0.4,0.4,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wladimiro Falcone,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wladimiro Falcone,Lecce,Lecce (4 Seasons),Lecce (4 Seasons),Lecce (4 Seasons),,1 League,,115,115,10350,115.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wladimiro Falcone,Lecce,Sampdoria (3 Seasons),Sampdoria (3 Seasons),Sampdoria (3 Seasons),,1 League,,12,11,1035,11.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wladimiro Falcone,Lecce,Cosenza (1 Season),Cosenza (1 Season),Cosenza (1 Season),,1 League,,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wladimiro Falcone,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wladimiro Falcone,Lecce,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,127,126,11385,126.5,0,0,0,0,0,0,7,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Wladimiro Falcone,Lecce,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
