Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ylber Ramadani,Lecce,2018-2019,22,Vejle BK,dk DEN,1. Danish Superliga,13th,26,24,2047,22.7,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.04,0.04,0.00,0.04,,,,,,Matches
Ylber Ramadani,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylber Ramadani,Lecce,2020-2021,24,Vejle BK,dk DEN,1. Danish Superliga,10th,29,21,1935,21.5,1,2,3,1,0,0,5,0,,,,,,,,0.05,0.09,0.14,0.05,0.14,,,,,,Matches
Ylber Ramadani,Lecce,2021-2022,25,MTK Budapest,hu HUN,1. NB I,11th,30,29,2424,26.9,2,,,2,0,0,5,0,,,,,,,,0.07,,,0.07,,,,,,,Matches
Ylber Ramadani,Lecce,2022-2023,26,Aberdeen,sct SCO,1. Premiership,3rd,37,37,3298,36.6,1,3,4,1,0,0,8,0,,,,,,,,0.03,0.08,0.11,0.03,0.11,,,,,,Matches
Ylber Ramadani,Lecce,2023-2024,27,Lecce,it ITA,1. Serie A,14th,34,34,2970,33.0,1,0,1,1,0,0,13,0,1.0,1.0,0.5,1.6,36,121,14,0.03,0.00,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Ylber Ramadani,Lecce,2024-2025,28,Lecce,it ITA,1. Serie A,17th,29,21,1807,20.1,1,1,2,1,0,0,4,0,0.6,0.6,1.1,1.7,9,60,7,0.05,0.05,0.10,0.05,0.10,0.03,0.06,0.09,0.03,0.09,Matches
Ylber Ramadani,Lecce,2025-2026,29,Lecce,it ITA,1. Serie A,14th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ylber Ramadani,Lecce,7 Seasons,7 Seasons,4 Clubs,,4 Leagues,,186,167,14571,161.9,6,7,11,6,0,0,38,0,1.7,1.7,1.7,3.3,45,182,21,0.04,0.05,0.08,0.04,0.08,0.03,0.03,0.06,0.03,0.06,
Ylber Ramadani,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ylber Ramadani,Lecce,Lecce (3 Seasons),Lecce (3 Seasons),Lecce (3 Seasons),,1 League,,64,56,4867,54.1,2,1,3,2,0,0,17,0,1.7,1.7,1.7,3.3,45,182,21,0.04,0.02,0.06,0.04,0.06,0.03,0.03,0.06,0.03,0.06,
Ylber Ramadani,Lecce,Vejle BK (2 Seasons),Vejle BK (2 Seasons),Vejle BK (2 Seasons),,1 League,,55,45,3982,44.2,1,3,4,1,0,0,8,0,,,,,,,,0.02,0.07,0.09,0.02,0.09,,,,,,
Ylber Ramadani,Lecce,Aberdeen (1 Season),Aberdeen (1 Season),Aberdeen (1 Season),,1 League,,37,37,3298,36.6,1,3,4,1,0,0,8,0,,,,,,,,0.03,0.08,0.11,0.03,0.11,,,,,,
Ylber Ramadani,Lecce,MTK Budapest (1 Season),MTK Budapest (1 Season),MTK Budapest (1 Season),,1 League,,30,29,2424,26.9,2,,,2,0,0,5,0,,,,,,,,0.07,,,0.07,,,,,,,
Ylber Ramadani,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylber Ramadani,Lecce,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,64,56,4867,54.1,2,1,3,2,0,0,17,0,1.7,1.7,1.7,3.3,45,182,21,0.04,0.02,0.06,0.04,0.06,0.03,0.03,0.06,0.03,0.06,
Ylber Ramadani,Lecce,Danish Superliga (2 Seasons),Danish Superliga (2 Seasons),Danish Superliga (2 Seasons),,,,55,45,3982,44.2,1,3,4,1,0,0,8,0,,,,,,,,0.02,0.07,0.09,0.02,0.09,,,,,,
Ylber Ramadani,Lecce,Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,37,37,3298,36.6,1,3,4,1,0,0,8,0,,,,,,,,0.03,0.08,0.11,0.03,0.11,,,,,,
Ylber Ramadani,Lecce,NB I (1 Season),NB I (1 Season),NB I (1 Season),,,,30,29,2424,26.9,2,,,2,0,0,5,0,,,,,,,,0.07,,,0.07,,,,,,,
