Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Youssef Maleh,Lecce,2017-2018,18,Cesena,it ITA,2. Serie B,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Youssef Maleh,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Maleh,Lecce,2019-2020,20,Venezia,it ITA,2. Serie B,11th,28,25,1996,22.2,1,2,3,1,0,0,9,1,2.3,2.3,2.2,4.5,43,75,135,0.05,0.09,0.14,0.05,0.14,0.10,0.10,0.20,0.10,0.20,Matches
Youssef Maleh,Lecce,2020-2021,21,Venezia,it ITA,2. Serie B,5th,29,27,2303,25.6,4,4,8,4,0,0,8,0,4.1,4.1,3.4,7.5,57,100,102,0.16,0.16,0.31,0.16,0.31,0.16,0.13,0.29,0.16,0.29,Matches
Youssef Maleh,Lecce,2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,28,11,1019,11.3,2,2,4,2,0,0,5,0,2.3,2.3,1.8,4.1,12,43,74,0.18,0.18,0.35,0.18,0.35,0.20,0.16,0.36,0.20,0.36,Matches
Youssef Maleh,Lecce,2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,7,4,297,3.3,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2,3,11,17,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.36,0.17,0.36,Matches
Youssef Maleh,Lecce,2022-2023,23,Lecce,it ITA,1. Serie A,16th,17,7,674,7.5,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,9,19,19,0.00,0.13,0.13,0.00,0.13,0.04,0.04,0.08,0.04,0.08,Matches
Youssef Maleh,Lecce,2023-2024,24,Lecce,it ITA,1. Serie A,14th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Youssef Maleh,Lecce,2023-2024,24,Empoli,it ITA,1. Serie A,17th,34,30,2602,28.9,0,1,1,0,0,0,11,0,1.6,1.6,2.4,4.0,17,117,65,0.00,0.03,0.03,0.00,0.03,0.05,0.08,0.14,0.05,0.14,Matches
