Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Christian Pulisic,Milan,2015-2016,16,Dortmund,de GER,1. Bundesliga,2nd,9,4,389,4.3,2,0,2,2,0,0,1,0,,,,,,,,0.46,0.00,0.46,0.46,0.46,,,,,,Matches
Christian Pulisic,Milan,2016-2017,17,Dortmund,de GER,1. Bundesliga,3rd,29,15,1525,16.9,3,7,10,3,0,0,1,0,,,,,,,,0.18,0.41,0.59,0.18,0.59,,,,,,Matches
Christian Pulisic,Milan,2017-2018,18,Dortmund,de GER,1. Bundesliga,4th,32,27,2302,25.6,4,5,9,4,0,0,1,0,5.2,5.2,4.9,10.1,152,64,257,0.16,0.20,0.35,0.16,0.35,0.20,0.19,0.40,0.20,0.40,Matches
Christian Pulisic,Milan,2018-2019,19,Dortmund,de GER,1. Bundesliga,2nd,20,9,932,10.4,4,4,8,4,0,0,2,0,4.8,4.8,2.6,7.4,66,20,109,0.39,0.39,0.77,0.39,0.77,0.47,0.25,0.72,0.47,0.72,Matches
Christian Pulisic,Milan,2019-2020,20,Chelsea,eng ENG,1. Premier League,4th,25,19,1722,19.1,9,4,13,9,0,0,0,0,9.0,9.0,3.6,12.6,107,73,188,0.47,0.21,0.68,0.47,0.68,0.47,0.19,0.66,0.47,0.66,Matches
Christian Pulisic,Milan,2020-2021,21,Chelsea,eng ENG,1. Premier League,4th,27,18,1738,19.3,4,2,6,4,0,0,2,0,6.1,6.1,2.8,8.9,86,82,160,0.21,0.10,0.31,0.21,0.31,0.32,0.15,0.46,0.32,0.46,Matches
Christian Pulisic,Milan,2021-2022,22,Chelsea,eng ENG,1. Premier League,3rd,22,13,1290,14.3,6,2,8,6,0,0,2,0,4.9,4.9,1.3,6.2,44,38,108,0.42,0.14,0.56,0.42,0.56,0.34,0.09,0.43,0.34,0.43,Matches
Christian Pulisic,Milan,2022-2023,23,Chelsea,eng ENG,1. Premier League,12th,24,8,821,9.1,1,1,2,1,0,0,1,0,1.7,1.7,0.7,2.3,35,23,76,0.11,0.11,0.22,0.11,0.22,0.18,0.07,0.26,0.18,0.26,Matches
Christian Pulisic,Milan,2023-2024,24,Milan,it ITA,1. Serie A,2nd,36,32,2602,28.9,12,8,20,12,0,0,2,0,8.0,8.0,4.8,12.8,131,87,293,0.42,0.28,0.69,0.42,0.69,0.28,0.16,0.44,0.28,0.44,Matches
Christian Pulisic,Milan,2024-2025,25,Milan,it ITA,1. Serie A,8th,34,29,2478,27.5,11,9,20,8,3,4,1,0,12.0,8.9,6.4,15.2,121,105,191,0.40,0.33,0.73,0.29,0.62,0.44,0.23,0.67,0.32,0.55,Matches
Christian Pulisic,Milan,2025-2026,26,Milan,it ITA,1. Serie A,15th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,3,4,11,0.00,0.00,0.00,0.00,0.00,0.10,0.48,0.58,0.10,0.58,Matches
Christian Pulisic,Milan,11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,259,175,15889,176.5,56,42,98,53,3,4,13,0,51.9,48.8,27.5,76.3,745,496,1393,0.32,0.24,0.56,0.30,0.54,0.33,0.18,0.51,0.31,0.49,
Christian Pulisic,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
