Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fikayo Tomori,Milan,2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,1,0,31,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Fikayo Tomori,Milan,2016-2017,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,12,12,1040,11.6,1,0,1,1,0,0,1,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Matches
Fikayo Tomori,Milan,2016-2017,18,Brighton,eng ENG,2. Championship,2nd,9,2,395,4.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Fikayo Tomori,Milan,2017-2018,19,Hull City,eng ENG,2. Championship,18th,25,23,2063,22.9,0,2,2,0,0,0,3,0,,,,,,,,0.00,0.09,0.09,0.00,0.09,,,,,,Matches
Fikayo Tomori,Milan,2017-2018,19,Chelsea,eng ENG,1. Premier League,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fikayo Tomori,Milan,2018-2019,20,Derby County,eng ENG,2. Championship,6th,44,43,3791,42.1,1,1,2,1,0,0,6,0,2.6,2.6,1.2,3.8,39,133,8,0.02,0.02,0.05,0.02,0.05,0.06,0.03,0.09,0.06,0.09,Matches
Fikayo Tomori,Milan,2019-2020,21,Chelsea,eng ENG,1. Premier League,4th,15,15,1291,14.3,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.6,14,50,4,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,Matches
Fikayo Tomori,Milan,2020-2021,22,Chelsea,eng ENG,1. Premier League,4th,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fikayo Tomori,Milan,2020-2021,22,Milan,it ITA,1. Serie A,2nd,17,16,1466,16.3,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,4,41,2,0.06,0.00,0.06,0.06,0.06,0.05,0.00,0.05,0.05,0.05,Matches
Fikayo Tomori,Milan,2021-2022,23,Milan,it ITA,1. Serie A,1st,31,30,2718,30.2,0,0,0,0,0,0,4,0,1.1,1.1,0.1,1.2,14,82,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Fikayo Tomori,Milan,2022-2023,24,Milan,it ITA,1. Serie A,4th,33,32,2760,30.7,1,1,2,1,0,0,5,0,1.3,1.3,0.8,2.1,26,122,10,0.03,0.03,0.07,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches
Fikayo Tomori,Milan,2023-2024,25,Milan,it ITA,1. Serie A,2nd,26,24,2121,23.6,4,0,4,4,0,0,8,1,3.7,3.7,0.2,3.9,16,63,2,0.17,0.00,0.17,0.17,0.17,0.16,0.01,0.16,0.16,0.16,Matches
Fikayo Tomori,Milan,2024-2025,26,Milan,it ITA,1. Serie A,8th,22,19,1593,17.7,0,1,1,0,0,0,4,1,0.1,0.1,0.7,0.8,8,63,3,0.00,0.06,0.06,0.00,0.06,0.00,0.04,0.05,0.00,0.05,Matches
Fikayo Tomori,Milan,2025-2026,27,Milan,it ITA,1. Serie A,15th,1,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,7,4,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Fikayo Tomori,Milan,11 Seasons,11 Seasons,5 Clubs,,3 Leagues,,225,205,18338,203.8,8,5,13,8,0,0,33,2,10.1,10.1,3.1,13.2,123,561,38,0.04,0.02,0.06,0.04,0.06,0.06,0.02,0.07,0.06,0.07,
Fikayo Tomori,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fikayo Tomori,Milan,Milan (6 Seasons),Milan (6 Seasons),Milan (6 Seasons),,1 League,,130,122,10722,119.1,6,2,8,6,0,0,21,2,7.1,7.1,1.8,8.9,70,378,26,0.05,0.02,0.07,0.05,0.07,0.06,0.01,0.07,0.06,0.07,
Fikayo Tomori,Milan,Chelsea (4 Seasons),Chelsea (4 Seasons),Chelsea (4 Seasons),,1 League,,17,15,1367,15.2,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.6,14,50,4,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,
Fikayo Tomori,Milan,Derby County (1 Season),Derby County (1 Season),Derby County (1 Season),,1 League,,44,43,3791,42.1,1,1,2,1,0,0,6,0,2.6,2.6,1.2,3.8,39,133,8,0.02,0.02,0.05,0.02,0.05,0.06,0.03,0.09,0.06,0.09,
