Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matteo Gabbia,Milan,2016-2017,16,Milan,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matteo Gabbia,Milan,2017-2018,17,Milan,it ITA,1. Serie A,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matteo Gabbia,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Gabbia,Milan,2019-2020,19,Milan,it ITA,1. Serie A,6th,9,6,680,7.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,2,24,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Matteo Gabbia,Milan,2020-2021,20,Milan,it ITA,1. Serie A,2nd,8,7,557,6.2,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,2,20,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Matteo Gabbia,Milan,2021-2022,21,Milan,it ITA,1. Serie A,1st,8,6,537,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,3,22,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Matteo Gabbia,Milan,2022-2023,22,Milan,it ITA,1. Serie A,4th,12,6,613,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Matteo Gabbia,Milan,2023-2024,23,Villarreal,es ESP,1. La Liga,8th,7,6,477,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Matteo Gabbia,Milan,2023-2024,23,Milan,it ITA,1. Serie A,2nd,18,14,1275,14.2,2,1,3,2,0,0,5,0,1.6,1.6,0.3,1.9,11,42,2,0.14,0.07,0.21,0.14,0.21,0.11,0.02,0.14,0.11,0.14,Matches
Matteo Gabbia,Milan,2024-2025,24,Milan,it ITA,1. Serie A,8th,26,24,2152,23.9,2,0,2,2,0,0,4,0,1.1,1.1,0.2,1.3,13,74,2,0.08,0.00,0.08,0.08,0.08,0.05,0.01,0.05,0.05,0.05,Matches
Matteo Gabbia,Milan,2025-2026,25,Milan,it ITA,1. Serie A,15th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches
Matteo Gabbia,Milan,9 Seasons,9 Seasons,2 Clubs,,2 Leagues,,89,70,6381,70.9,4,1,5,4,0,0,19,0,3.5,3.5,0.8,4.3,34,211,9,0.06,0.01,0.07,0.06,0.07,0.05,0.01,0.06,0.05,0.06,
Matteo Gabbia,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matteo Gabbia,Milan,Milan (9 Seasons),Milan (9 Seasons),Milan (9 Seasons),,1 League,,82,64,5904,65.6,4,1,5,4,0,0,17,0,3.5,3.5,0.7,4.3,33,202,9,0.06,0.02,0.08,0.06,0.08,0.05,0.01,0.06,0.05,0.06,
Matteo Gabbia,Milan,Villarreal (1 Season),Villarreal (1 Season),Villarreal (1 Season),,1 League,,7,6,477,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,
Matteo Gabbia,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Gabbia,Milan,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,82,64,5904,65.6,4,1,5,4,0,0,17,0,3.5,3.5,0.7,4.3,33,202,9,0.06,0.02,0.08,0.06,0.08,0.05,0.01,0.06,0.05,0.06,
Matteo Gabbia,Milan,La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,7,6,477,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,
