Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mike Maignan,Milan,2014-2015,19,Paris S-G,fr FRA,1. Ligue 1,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mike Maignan,Milan,2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,4,3,289,3.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mike Maignan,Milan,2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,7,6,566,6.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mike Maignan,Milan,2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,34,34,3032,33.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mike Maignan,Milan,2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mike Maignan,Milan,2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mike Maignan,Milan,2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mike Maignan,Milan,2021-2022,26,Milan,it ITA,1. Serie A,1st,32,32,2880,32.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Mike Maignan,Milan,2022-2023,27,Milan,it ITA,1. Serie A,4th,22,22,1978,22.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,Matches
