Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pietro Terracciano,Milan,2011-2012,21,Catania,it ITA,1. Serie A,11th,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pietro Terracciano,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pietro Terracciano,Milan,2013-2014,23,Avellino,it ITA,2. Serie B,11th,18,18,1620,18.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Pietro Terracciano,Milan,2014-2015,24,Catania,it ITA,2. Serie B,22nd,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pietro Terracciano,Milan,2015-2016,25,Salernitana,it ITA,2. Serie B,18th,31,31,2790,31.0,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pietro Terracciano,Milan,2016-2017,26,Salernitana,it ITA,2. Serie B,10th,21,21,1890,21.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pietro Terracciano,Milan,2017-2018,27,Empoli,it ITA,2. Serie B,1st,3,3,270,3.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pietro Terracciano,Milan,2018-2019,28,Empoli,it ITA,1. Serie A,18th,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pietro Terracciano,Milan,2018-2019,28,Fiorentina,it ITA,1. Serie A,16th,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pietro Terracciano,Milan,2019-2020,29,Fiorentina,it ITA,1. Serie A,10th,7,7,624,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pietro Terracciano,Milan,2020-2021,30,Fiorentina,it ITA,1. Serie A,13th,4,2,272,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pietro Terracciano,Milan,2021-2022,31,Fiorentina,it ITA,1. Serie A,7th,32,31,2862,31.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pietro Terracciano,Milan,2022-2023,32,Fiorentina,it ITA,1. Serie A,8th,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pietro Terracciano,Milan,2023-2024,33,Fiorentina,it ITA,1. Serie A,8th,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Pietro Terracciano,Milan,2024-2025,34,Fiorentina,it ITA,1. Serie A,6th,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pietro Terracciano,Milan,2025-2026,35,Milan,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pietro Terracciano,Milan,14 Seasons,14 Seasons,6 Clubs,,2 Leagues,,199,196,17798,197.8,0,0,0,0,0,0,10,1,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Pietro Terracciano,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pietro Terracciano,Milan,Fiorentina (7 Seasons),Fiorentina (7 Seasons),Fiorentina (7 Seasons),,1 League,,110,107,9788,108.8,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Pietro Terracciano,Milan,Salernitana (2 Seasons),Salernitana (2 Seasons),Salernitana (2 Seasons),,1 League,,52,52,4680,52.0,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Pietro Terracciano,Milan,Empoli (2 Seasons),Empoli (2 Seasons),Empoli (2 Seasons),,2 Leagues,,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Pietro Terracciano,Milan,Catania (2 Seasons),Catania (2 Seasons),Catania (2 Seasons),,2 Leagues,,8,8,720,8.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Pietro Terracciano,Milan,Avellino (1 Season),Avellino (1 Season),Avellino (1 Season),,1 League,,18,18,1620,18.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Pietro Terracciano,Milan,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pietro Terracciano,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
