Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Strahinja Pavlović,Milan,2018-2019,17,Partizan,rs SRB,1. SuperLiga,3rd,11,11,989,11.0,0,0,0,0,0,0,5,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Strahinja Pavlović,Milan,2019-2020,18,Partizan,rs SRB,1. SuperLiga,2nd,26,26,2304,25.6,1,,,1,0,0,4,0,,,,,,,,0.04,,,0.04,,,,,,,Matches
Strahinja Pavlović,Milan,2020-2021,19,Cercle Brugge,be BEL,1. First Division A,16th,11,11,965,10.7,1,0,1,1,0,0,3,0,1.2,1.2,0.1,1.3,13,31,2,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,Matches
Strahinja Pavlović,Milan,2020-2021,19,Monaco,fr FRA,1. Ligue 1,3rd,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Strahinja Pavlović,Milan,2021-2022,20,Monaco,fr FRA,1. Ligue 1,3rd,7,5,451,5.0,0,0,0,0,0,0,4,1,0.5,0.5,0.2,0.7,10,33,1,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15,Matches
Strahinja Pavlović,Milan,2021-2022,20,Basel,ch SUI,1. Super Lg,2nd,10,7,586,6.5,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Strahinja Pavlović,Milan,2022-2023,21,RB Salzburg,at AUT,1. Bundesliga,1st,24,23,2027,22.5,1,1,2,1,0,0,10,1,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,Matches
Strahinja Pavlović,Milan,2023-2024,22,RB Salzburg,at AUT,1. Bundesliga,2nd,26,26,2287,25.4,3,3,6,3,0,0,10,1,,,,,,,,0.12,0.12,0.24,0.12,0.24,,,,,,Matches
Strahinja Pavlović,Milan,2024-2025,23,Milan,it ITA,1. Serie A,8th,24,21,1864,20.7,2,1,3,2,0,0,3,1,1.8,1.8,1.1,2.9,40,94,10,0.10,0.05,0.14,0.10,0.14,0.09,0.05,0.14,0.09,0.14,Matches
Strahinja Pavlović,Milan,2025-2026,24,Milan,it ITA,1. Serie A,15th,1,1,90,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,5,9,1,1.00,0.00,1.00,1.00,1.00,0.21,0.00,0.21,0.21,0.21,Matches
Strahinja Pavlović,Milan,8 Seasons,8 Seasons,6 Clubs,,6 Leagues,,141,131,11564,128.5,9,5,13,9,0,0,42,5,3.7,3.7,1.4,5.1,68,167,15,0.07,0.05,0.13,0.07,0.13,0.10,0.04,0.14,0.10,0.14,
Strahinja Pavlović,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Strahinja Pavlović,Milan,RB Salzburg (2 Seasons),RB Salzburg (2 Seasons),RB Salzburg (2 Seasons),,1 League,,50,49,4314,47.9,4,4,8,4,0,0,20,2,,,,,,,,0.08,0.08,0.17,0.08,0.17,,,,,,
Strahinja Pavlović,Milan,Partizan (2 Seasons),Partizan (2 Seasons),Partizan (2 Seasons),,1 League,,37,37,3293,36.6,1,0,0,1,0,0,9,1,,,,,,,,0.03,0.00,0.00,0.03,0.00,,,,,,
Strahinja Pavlović,Milan,Milan (2 Seasons),Milan (2 Seasons),Milan (2 Seasons),,1 League,,25,22,1954,21.7,3,1,4,3,0,0,3,1,2.0,2.0,1.1,3.1,45,103,11,0.14,0.05,0.18,0.14,0.18,0.09,0.05,0.14,0.09,0.14,
Strahinja Pavlović,Milan,Monaco (2 Seasons),Monaco (2 Seasons),Monaco (2 Seasons),,1 League,,8,5,452,5.0,0,0,0,0,0,0,4,1,0.5,0.5,0.2,0.7,10,33,2,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15,
Strahinja Pavlović,Milan,Cercle Brugge (1 Season),Cercle Brugge (1 Season),Cercle Brugge (1 Season),,1 League,,11,11,965,10.7,1,0,1,1,0,0,3,0,1.2,1.2,0.1,1.3,13,31,2,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,
Strahinja Pavlović,Milan,Basel (1 Season),Basel (1 Season),Basel (1 Season),,1 League,,10,7,586,6.5,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Strahinja Pavlović,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strahinja Pavlović,Milan,Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,50,49,4314,47.9,4,4,8,4,0,0,20,2,,,,,,,,0.08,0.08,0.17,0.08,0.17,,,,,,
Strahinja Pavlović,Milan,SuperLiga (2 Seasons),SuperLiga (2 Seasons),SuperLiga (2 Seasons),,,,37,37,3293,36.6,1,0,0,1,0,0,9,1,,,,,,,,0.03,0.00,0.00,0.03,0.00,,,,,,
Strahinja Pavlović,Milan,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,25,22,1954,21.7,3,1,4,3,0,0,3,1,2.0,2.0,1.1,3.1,45,103,11,0.14,0.05,0.18,0.14,0.18,0.09,0.05,0.14,0.09,0.14,
Strahinja Pavlović,Milan,Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,8,5,452,5.0,0,0,0,0,0,0,4,1,0.5,0.5,0.2,0.7,10,33,2,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15,
Strahinja Pavlović,Milan,First Division A (1 Season),First Division A (1 Season),First Division A (1 Season),,,,11,11,965,10.7,1,0,1,1,0,0,3,0,1.2,1.2,0.1,1.3,13,31,2,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,
Strahinja Pavlović,Milan,Super Lg (1 Season),Super Lg (1 Season),Super Lg (1 Season),,,,10,7,586,6.5,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
