Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Youssouf Fofana,Milan,2018-2019,19,Strasbourg,fr FRA,1. Ligue 1,11th,17,10,912,10.1,2,1,3,2,0,0,0,0,1.2,1.2,0.6,1.8,21,27,21,0.20,0.10,0.30,0.20,0.30,0.12,0.06,0.17,0.12,0.17,Matches
Youssouf Fofana,Milan,2019-2020,20,Strasbourg,fr FRA,1. Ligue 1,10th,13,12,1008,11.2,1,0,1,1,0,0,0,0,0.8,0.8,0.4,1.2,28,56,43,0.09,0.00,0.09,0.09,0.09,0.07,0.04,0.11,0.07,0.11,Matches
Youssouf Fofana,Milan,2019-2020,20,Monaco,fr FRA,1. Ligue 1,9th,7,7,610,6.8,0,2,2,0,0,0,1,0,0.3,0.3,0.6,0.9,18,47,20,0.00,0.30,0.30,0.00,0.30,0.04,0.09,0.13,0.04,0.13,Matches
Youssouf Fofana,Milan,2020-2021,21,Monaco,fr FRA,1. Ligue 1,3rd,35,35,2873,31.9,0,3,3,0,0,0,10,1,1.5,1.5,2.4,3.9,57,187,36,0.00,0.09,0.09,0.00,0.09,0.05,0.07,0.12,0.05,0.12,Matches
Youssouf Fofana,Milan,2021-2022,22,Monaco,fr FRA,1. Ligue 1,3rd,33,23,2190,24.3,0,4,4,0,0,0,4,0,1.1,1.1,2.6,3.7,44,146,47,0.00,0.16,0.16,0.00,0.16,0.05,0.11,0.15,0.05,0.15,Matches
Youssouf Fofana,Milan,2022-2023,23,Monaco,fr FRA,1. Ligue 1,6th,36,35,3086,34.3,2,2,4,2,0,0,4,2,2.8,2.8,4.4,7.2,81,238,71,0.06,0.06,0.12,0.06,0.12,0.08,0.13,0.21,0.08,0.21,Matches
Youssouf Fofana,Milan,2023-2024,24,Monaco,fr FRA,1. Ligue 1,2nd,32,31,2697,30.0,4,4,8,4,0,0,3,0,5.0,5.0,3.4,8.4,53,249,86,0.13,0.13,0.27,0.13,0.27,0.17,0.11,0.28,0.17,0.28,Matches
Youssouf Fofana,Milan,2024-2025,25,Milan,it ITA,1. Serie A,8th,35,29,2504,27.8,1,6,7,1,0,0,5,0,1.3,1.3,3.4,4.7,44,176,32,0.04,0.22,0.25,0.04,0.25,0.05,0.12,0.17,0.05,0.17,Matches
Youssouf Fofana,Milan,2025-2026,26,Milan,it ITA,1. Serie A,15th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,5,4,0.00,0.00,0.00,0.00,0.00,0.34,0.08,0.42,0.34,0.42,Matches
Youssouf Fofana,Milan,8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,209,183,15970,177.4,10,22,32,10,0,0,27,3,14.3,14.3,17.8,32.2,348,1131,360,0.06,0.12,0.18,0.06,0.18,0.08,0.10,0.18,0.08,0.18,
Youssouf Fofana,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Youssouf Fofana,Milan,Monaco (5 Seasons),Monaco (5 Seasons),Monaco (5 Seasons),,1 League,,143,131,11456,127.3,6,15,21,6,0,0,22,3,10.7,10.7,13.4,24.1,253,867,260,0.05,0.12,0.16,0.05,0.16,0.08,0.11,0.19,0.08,0.19,
Youssouf Fofana,Milan,Milan (2 Seasons),Milan (2 Seasons),Milan (2 Seasons),,1 League,,36,30,2594,28.8,1,6,7,1,0,0,5,0,1.7,1.7,3.5,5.1,46,181,36,0.03,0.21,0.24,0.03,0.24,0.06,0.12,0.18,0.06,0.18,
Youssouf Fofana,Milan,Strasbourg (2 Seasons),Strasbourg (2 Seasons),Strasbourg (2 Seasons),,1 League,,30,22,1920,21.3,3,1,4,3,0,0,0,0,2.0,2.0,1.0,3.0,49,83,64,0.14,0.05,0.19,0.14,0.19,0.09,0.05,0.14,0.09,0.14,
Youssouf Fofana,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssouf Fofana,Milan,Ligue 1 (6 Seasons),Ligue 1 (6 Seasons),Ligue 1 (6 Seasons),,,,173,153,13376,148.6,9,16,25,9,0,0,22,3,12.7,12.7,14.4,27.1,302,950,324,0.06,0.11,0.17,0.06,0.17,0.09,0.10,0.18,0.09,0.18,
Youssouf Fofana,Milan,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,36,30,2594,28.8,1,6,7,1,0,0,5,0,1.7,1.7,3.5,5.1,46,181,36,0.03,0.21,0.24,0.03,0.24,0.06,0.12,0.18,0.06,0.18,
