Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yunus Musah,Milan,2020-2021,17,Valencia,es ESP,1. La Liga,13th,32,17,1530,17.0,1,0,1,1,0,0,2,0,1.1,1.1,1.1,2.2,43,20,89,0.06,0.00,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13,Matches
Yunus Musah,Milan,2021-2022,18,Valencia,es ESP,1. La Liga,9th,29,13,1259,14.0,1,0,1,1,0,0,5,0,0.5,0.5,1.2,1.7,59,44,78,0.07,0.00,0.07,0.07,0.07,0.04,0.08,0.12,0.04,0.12,Matches
Yunus Musah,Milan,2022-2023,19,Valencia,es ESP,1. La Liga,16th,33,26,2110,23.4,0,2,2,0,0,0,10,1,1.8,1.8,1.8,3.6,72,93,101,0.00,0.09,0.09,0.00,0.09,0.08,0.08,0.15,0.08,0.15,Matches
Yunus Musah,Milan,2023-2024,20,Milan,it ITA,1. Serie A,2nd,30,13,1478,16.4,0,2,2,0,0,0,5,0,0.6,0.6,1.2,1.8,48,64,77,0.00,0.12,0.12,0.00,0.12,0.04,0.08,0.11,0.04,0.11,Matches
Yunus Musah,Milan,2024-2025,21,Milan,it ITA,1. Serie A,8th,29,19,1571,17.5,0,2,2,0,0,0,5,0,1.9,1.9,1.8,3.8,51,84,74,0.00,0.11,0.11,0.00,0.11,0.11,0.10,0.22,0.11,0.22,Matches
Yunus Musah,Milan,2025-2026,22,Milan,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Yunus Musah,Milan,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,153,88,7948,88.3,2,6,8,2,0,0,27,1,5.9,5.9,7.1,13.0,273,305,419,0.02,0.07,0.09,0.02,0.09,0.07,0.08,0.15,0.07,0.15,
Yunus Musah,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yunus Musah,Milan,Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,94,56,4899,54.4,2,2,4,2,0,0,17,1,3.4,3.4,4.1,7.4,174,157,268,0.04,0.04,0.07,0.04,0.07,0.06,0.07,0.14,0.06,0.14,
Yunus Musah,Milan,Milan (3 Seasons),Milan (3 Seasons),Milan (3 Seasons),,1 League,,59,32,3049,33.9,0,4,4,0,0,0,10,0,2.5,2.5,3.1,5.6,99,148,151,0.00,0.12,0.12,0.00,0.12,0.07,0.09,0.17,0.07,0.17,
Yunus Musah,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunus Musah,Milan,La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,94,56,4899,54.4,2,2,4,2,0,0,17,1,3.4,3.4,4.1,7.4,174,157,268,0.04,0.04,0.07,0.04,0.07,0.06,0.07,0.14,0.06,0.14,
Yunus Musah,Milan,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,59,32,3049,33.9,0,4,4,0,0,0,10,0,2.5,2.5,3.1,5.6,99,148,151,0.00,0.12,0.12,0.00,0.12,0.07,0.09,0.17,0.07,0.17,
