Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessandro Buongiorno,Napoli,2016-2017,17,Torino,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Buongiorno,Napoli,2017-2018,18,Torino,it ITA,1. Serie A,9th,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alessandro Buongiorno,Napoli,2018-2019,19,Carpi,it ITA,2. Serie B,19th,18,14,1203,13.4,0,1,1,0,0,0,3,1,0.6,0.6,0.5,1.1,6,30,9,0.00,0.07,0.07,0.00,0.07,0.04,0.04,0.08,0.04,0.08,Matches
Alessandro Buongiorno,Napoli,2019-2020,20,Trapani,it ITA,2. Serie B,18th,13,12,1079,12.0,0,0,0,0,0,0,2,0,0.5,0.5,0.5,1.0,12,24,6,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
Alessandro Buongiorno,Napoli,2019-2020,20,Torino,it ITA,1. Serie A,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Buongiorno,Napoli,2020-2021,21,Torino,it ITA,1. Serie A,17th,12,9,858,9.5,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.3,9,30,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
Alessandro Buongiorno,Napoli,2021-2022,22,Torino,it ITA,1. Serie A,10th,23,12,1181,13.1,0,1,1,0,0,0,5,0,0.9,0.9,0.7,1.6,8,30,3,0.00,0.08,0.08,0.00,0.08,0.07,0.06,0.12,0.07,0.12,Matches
Alessandro Buongiorno,Napoli,2022-2023,23,Torino,it ITA,1. Serie A,10th,34,30,2721,30.2,1,2,3,1,0,0,8,0,2.2,2.2,1.3,3.6,13,81,19,0.03,0.07,0.10,0.03,0.10,0.07,0.04,0.12,0.07,0.12,Matches
Alessandro Buongiorno,Napoli,2023-2024,24,Torino,it ITA,1. Serie A,9th,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0.00,0.11,0.11,0.11,0.06,0.00,0.06,0.06,0.06,Matches
