Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessandro Zanoli,Napoli,2017-2018,16,Carpi,it ITA,2. Serie B,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Zanoli,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Zanoli,Napoli,2021-2022,20,Napoli,it ITA,1. Serie A,3rd,12,5,457,5.1,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,11,17,13,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Alessandro Zanoli,Napoli,2022-2023,21,Sampdoria,it ITA,1. Serie A,20th,22,16,1540,17.1,2,3,5,2,0,0,3,0,2.6,2.6,1.2,3.8,50,36,60,0.12,0.18,0.29,0.12,0.29,0.15,0.07,0.22,0.15,0.22,Matches
Alessandro Zanoli,Napoli,2022-2023,21,Napoli,it ITA,1. Serie A,1st,1,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.47,0.47,0.47,Matches
Alessandro Zanoli,Napoli,2023-2024,22,Napoli,it ITA,1. Serie A,10th,4,0,52,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alessandro Zanoli,Napoli,2023-2024,22,Salernitana,it ITA,1. Serie A,20th,17,10,921,10.2,0,2,2,0,0,0,3,0,0.2,0.2,1.8,1.9,27,28,45,0.00,0.20,0.20,0.00,0.20,0.02,0.17,0.19,0.02,0.19,Matches
Alessandro Zanoli,Napoli,2024-2025,23,Genoa,it ITA,1. Serie A,13th,31,19,1711,19.0,1,0,1,1,0,0,3,0,0.4,0.4,1.6,2.0,65,27,90,0.05,0.00,0.05,0.05,0.05,0.02,0.08,0.11,0.02,0.11,Matches
Alessandro Zanoli,Napoli,2025-2026,24,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Zanoli,Napoli,6 Seasons,6 Seasons,5 Clubs,,2 Leagues,,87,50,4693,52.1,3,5,8,3,0,0,12,0,3.3,3.3,4.6,7.9,156,112,213,0.06,0.10,0.15,0.06,0.15,0.06,0.09,0.15,0.06,0.15,
Alessandro Zanoli,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessandro Zanoli,Napoli,Napoli (4 Seasons),Napoli (4 Seasons),Napoli (4 Seasons),,1 League,,17,5,521,5.8,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,14,21,18,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,
Alessandro Zanoli,Napoli,Genoa (1 Season),Genoa (1 Season),Genoa (1 Season),,1 League,,31,19,1711,19.0,1,0,1,1,0,0,3,0,0.4,0.4,1.6,2.0,65,27,90,0.05,0.00,0.05,0.05,0.05,0.02,0.08,0.11,0.02,0.11,
Alessandro Zanoli,Napoli,Sampdoria (1 Season),Sampdoria (1 Season),Sampdoria (1 Season),,1 League,,22,16,1540,17.1,2,3,5,2,0,0,3,0,2.6,2.6,1.2,3.8,50,36,60,0.12,0.18,0.29,0.12,0.29,0.15,0.07,0.22,0.15,0.22,
Alessandro Zanoli,Napoli,Salernitana (1 Season),Salernitana (1 Season),Salernitana (1 Season),,1 League,,17,10,921,10.2,0,2,2,0,0,0,3,0,0.2,0.2,1.8,1.9,27,28,45,0.00,0.20,0.20,0.00,0.20,0.02,0.17,0.19,0.02,0.19,
Alessandro Zanoli,Napoli,Carpi (1 Season),Carpi (1 Season),Carpi (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Zanoli,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Zanoli,Napoli,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,87,50,4693,52.1,3,5,8,3,0,0,12,0,3.3,3.3,4.6,7.9,156,112,213,0.06,0.10,0.15,0.06,0.15,0.06,0.09,0.15,0.06,0.15,
Alessandro Zanoli,Napoli,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
