Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Amir Rrahmani,Napoli,2015-2016,21,RNK Split,hr CRO,1. 1. HNL,6th,34,34,3060,34.0,1,0,1,0,1,1,4,0,,,,,,,,0.03,0.00,0.03,0.00,0.00,,,,,,Matches
Amir Rrahmani,Napoli,2016-2017,22,RNK Split,hr CRO,1. 1. HNL,10th,7,7,630,7.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Amir Rrahmani,Napoli,2016-2017,22,Lokomotiva,hr CRO,1. 1. HNL,5th,28,28,2520,28.0,1,1,2,1,0,0,1,0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,Matches
Amir Rrahmani,Napoli,2017-2018,23,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,25,20,1788,19.9,1,2,3,1,0,0,3,0,,,,,,,,0.05,0.10,0.15,0.05,0.15,,,,,,Matches
Amir Rrahmani,Napoli,2018-2019,24,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,15,14,1282,14.2,3,0,3,3,0,0,5,0,,,,,,,,0.21,0.00,0.21,0.21,0.21,,,,,,Matches
Amir Rrahmani,Napoli,2019-2020,25,Hellas Verona,it ITA,1. Serie A,9th,36,36,3228,35.9,0,1,1,0,0,0,5,0,3.5,3.5,0.9,4.4,38,127,27,0.00,0.03,0.03,0.00,0.03,0.10,0.02,0.12,0.10,0.12,Matches
Amir Rrahmani,Napoli,2020-2021,26,Napoli,it ITA,1. Serie A,5th,16,12,1094,12.2,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,0,24,2,0.08,0.00,0.08,0.08,0.08,0.03,0.00,0.03,0.03,0.03,Matches
Amir Rrahmani,Napoli,2021-2022,27,Napoli,it ITA,1. Serie A,3rd,33,33,2927,32.5,4,0,4,4,0,0,5,0,4.0,4.0,0.1,4.1,12,81,3,0.12,0.00,0.12,0.12,0.12,0.12,0.00,0.13,0.12,0.13,Matches
Amir Rrahmani,Napoli,2022-2023,28,Napoli,it ITA,1. Serie A,1st,29,27,2448,27.2,2,1,3,2,0,0,2,0,1.8,1.8,1.0,2.9,23,135,5,0.07,0.04,0.11,0.07,0.11,0.07,0.04,0.11,0.07,0.11,Matches
Amir Rrahmani,Napoli,2023-2024,29,Napoli,it ITA,1. Serie A,10th,30,30,2600,28.9,3,0,3,3,0,0,5,0,2.2,2.2,0.9,3.1,19,113,4,0.10,0.00,0.10,0.10,0.10,0.08,0.03,0.11,0.08,0.11,Matches
Amir Rrahmani,Napoli,2024-2025,30,Napoli,it ITA,1. Serie A,1st,38,38,3406,37.8,1,3,4,1,0,0,2,0,2.9,2.9,1.1,3.9,30,188,2,0.03,0.08,0.11,0.03,0.11,0.08,0.03,0.10,0.08,0.10,Matches
Amir Rrahmani,Napoli,2025-2026,31,Napoli,it ITA,1. Serie A,3rd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,2,0.00,0.00,0.00,0.00,0.00,0.18,0.03,0.21,0.18,0.21,Matches
Amir Rrahmani,Napoli,11 Seasons,11 Seasons,5 Clubs,,2 Leagues,,292,280,25073,278.6,17,8,25,16,1,1,35,0,14.9,14.9,4.0,19.0,122,675,45,0.06,0.03,0.09,0.06,0.09,0.09,0.02,0.11,0.09,0.11,
Amir Rrahmani,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Amir Rrahmani,Napoli,Napoli (6 Seasons),Napoli (6 Seasons),Napoli (6 Seasons),,1 League,,147,141,12565,139.6,11,4,15,11,0,0,16,0,11.4,11.4,3.2,14.6,84,548,18,0.08,0.03,0.11,0.08,0.11,0.08,0.02,0.10,0.08,0.10,
Amir Rrahmani,Napoli,RNK Split (2 Seasons),RNK Split (2 Seasons),RNK Split (2 Seasons),,1 League,,41,41,3690,41.0,1,0,1,0,1,1,5,0,,,,,,,,0.02,0.00,0.02,0.00,0.00,,,,,,
Amir Rrahmani,Napoli,Dinamo Zagreb (2 Seasons),Dinamo Zagreb (2 Seasons),Dinamo Zagreb (2 Seasons),,1 League,,40,34,3070,34.1,4,2,6,4,0,0,8,0,,,,,,,,0.12,0.06,0.18,0.12,0.18,,,,,,
