Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antonio Vergara,Napoli,2021-2022,18,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antonio Vergara,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Vergara,Napoli,2023-2024,20,Reggiana,it ITA,2. Serie B,11th,7,3,202,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,8,15,12,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
Antonio Vergara,Napoli,2024-2025,21,Reggiana,it ITA,2. Serie B,13th,32,26,2241,24.9,5,5,10,5,0,0,10,0,3.6,3.6,4.2,7.8,92,97,134,0.20,0.20,0.40,0.20,0.40,0.14,0.17,0.31,0.14,0.31,Matches
Antonio Vergara,Napoli,2025-2026,22,Napoli,it ITA,1. Serie A,3rd,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Antonio Vergara,Napoli,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,40,29,2445,27.2,5,5,10,5,0,0,11,0,3.6,3.6,4.3,7.9,100,112,146,0.18,0.18,0.37,0.18,0.37,0.13,0.16,0.29,0.13,0.29,
Antonio Vergara,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Antonio Vergara,Napoli,Reggiana (2 Seasons),Reggiana (2 Seasons),Reggiana (2 Seasons),,1 League,,39,29,2443,27.1,5,5,10,5,0,0,11,0,3.6,3.6,4.3,7.9,100,112,146,0.18,0.18,0.37,0.18,0.37,0.13,0.16,0.29,0.13,0.29,
Antonio Vergara,Napoli,Napoli (2 Seasons),Napoli (2 Seasons),Napoli (2 Seasons),,1 League,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Antonio Vergara,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Vergara,Napoli,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,39,29,2443,27.1,5,5,10,5,0,0,11,0,3.6,3.6,4.3,7.9,100,112,146,0.18,0.18,0.37,0.18,0.37,0.13,0.16,0.29,0.13,0.29,
Antonio Vergara,Napoli,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
