Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giuseppe Ambrosino,Napoli,2021-2022,17,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Giuseppe Ambrosino,Napoli,2022-2023,18,Cittadella,it ITA,2. Serie B,15th,15,8,657,7.3,1,2,3,0,1,1,2,0,2.1,1.3,1.2,2.5,17,16,50,0.14,0.27,0.41,0.00,0.27,0.29,0.16,0.45,0.18,0.34,Matches
Giuseppe Ambrosino,Napoli,2022-2023,18,Como,it ITA,2. Serie B,13th,4,0,77,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,1,4,10,1.17,0.00,1.17,1.17,1.17,0.71,0.23,0.93,0.71,0.93,Matches
Giuseppe Ambrosino,Napoli,2023-2024,19,Catanzaro,it ITA,2. Serie B,5th,28,13,1266,14.1,3,2,5,3,0,0,3,0,2.6,2.6,0.9,3.4,18,25,55,0.21,0.14,0.36,0.21,0.36,0.18,0.06,0.24,0.18,0.24,Matches
Giuseppe Ambrosino,Napoli,2024-2025,20,Frosinone,it ITA,2. Serie B,15th,36,27,2209,24.5,5,3,8,5,0,1,3,0,5.5,4.5,4.0,8.6,48,57,115,0.20,0.12,0.33,0.20,0.33,0.22,0.16,0.39,0.18,0.35,Matches
Giuseppe Ambrosino,Napoli,2025-2026,21,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Giuseppe Ambrosino,Napoli,5 Seasons,5 Seasons,5 Clubs,,2 Leagues,,83,48,4209,46.8,10,7,17,9,1,2,8,0,10.7,9.0,6.3,15.3,84,102,230,0.21,0.15,0.36,0.19,0.34,0.23,0.13,0.36,0.19,0.33,
Giuseppe Ambrosino,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giuseppe Ambrosino,Napoli,Napoli (2 Seasons),Napoli (2 Seasons),Napoli (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuseppe Ambrosino,Napoli,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,36,27,2209,24.5,5,3,8,5,0,1,3,0,5.5,4.5,4.0,8.6,48,57,115,0.20,0.12,0.33,0.20,0.33,0.22,0.16,0.39,0.18,0.35,
Giuseppe Ambrosino,Napoli,Catanzaro (1 Season),Catanzaro (1 Season),Catanzaro (1 Season),,1 League,,28,13,1266,14.1,3,2,5,3,0,0,3,0,2.6,2.6,0.9,3.4,18,25,55,0.21,0.14,0.36,0.21,0.36,0.18,0.06,0.24,0.18,0.24,
Giuseppe Ambrosino,Napoli,Cittadella (1 Season),Cittadella (1 Season),Cittadella (1 Season),,1 League,,15,8,657,7.3,1,2,3,0,1,1,2,0,2.1,1.3,1.2,2.5,17,16,50,0.14,0.27,0.41,0.00,0.27,0.29,0.16,0.45,0.18,0.34,
Giuseppe Ambrosino,Napoli,Como (1 Season),Como (1 Season),Como (1 Season),,1 League,,4,0,77,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,1,4,10,1.17,0.00,1.17,1.17,1.17,0.71,0.23,0.93,0.71,0.93,
Giuseppe Ambrosino,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuseppe Ambrosino,Napoli,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,83,48,4209,46.8,10,7,17,9,1,2,8,0,10.7,9.0,6.3,15.3,84,102,230,0.21,0.15,0.36,0.19,0.34,0.23,0.13,0.36,0.19,0.33,
Giuseppe Ambrosino,Napoli,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
