Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lorenzo Lucca,Napoli,2021-2022,20,Pisa,it ITA,2. Serie B,3rd,30,17,1676,18.6,6,4,10,5,1,2,7,2,6.2,4.7,2.3,7.0,27,28,117,0.32,0.21,0.54,0.27,0.48,0.33,0.13,0.46,0.25,0.37,Matches
Lorenzo Lucca,Napoli,2022-2023,21,Ajax,nl NED,1. Eredivisie,3rd,14,0,150,1.7,2,1,3,2,0,0,1,0,2.1,2.1,0.3,2.4,2,2,25,1.20,0.60,1.80,1.20,1.80,1.23,0.19,1.42,1.23,1.42,Matches
Lorenzo Lucca,Napoli,2022-2023,21,Jong Ajax,nl NED,2. Eerste Divisie,13th,14,14,1091,12.1,6,3,9,6,0,0,3,0,,,,,,,,0.49,0.25,0.74,0.49,0.74,,,,,,Matches
Lorenzo Lucca,Napoli,2023-2024,22,Udinese,it ITA,1. Serie A,15th,37,30,2592,28.8,8,4,12,8,0,0,6,0,7.8,7.8,1.6,9.4,10,18,118,0.28,0.14,0.42,0.28,0.42,0.27,0.06,0.33,0.27,0.33,Matches
Lorenzo Lucca,Napoli,2024-2025,23,Udinese,it ITA,1. Serie A,12th,33,27,2353,26.1,12,1,13,11,1,1,10,0,7.6,6.8,1.6,8.4,15,18,98,0.46,0.04,0.50,0.42,0.46,0.29,0.06,0.35,0.26,0.32,Matches
Lorenzo Lucca,Napoli,2025-2026,24,Napoli,it ITA,1. Serie A,3rd,1,1,81,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,0,5,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,Matches
Lorenzo Lucca,Napoli,5 Seasons,5 Seasons,5 Clubs,,4 Leagues,,129,89,7943,88.3,34,13,47,32,2,3,28,2,24.1,21.7,5.8,27.5,54,66,363,0.39,0.15,0.53,0.36,0.51,0.32,0.08,0.39,0.28,0.36,
Lorenzo Lucca,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lorenzo Lucca,Napoli,Udinese (2 Seasons),Udinese (2 Seasons),Udinese (2 Seasons),,1 League,,70,57,4945,54.9,20,5,25,19,1,1,16,0,15.4,14.6,3.2,17.8,25,36,216,0.36,0.09,0.46,0.35,0.44,0.28,0.06,0.34,0.27,0.32,
Lorenzo Lucca,Napoli,Pisa (1 Season),Pisa (1 Season),Pisa (1 Season),,1 League,,30,17,1676,18.6,6,4,10,5,1,2,7,2,6.2,4.7,2.3,7.0,27,28,117,0.32,0.21,0.54,0.27,0.48,0.33,0.13,0.46,0.25,0.37,
Lorenzo Lucca,Napoli,Ajax (1 Season),Ajax (1 Season),Ajax (1 Season),,1 League,,14,0,150,1.7,2,1,3,2,0,0,1,0,2.1,2.1,0.3,2.4,2,2,25,1.20,0.60,1.80,1.20,1.80,1.23,0.19,1.42,1.23,1.42,
Lorenzo Lucca,Napoli,Jong Ajax (1 Season),Jong Ajax (1 Season),Jong Ajax (1 Season),,1 League,,14,14,1091,12.1,6,3,9,6,0,0,3,0,,,,,,,,0.49,0.25,0.74,0.49,0.74,,,,,,
Lorenzo Lucca,Napoli,Napoli (1 Season),Napoli (1 Season),Napoli (1 Season),,1 League,,1,1,81,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,0,5,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,
