Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matteo Politano,Napoli,2013-2014,19,Pescara,it ITA,2. Serie B,15th,31,21,1771,19.7,6,2,8,6,0,0,2,0,,,,,,,,0.30,0.10,0.41,0.30,0.41,,,,,,
Matteo Politano,Napoli,2014-2015,20,Pescara,it ITA,2. Serie B,7th,41,36,3043,33.8,5,2,7,5,0,0,5,0,,,,,,,,0.15,0.06,0.21,0.15,0.21,,,,,,Matches
Matteo Politano,Napoli,2015-2016,21,Sassuolo,it ITA,1. Serie A,6th,28,11,1045,11.6,5,2,7,5,0,0,3,0,,,,,,,,0.43,0.17,0.60,0.43,0.60,,,,,,Matches
Matteo Politano,Napoli,2016-2017,22,Sassuolo,it ITA,1. Serie A,12th,32,25,2313,25.7,5,6,11,3,2,2,5,0,,,,,,,,0.19,0.23,0.43,0.12,0.35,,,,,,Matches
Matteo Politano,Napoli,2017-2018,23,Sassuolo,it ITA,1. Serie A,11th,36,33,2812,31.2,10,4,14,10,0,2,1,0,9.4,7.8,6.9,14.7,146,102,314,0.32,0.13,0.45,0.32,0.45,0.30,0.22,0.52,0.25,0.47,Matches
Matteo Politano,Napoli,2018-2019,24,Inter,it ITA,1. Serie A,4th,36,31,2549,28.3,5,6,11,5,0,0,4,1,4.6,4.6,5.6,10.2,141,150,303,0.18,0.21,0.39,0.18,0.39,0.16,0.20,0.36,0.16,0.36,Matches
Matteo Politano,Napoli,2019-2020,25,Inter,it ITA,1. Serie A,2nd,11,2,259,2.9,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,22,3,29,0.00,0.00,0.00,0.00,0.00,0.23,0.26,0.49,0.23,0.49,Matches
Matteo Politano,Napoli,2019-2020,25,Napoli,it ITA,1. Serie A,7th,15,9,743,8.3,2,2,4,2,0,0,1,0,1.5,1.5,1.5,3.0,38,30,77,0.24,0.24,0.48,0.24,0.48,0.18,0.18,0.37,0.18,0.37,Matches
Matteo Politano,Napoli,2020-2021,26,Napoli,it ITA,1. Serie A,5th,37,22,1908,21.2,9,4,13,9,0,0,3,0,5.2,5.2,3.9,9.1,94,78,197,0.42,0.19,0.61,0.42,0.61,0.25,0.18,0.43,0.25,0.43,Matches
