Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Noa Lang,Napoli,2016-2017,17,Jong Ajax,nl NED,2. Eerste Divisie,2nd,2,0,38,0.4,0,1,1,0,0,0,0,0,,,,,,,,0.00,2.37,2.37,0.00,2.37,,,,,,Matches
Noa Lang,Napoli,2017-2018,18,Ajax,nl NED,1. Eredivisie,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Noa Lang,Napoli,2017-2018,18,Jong Ajax,nl NED,2. Eerste Divisie,1st,14,9,819,9.1,2,2,4,2,0,0,2,0,,,,,,,,0.22,0.22,0.44,0.22,0.44,,,,,,Matches
Noa Lang,Napoli,2018-2019,19,Ajax,nl NED,1. Eredivisie,1st,3,0,48,0.5,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,5,2,6,0.00,1.87,1.87,0.00,1.87,0.26,0.75,1.01,0.26,1.01,Matches
Noa Lang,Napoli,2018-2019,19,Jong Ajax,nl NED,2. Eerste Divisie,11th,21,19,1549,17.2,5,3,8,5,0,1,3,0,,,,,,,,0.29,0.17,0.46,0.29,0.46,,,,,,Matches
Noa Lang,Napoli,2019-2020,20,Jong Ajax,nl NED,2. Eerste Divisie,4th,9,9,719,8.0,5,3,8,5,0,0,3,1,,,,,,,,0.63,0.38,1.00,0.63,1.00,,,,,,Matches
Noa Lang,Napoli,2019-2020,20,Twente,nl NED,1. Eredivisie,14th,7,7,600,6.7,1,0,1,1,0,0,1,0,2.5,2.5,1.1,3.5,16,21,51,0.15,0.00,0.15,0.15,0.15,0.37,0.16,0.53,0.37,0.53,Matches
Noa Lang,Napoli,2019-2020,20,Ajax,nl NED,1. Eredivisie,1st,5,2,210,2.3,3,0,3,3,0,0,0,0,2.0,2.0,0.6,2.7,12,8,30,1.29,0.00,1.29,1.29,1.29,0.87,0.28,1.15,0.87,1.15,Matches
Noa Lang,Napoli,2020-2021,21,Ajax,nl NED,1. Eredivisie,1st,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.17,1.17,0.00,1.17,Matches
Noa Lang,Napoli,2020-2021,21,Club Brugge,be BEL,1. First Division A,1st,24,21,1749,19.4,14,7,21,13,1,1,6,1,11.7,11.0,7.0,18.0,86,148,216,0.72,0.36,1.08,0.67,1.03,0.60,0.36,0.96,0.56,0.92,Matches
Noa Lang,Napoli,2021-2022,22,Club Brugge,be BEL,1. First Division A,2nd,31,27,2340,26.0,7,12,19,7,0,0,8,2,8.5,8.3,8.9,17.2,129,216,286,0.27,0.46,0.73,0.27,0.73,0.33,0.34,0.67,0.32,0.66,Matches
Noa Lang,Napoli,2022-2023,23,Club Brugge,be BEL,1. Pro League A,4th,28,20,1863,20.7,8,5,13,5,3,3,4,0,8.2,5.8,7.6,13.4,112,148,225,0.39,0.24,0.63,0.24,0.48,0.39,0.37,0.76,0.28,0.65,Matches
Noa Lang,Napoli,2023-2024,24,PSV Eindhoven,nl NED,1. Eredivisie,1st,11,8,583,6.5,4,1,5,4,0,0,0,0,2.7,2.7,2.9,5.6,42,46,71,0.62,0.15,0.77,0.62,0.77,0.42,0.44,0.86,0.42,0.86,Matches
Noa Lang,Napoli,2024-2025,25,PSV Eindhoven,nl NED,1. Eredivisie,1st,29,23,1894,21.0,11,10,21,11,0,0,1,0,5.4,5.4,6.1,11.5,167,148,261,0.52,0.48,1.00,0.52,1.00,0.26,0.29,0.55,0.26,0.55,Matches
Noa Lang,Napoli,2025-2026,26,Napoli,it ITA,1. Serie A,3rd,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Noa Lang,Napoli,10 Seasons,10 Seasons,6 Clubs,,4 Leagues,,186,145,12429,138.1,60,45,105,56,4,5,28,4,41.2,37.8,34.7,72.6,570,737,1147,0.43,0.33,0.76,0.41,0.73,0.40,0.34,0.73,0.37,0.70,
Noa Lang,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Noa Lang,Napoli,Jong Ajax (4 Seasons),Jong Ajax (4 Seasons),Jong Ajax (4 Seasons),,1 League,,46,37,3125,34.7,12,9,21,12,0,1,8,1,,,,,,,,0.35,0.26,0.60,0.35,0.60,,,,,,
Noa Lang,Napoli,Ajax (4 Seasons),Ajax (4 Seasons),Ajax (4 Seasons),,1 League,,9,2,266,3.0,3,1,4,3,0,0,0,0,2.2,2.2,1.1,3.3,18,10,37,1.02,0.34,1.35,1.02,1.35,0.74,0.39,1.12,0.74,1.12,
Noa Lang,Napoli,Club Brugge (3 Seasons),Club Brugge (3 Seasons),Club Brugge (3 Seasons),,1 League,,83,68,5952,66.1,29,24,53,25,4,4,18,3,28.4,25.1,23.6,48.6,327,512,727,0.44,0.36,0.80,0.38,0.74,0.43,0.36,0.79,0.38,0.74,
