Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sam Beukema,Napoli,2017-2018,18,Go Ahead Eag,nl NED,2. Eerste Divisie,17th,6,5,438,4.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Sam Beukema,Napoli,2018-2019,19,Go Ahead Eag,nl NED,2. Eerste Divisie,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sam Beukema,Napoli,2019-2020,20,Go Ahead Eag,nl NED,2. Eerste Divisie,6th,23,22,1975,21.9,1,0,1,1,0,0,3,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,Matches
Sam Beukema,Napoli,2020-2021,21,Go Ahead Eag,nl NED,2. Eerste Divisie,2nd,37,36,3285,36.5,8,2,10,7,1,1,2,0,,,,,,,,0.22,0.05,0.27,0.19,0.25,,,,,,Matches
Sam Beukema,Napoli,2021-2022,22,AZ Alkmaar,nl NED,1. Eredivisie,5th,24,8,994,11.0,3,1,4,3,0,0,0,0,2.7,2.7,0.4,3.1,6,41,2,0.27,0.09,0.36,0.27,0.36,0.24,0.04,0.28,0.24,0.28,Matches
Sam Beukema,Napoli,2022-2023,23,AZ Alkmaar,nl NED,1. Eredivisie,4th,26,24,2198,24.4,2,0,2,2,0,0,2,0,1.2,1.2,0.1,1.4,44,135,7,0.08,0.00,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,Matches
Sam Beukema,Napoli,2023-2024,24,Bologna,it ITA,1. Serie A,5th,30,29,2547,28.3,1,1,2,1,0,0,6,1,1.9,1.9,0.8,2.7,14,76,5,0.04,0.04,0.07,0.04,0.07,0.07,0.03,0.10,0.07,0.10,Matches
Sam Beukema,Napoli,2024-2025,25,Bologna,it ITA,1. Serie A,9th,35,33,3012,33.5,0,1,1,0,0,0,1,0,1.5,1.5,0.9,2.4,27,153,9,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.07,0.04,0.07,Matches
Sam Beukema,Napoli,2025-2026,26,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sam Beukema,Napoli,9 Seasons,9 Seasons,4 Clubs,,3 Leagues,,181,157,14449,160.5,15,5,20,14,1,1,15,1,7.3,7.3,2.3,9.6,91,405,23,0.09,0.03,0.12,0.09,0.12,0.07,0.02,0.10,0.07,0.10,
Sam Beukema,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sam Beukema,Napoli,Go Ahead Eag (4 Seasons),Go Ahead Eag (4 Seasons),Go Ahead Eag (4 Seasons),,1 League,,66,63,5698,63.3,9,2,11,8,1,1,6,0,,,,,,,,0.14,0.03,0.17,0.13,0.16,,,,,,
Sam Beukema,Napoli,Bologna (2 Seasons),Bologna (2 Seasons),Bologna (2 Seasons),,1 League,,65,62,5559,61.8,1,2,3,1,0,0,7,1,3.3,3.3,1.8,5.1,41,229,14,0.02,0.03,0.05,0.02,0.05,0.05,0.03,0.08,0.05,0.08,
Sam Beukema,Napoli,AZ Alkmaar (2 Seasons),AZ Alkmaar (2 Seasons),AZ Alkmaar (2 Seasons),,1 League,,50,32,3192,35.5,5,1,6,5,0,0,2,0,3.9,3.9,0.6,4.5,50,176,9,0.14,0.03,0.17,0.14,0.17,0.11,0.02,0.13,0.11,0.13,
Sam Beukema,Napoli,Napoli (1 Season),Napoli (1 Season),Napoli (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Beukema,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Beukema,Napoli,Eerste Divisie (4 Seasons),Eerste Divisie (4 Seasons),Eerste Divisie (4 Seasons),,,,66,63,5698,63.3,9,2,11,8,1,1,6,0,,,,,,,,0.14,0.03,0.17,0.13,0.16,,,,,,
Sam Beukema,Napoli,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,65,62,5559,61.8,1,2,3,1,0,0,7,1,3.3,3.3,1.8,5.1,41,229,14,0.02,0.03,0.05,0.02,0.05,0.05,0.03,0.08,0.05,0.08,
Sam Beukema,Napoli,Eredivisie (2 Seasons),Eredivisie (2 Seasons),Eredivisie (2 Seasons),,,,50,32,3192,35.5,5,1,6,5,0,0,2,0,3.9,3.9,0.6,4.5,50,176,9,0.14,0.03,0.17,0.14,0.17,0.11,0.02,0.13,0.11,0.13,
