Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Scott McTominay,Napoli,2016-2017,19,Manchester Utd,eng ENG,1. Premier League,6th,2,1,97,1.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Scott McTominay,Napoli,2016-2017,19,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,6th,17,17,1431,15.9,3,0,3,3,0,0,4,0,,,,,,,,0.19,0.00,0.19,0.19,0.19,,,,,,Matches
Scott McTominay,Napoli,2017-2018,20,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,12th,4,4,359,4.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Scott McTominay,Napoli,2017-2018,20,Manchester Utd,eng ENG,1. Premier League,2nd,13,7,634,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,11,48,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Scott McTominay,Napoli,2018-2019,21,Manchester Utd,eng ENG,1. Premier League,6th,16,9,867,9.6,2,0,2,2,0,0,1,0,1.5,1.5,0.0,1.5,8,34,12,0.21,0.00,0.21,0.21,0.21,0.15,0.00,0.16,0.15,0.16,Matches
Scott McTominay,Napoli,2019-2020,22,Manchester Utd,eng ENG,1. Premier League,3rd,27,20,1772,19.7,4,1,5,4,0,0,2,0,2.2,2.2,1.0,3.2,25,95,27,0.20,0.05,0.25,0.20,0.25,0.11,0.05,0.16,0.11,0.16,Matches
Scott McTominay,Napoli,2020-2021,23,Manchester Utd,eng ENG,1. Premier League,2nd,32,24,2129,23.7,4,1,5,4,0,0,3,0,2.1,2.1,1.7,3.8,57,118,26,0.17,0.04,0.21,0.17,0.21,0.09,0.07,0.16,0.09,0.16,Matches
Scott McTominay,Napoli,2021-2022,24,Manchester Utd,eng ENG,1. Premier League,6th,30,28,2387,26.5,1,1,2,1,0,0,9,0,1.4,1.4,1.5,2.9,40,125,37,0.04,0.04,0.08,0.04,0.08,0.05,0.06,0.11,0.05,0.11,Matches
Scott McTominay,Napoli,2022-2023,25,Manchester Utd,eng ENG,1. Premier League,3rd,24,10,1160,12.9,1,0,1,1,0,0,8,0,1.9,1.9,0.6,2.5,20,33,19,0.08,0.00,0.08,0.08,0.08,0.15,0.04,0.19,0.15,0.19,Matches
