Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stanislav Lobotka,Napoli,2013-2014,18,Jong Ajax,nl NED,2. Eerste Divisie,14th,30,22,2090,23.2,3,1,4,3,0,0,1,0,,,,,,,,0.13,0.04,0.17,0.13,0.17,,,,,,
Stanislav Lobotka,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislav Lobotka,Napoli,2015-2016,20,Nordsjælland,dk DEN,1. Danish Superliga,9th,26,26,2314,25.7,0,4,4,0,0,0,3,0,,,,,,,,0.00,0.16,0.16,0.00,0.16,,,,,,Matches
Stanislav Lobotka,Napoli,2016-2017,21,Nordsjælland,dk DEN,1. Danish Superliga,5th,35,35,3129,34.8,0,4,4,0,0,0,7,0,,,,,,,,0.00,0.12,0.12,0.00,0.12,,,,,,Matches
Stanislav Lobotka,Napoli,2017-2018,22,Celta Vigo,es ESP,1. La Liga,13th,38,34,3061,34.0,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,32,205,28,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
Stanislav Lobotka,Napoli,2018-2019,23,Celta Vigo,es ESP,1. La Liga,17th,31,27,2489,27.7,0,1,1,0,0,0,1,0,0.9,0.9,0.9,1.8,46,118,34,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.06,0.03,0.06,Matches
Stanislav Lobotka,Napoli,2019-2020,24,Celta Vigo,es ESP,1. La Liga,17th,17,17,1383,15.4,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,27,84,22,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Stanislav Lobotka,Napoli,2019-2020,24,Napoli,it ITA,1. Serie A,7th,14,9,752,8.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,13,42,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches
Stanislav Lobotka,Napoli,2020-2021,25,Napoli,it ITA,1. Serie A,5th,15,0,154,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
