Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vanja Milinković-Savić,Napoli,2014-2015,17,Vojvodina,rs SRB,1. SuperLiga,4th,17,17,1530,17.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Vanja Milinković-Savić,Napoli,2015-2016,18,Lechia Gdańsk,pl POL,1. Ekstraklasa,5th,11,11,990,11.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Vanja Milinković-Savić,Napoli,2016-2017,19,Lechia Gdańsk,pl POL,1. Ekstraklasa,4th,18,18,1710,19.0,0,0,0,0,0,0,3,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Vanja Milinković-Savić,Napoli,2017-2018,20,Torino,it ITA,1. Serie A,9th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Milinković-Savić,Napoli,2018-2019,21,SPAL,it ITA,1. Serie A,13th,2,2,164,1.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Milinković-Savić,Napoli,2018-2019,21,Ascoli,it ITA,2. Serie B,13th,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Milinković-Savić,Napoli,2019-2020,22,Standard Liège,be BEL,1. First Division A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vanja Milinković-Savić,Napoli,2020-2021,23,Torino,it ITA,1. Serie A,17th,5,5,450,5.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Milinković-Savić,Napoli,2021-2022,24,Torino,it ITA,1. Serie A,10th,27,27,2430,27.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Milinković-Savić,Napoli,2022-2023,25,Torino,it ITA,1. Serie A,10th,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Vanja Milinković-Savić,Napoli,2023-2024,26,Torino,it ITA,1. Serie A,9th,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Milinković-Savić,Napoli,2024-2025,27,Torino,it ITA,1. Serie A,11th,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Milinković-Savić,Napoli,2025-2026,28,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vanja Milinković-Savić,Napoli,12 Seasons,12 Seasons,7 Clubs,,5 Leagues,,200,200,18074,200.8,0,0,0,0,0,0,22,3,0.1,0.1,0.7,0.8,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,
Vanja Milinković-Savić,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vanja Milinković-Savić,Napoli,Torino (6 Seasons),Torino (6 Seasons),Torino (6 Seasons),,1 League,,144,144,12960,144.0,0,0,0,0,0,0,12,1,0.1,0.1,0.7,0.8,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,
Vanja Milinković-Savić,Napoli,Lechia Gdańsk (2 Seasons),Lechia Gdańsk (2 Seasons),Lechia Gdańsk (2 Seasons),,1 League,,29,29,2700,30.0,0,0,0,0,0,0,5,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Vanja Milinković-Savić,Napoli,Vojvodina (1 Season),Vojvodina (1 Season),Vojvodina (1 Season),,1 League,,17,17,1530,17.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Vanja Milinković-Savić,Napoli,Ascoli (1 Season),Ascoli (1 Season),Ascoli (1 Season),,1 League,,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Vanja Milinković-Savić,Napoli,SPAL (1 Season),SPAL (1 Season),SPAL (1 Season),,1 League,,2,2,164,1.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Vanja Milinković-Savić,Napoli,Standard Liège (1 Season),Standard Liège (1 Season),Standard Liège (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanja Milinković-Savić,Napoli,Napoli (1 Season),Napoli (1 Season),Napoli (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanja Milinković-Savić,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanja Milinković-Savić,Napoli,Serie A (8 Seasons),Serie A (8 Seasons),Serie A (8 Seasons),,,,146,146,13124,145.8,0,0,0,0,0,0,13,2,0.1,0.1,0.7,0.8,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,
Vanja Milinković-Savić,Napoli,Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,29,29,2700,30.0,0,0,0,0,0,0,5,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Vanja Milinković-Savić,Napoli,SuperLiga (1 Season),SuperLiga (1 Season),SuperLiga (1 Season),,,,17,17,1530,17.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
