Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mandela Keita,Parma,2020-2021,18,OH Leuven,be BEL,1. First Division A,11th,1,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mandela Keita,Parma,2021-2022,19,OH Leuven,be BEL,1. First Division A,11th,25,18,1585,17.6,0,1,1,0,0,0,5,0,0.3,0.3,0.2,0.4,16,69,8,0.00,0.06,0.06,0.00,0.06,0.01,0.01,0.02,0.01,0.02,Matches
Mandela Keita,Parma,2022-2023,20,OH Leuven,be BEL,1. Pro League A,10th,8,2,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Mandela Keita,Parma,2022-2023,20,Antwerp,be BEL,1. Pro League A,1st,11,11,845,9.4,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1.0,9,38,11,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10,Matches
Mandela Keita,Parma,2023-2024,21,OH Leuven,be BEL,1. Pro League A,10th,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mandela Keita,Parma,2023-2024,21,Antwerp,be BEL,1. Pro League A,6th,20,17,1485,16.5,0,2,2,0,0,0,3,1,0.3,0.3,1.2,1.6,23,94,12,0.00,0.12,0.12,0.00,0.12,0.02,0.07,0.10,0.02,0.10,Matches
Mandela Keita,Parma,2024-2025,22,Antwerp,be BEL,1. Pro League A,5th,5,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Mandela Keita,Parma,2024-2025,22,Parma,it ITA,1. Serie A,16th,30,24,1826,20.3,0,2,2,0,0,0,6,1,0.1,0.1,1.0,1.2,13,50,5,0.00,0.10,0.10,0.00,0.10,0.01,0.05,0.06,0.01,0.06,Matches
Mandela Keita,Parma,2025-2026,23,Parma,it ITA,1. Serie A,18th,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches
Mandela Keita,Parma,6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,102,77,6429,71.4,0,6,6,0,0,0,15,2,1.1,1.1,3.3,4.4,71,290,39,0.00,0.08,0.08,0.00,0.08,0.01,0.05,0.06,0.01,0.06,
Mandela Keita,Parma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mandela Keita,Parma,OH Leuven (4 Seasons),OH Leuven (4 Seasons),OH Leuven (4 Seasons),,1 League,,35,22,1948,21.6,0,1,1,0,0,0,6,0,0.3,0.3,0.3,0.6,19,91,10,0.00,0.05,0.05,0.00,0.05,0.01,0.02,0.03,0.01,0.03,
Mandela Keita,Parma,Antwerp (3 Seasons),Antwerp (3 Seasons),Antwerp (3 Seasons),,1 League,,36,30,2568,28.5,0,3,3,0,0,0,3,1,0.6,0.6,1.9,2.6,38,148,24,0.00,0.11,0.11,0.00,0.11,0.02,0.07,0.09,0.02,0.09,
Mandela Keita,Parma,Parma (2 Seasons),Parma (2 Seasons),Parma (2 Seasons),,1 League,,31,25,1913,21.3,0,2,2,0,0,0,6,1,0.2,0.2,1.1,1.2,14,51,5,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.06,0.01,0.06,
Mandela Keita,Parma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandela Keita,Parma,First Division A (5 Seasons),First Division A (5 Seasons),First Division A (5 Seasons),,,,71,52,4516,50.2,0,4,4,0,0,0,9,1,0.9,0.9,2.3,3.2,57,239,34,0.00,0.08,0.08,0.00,0.08,0.02,0.05,0.06,0.02,0.06,
Mandela Keita,Parma,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,31,25,1913,21.3,0,2,2,0,0,0,6,1,0.2,0.2,1.1,1.2,14,51,5,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.06,0.01,0.06,
