Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nahuel Estévez,Parma,2018-2019,22,Estudiantes–LP,ar ARG,1. Liga Argentina,17th,14,8,755,8.4,1,2,3,1,0,1,3,1,1.6,0.8,1.5,2.3,9,25,39,0.12,0.24,0.36,0.12,0.36,0.19,0.18,0.37,0.09,0.27,Matches
Nahuel Estévez,Parma,2019-2020,23,Estudiantes–LP,ar ARG,1. Liga Argentina,13th,17,10,957,10.6,1,1,2,1,0,0,4,0,1.5,1.5,2.1,3.6,16,57,32,0.09,0.09,0.19,0.09,0.19,0.14,0.20,0.34,0.14,0.34,Matches
Nahuel Estévez,Parma,2020-2021,24,Spezia,it ITA,1. Serie A,15th,27,19,1768,19.6,0,3,3,0,0,0,7,0,1.9,1.9,2.8,4.7,32,101,80,0.00,0.15,0.15,0.00,0.15,0.09,0.14,0.24,0.09,0.24,Matches
Nahuel Estévez,Parma,2021,25,Estudiantes–LP,ar ARG,1. Liga Argentina,6th,6,2,256,2.8,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.7,3,12,3,0.00,0.35,0.35,0.00,0.35,0.18,0.06,0.24,0.18,0.24,Matches
Nahuel Estévez,Parma,2021-2022,25,Crotone,it ITA,2. Serie B,19th,27,26,2146,23.8,0,4,4,0,0,0,9,0,0.9,0.9,2.4,3.3,34,181,45,0.00,0.17,0.17,0.00,0.17,0.04,0.10,0.14,0.04,0.14,Matches
Nahuel Estévez,Parma,2022-2023,26,Parma,it ITA,2. Serie B,4th,36,30,2619,29.1,1,2,3,1,0,0,7,1,1.6,1.6,2.0,3.6,11,144,41,0.03,0.07,0.10,0.03,0.10,0.06,0.07,0.12,0.06,0.12,Matches
Nahuel Estévez,Parma,2023-2024,27,Parma,it ITA,2. Serie B,1st,32,25,2303,25.6,3,1,4,3,0,0,6,0,1.1,1.0,2.0,3.0,8,130,21,0.12,0.04,0.16,0.12,0.16,0.04,0.08,0.12,0.04,0.12,Matches
Nahuel Estévez,Parma,2024-2025,28,Parma,it ITA,1. Serie A,16th,14,7,657,7.3,0,0,0,0,0,0,3,0,0.1,0.1,0.8,0.8,3,30,4,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.12,0.01,0.12,Matches
Nahuel Estévez,Parma,2025-2026,29,Parma,it ITA,1. Serie A,18th,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches
Nahuel Estévez,Parma,8 Seasons,8 Seasons,4 Clubs,,3 Leagues,,174,127,11464,127.4,6,14,20,6,0,1,39,2,9.0,8.2,13.7,21.9,116,680,265,0.05,0.11,0.16,0.05,0.16,0.07,0.11,0.18,0.06,0.17,
Nahuel Estévez,Parma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nahuel Estévez,Parma,Parma (4 Seasons),Parma (4 Seasons),Parma (4 Seasons),,2 Leagues,,83,62,5582,62.0,4,3,7,4,0,0,16,1,2.8,2.8,4.7,7.5,22,304,66,0.06,0.05,0.11,0.06,0.11,0.04,0.08,0.12,0.04,0.12,
Nahuel Estévez,Parma,Estudiantes–LP (3 Seasons),Estudiantes–LP (3 Seasons),Estudiantes–LP (3 Seasons),,1 League,,37,20,1968,21.9,2,4,6,2,0,1,7,1,3.6,2.8,3.8,6.6,28,94,74,0.09,0.18,0.27,0.09,0.27,0.16,0.17,0.34,0.13,0.30,
Nahuel Estévez,Parma,Crotone (1 Season),Crotone (1 Season),Crotone (1 Season),,1 League,,27,26,2146,23.8,0,4,4,0,0,0,9,0,0.9,0.9,2.4,3.3,34,181,45,0.00,0.17,0.17,0.00,0.17,0.04,0.10,0.14,0.04,0.14,
