Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Denoon,Pisa,2024-2025,20,Zürich,ch SUI,1. Super Lg,7th,13,10,680,7.6,0,0,0,0,0,0,6,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniel Denoon,Pisa,2025-2026,21,Pisa,it ITA,1. Serie A,12th,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Denoon,Pisa,2 Seasons,2 Seasons,2 Clubs,,2 Leagues,,14,11,757,8.4,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniel Denoon,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Denoon,Pisa,Zürich (1 Season),Zürich (1 Season),Zürich (1 Season),,1 League,,13,10,680,7.6,0,0,0,0,0,0,6,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniel Denoon,Pisa,Pisa (1 Season),Pisa (1 Season),Pisa (1 Season),,1 League,,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniel Denoon,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Denoon,Pisa,Super Lg (1 Season),Super Lg (1 Season),Super Lg (1 Season),,,,13,10,680,7.6,0,0,0,0,0,0,6,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniel Denoon,Pisa,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
