Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Henrik Meister,Pisa,2023,19,Sarpsborg 08,no NOR,1. Eliteserien,8th,3,0,38,0.4,1,0,1,1,0,0,1,0,,,,,,,,2.37,0.00,2.37,2.37,2.37,,,,,,Matches
Henrik Meister,Pisa,2024,20,Sarpsborg 08,no NOR,1. Eliteserien,9th,18,16,1361,15.1,8,0,8,8,0,0,3,0,,,,,,,,0.53,0.00,0.53,0.53,0.53,,,,,,Matches
Henrik Meister,Pisa,2024-2025,20,Rennes,fr FRA,1. Ligue 1,12th,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,1.43,0.00,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,Matches
Henrik Meister,Pisa,2024-2025,20,Pisa,it ITA,2. Serie B,2nd,15,7,540,6.0,2,0,2,2,0,0,5,0,1.0,1.0,0.0,1.0,8,4,39,0.33,0.00,0.33,0.33,0.33,0.17,0.00,0.17,0.17,0.17,Matches
Henrik Meister,Pisa,2025-2026,21,Pisa,it ITA,1. Serie A,12th,1,1,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Henrik Meister,Pisa,3 Seasons,3 Seasons,3 Clubs,,4 Leagues,,41,24,2055,22.8,12,0,12,12,0,0,9,0,1.1,1.1,0.3,1.3,10,5,47,0.53,0.00,0.53,0.53,0.53,0.14,0.04,0.18,0.14,0.18,
Henrik Meister,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Henrik Meister,Pisa,Sarpsborg 08 (2 Seasons),Sarpsborg 08 (2 Seasons),Sarpsborg 08 (2 Seasons),,1 League,,21,16,1399,15.5,9,0,9,9,0,0,4,0,,,,,,,,0.58,0.00,0.58,0.58,0.58,,,,,,
Henrik Meister,Pisa,Pisa (2 Seasons),Pisa (2 Seasons),Pisa (2 Seasons),,2 Leagues,,16,8,593,6.6,2,0,2,2,0,0,5,0,1.0,1.0,0.0,1.0,8,4,43,0.30,0.00,0.30,0.30,0.30,0.15,0.00,0.16,0.15,0.16,
Henrik Meister,Pisa,Rennes (1 Season),Rennes (1 Season),Rennes (1 Season),,1 League,,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,1.43,0.00,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,
Henrik Meister,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrik Meister,Pisa,Eliteserien (2 Seasons),Eliteserien (2 Seasons),Eliteserien (2 Seasons),,,,21,16,1399,15.5,9,0,9,9,0,0,4,0,,,,,,,,0.58,0.00,0.58,0.58,0.58,,,,,,
Henrik Meister,Pisa,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,15,7,540,6.0,2,0,2,2,0,0,5,0,1.0,1.0,0.0,1.0,8,4,39,0.33,0.00,0.33,0.33,0.33,0.17,0.00,0.17,0.17,0.17,
Henrik Meister,Pisa,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,1.43,0.00,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,
Henrik Meister,Pisa,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
