Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Idrissa Touré,Pisa,2015-2016,17,RB Leipzig,de GER,2. 2. Bundesliga,2nd,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Idrissa Touré,Pisa,2016-2017,18,RB Leipzig,de GER,Jr. U19 Bundesliga,11th,7,7,535,5.9,1,,,1,0,0,2,0,,,,,,,,0.17,,,0.17,,,,,,,Matches
Idrissa Touré,Pisa,2017-2018,19,Wrd Bremen II,de GER,3. 3. Liga,18th,35,24,2389,26.5,2,2,4,2,0,0,11,0,,,,,,,,0.08,0.08,0.15,0.08,0.15,,,,,,Matches
Idrissa Touré,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idrissa Touré,Pisa,2020-2021,22,Vitesse,nl NED,1. Eredivisie,4th,20,4,546,6.1,1,0,1,1,0,0,2,1,1.4,1.4,0.3,1.7,11,24,12,0.16,0.00,0.16,0.16,0.16,0.23,0.05,0.28,0.23,0.28,Matches
Idrissa Touré,Pisa,2021-2022,23,Pisa,it ITA,2. Serie B,3rd,32,22,1873,20.8,3,0,3,3,0,0,4,1,3.1,3.1,1.4,4.5,28,53,73,0.14,0.00,0.14,0.14,0.14,0.15,0.07,0.22,0.15,0.22,Matches
Idrissa Touré,Pisa,2022-2023,24,Pisa,it ITA,2. Serie B,11th,29,23,1987,22.1,3,2,5,3,0,0,3,0,2.0,2.0,1.8,3.8,28,78,106,0.14,0.09,0.23,0.14,0.23,0.09,0.08,0.17,0.09,0.17,Matches
Idrissa Touré,Pisa,2023-2024,25,Pisa,it ITA,2. Serie B,13th,19,6,745,8.3,0,2,2,0,0,0,3,0,0.6,0.6,1.5,2.1,12,24,33,0.00,0.24,0.24,0.00,0.24,0.08,0.18,0.25,0.08,0.25,Matches
Idrissa Touré,Pisa,2024-2025,26,Pisa,it ITA,2. Serie B,2nd,33,31,2427,27.0,6,4,10,6,0,0,7,1,3.8,3.8,3.0,6.8,46,57,122,0.22,0.15,0.37,0.22,0.37,0.14,0.11,0.25,0.14,0.25,Matches
Idrissa Touré,Pisa,2025-2026,27,Pisa,it ITA,1. Serie A,12th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,2,1,0.00,0.00,0.00,0.00,0.00,0.21,0.09,0.30,0.21,0.30,Matches
Idrissa Touré,Pisa,8 Seasons,8 Seasons,4 Clubs,,5 Leagues,,170,111,10059,111.8,15,10,25,15,0,0,30,3,11.2,11.2,8.0,19.2,125,238,347,0.13,0.09,0.22,0.13,0.22,0.13,0.09,0.22,0.13,0.22,
Idrissa Touré,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Idrissa Touré,Pisa,Pisa (5 Seasons),Pisa (5 Seasons),Pisa (5 Seasons),,2 Leagues,,114,83,7122,79.1,12,8,20,12,0,0,17,2,9.8,9.8,7.7,17.5,114,214,335,0.15,0.10,0.25,0.15,0.25,0.12,0.10,0.22,0.12,0.22,
Idrissa Touré,Pisa,Wrd Bremen II (1 Season),Wrd Bremen II (1 Season),Wrd Bremen II (1 Season),,1 League,,35,24,2389,26.5,2,2,4,2,0,0,11,0,,,,,,,,0.08,0.08,0.15,0.08,0.15,,,,,,
Idrissa Touré,Pisa,Vitesse (1 Season),Vitesse (1 Season),Vitesse (1 Season),,1 League,,20,4,546,6.1,1,0,1,1,0,0,2,1,1.4,1.4,0.3,1.7,11,24,12,0.16,0.00,0.16,0.16,0.16,0.23,0.05,0.28,0.23,0.28,
Idrissa Touré,Pisa,RB Leipzig (1 Season),RB Leipzig (1 Season),RB Leipzig (1 Season),,1 League,,7,7,535,5.9,1,,,1,0,0,2,0,,,,,,,,0.17,,,0.17,,,,,,,
Idrissa Touré,Pisa,RB Leipzig (1 Season),RB Leipzig (1 Season),RB Leipzig (1 Season),,1 League,,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Idrissa Touré,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idrissa Touré,Pisa,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,113,82,7032,78.1,12,8,20,12,0,0,17,2,9.5,9.5,7.6,17.2,114,212,334,0.15,0.10,0.26,0.15,0.26,0.12,0.10,0.22,0.12,0.22,
Idrissa Touré,Pisa,3. Liga (1 Season),3. Liga (1 Season),3. Liga (1 Season),,,,35,24,2389,26.5,2,2,4,2,0,0,11,0,,,,,,,,0.08,0.08,0.15,0.08,0.15,,,,,,
Idrissa Touré,Pisa,Eredivisie (1 Season),Eredivisie (1 Season),Eredivisie (1 Season),,,,20,4,546,6.1,1,0,1,1,0,0,2,1,1.4,1.4,0.3,1.7,11,24,12,0.16,0.00,0.16,0.16,0.16,0.23,0.05,0.28,0.23,0.28,
Idrissa Touré,Pisa,U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),,,,7,7,535,5.9,1,,,1,0,0,2,0,,,,,,,,0.17,,,0.17,,,,,,,
Idrissa Touré,Pisa,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,2,1,0.00,0.00,0.00,0.00,0.00,0.21,0.09,0.30,0.21,0.30,
Idrissa Touré,Pisa,2. Bundesliga (1 Season),2. Bundesliga (1 Season),2. Bundesliga (1 Season),,,,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
