Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Juan Cuadrado,Pisa,2009-2010,21,Udinese,it ITA,1. Serie A,15th,11,4,457,5.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Juan Cuadrado,Pisa,2010-2011,22,Udinese,it ITA,1. Serie A,4th,9,3,343,3.8,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Juan Cuadrado,Pisa,2011-2012,23,Lecce,it ITA,1. Serie A,18th,33,32,2700,30.0,3,1,4,3,0,0,10,1,,,,,,,,0.10,0.03,0.13,0.10,0.13,,,,,,Matches
Juan Cuadrado,Pisa,2012-2013,24,Fiorentina,it ITA,1. Serie A,4th,36,34,2955,32.8,5,7,12,5,0,0,11,0,,,,,,,,0.15,0.21,0.37,0.15,0.37,,,,,,Matches
Juan Cuadrado,Pisa,2013-2014,25,Fiorentina,it ITA,1. Serie A,4th,32,31,2695,29.9,11,6,17,11,0,0,8,1,,,,,,,,0.37,0.20,0.57,0.37,0.57,,,,,,Matches
Juan Cuadrado,Pisa,2014-2015,26,Fiorentina,it ITA,1. Serie A,4th,17,17,1441,16.0,4,4,8,4,0,0,5,0,,,,,,,,0.25,0.25,0.50,0.25,0.50,,,,,,Matches
Juan Cuadrado,Pisa,2014-2015,26,Chelsea,eng ENG,1. Premier League,1st,12,4,315,3.5,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Juan Cuadrado,Pisa,2015-2016,27,Chelsea,eng ENG,1. Premier League,10th,1,0,27,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Juan Cuadrado,Pisa,2015-2016,27,Juventus,it ITA,1. Serie A,1st,28,16,1724,19.2,4,5,9,4,0,0,2,0,,,,,,,,0.21,0.26,0.47,0.21,0.47,,,,,,Matches
