Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Malthe Hojholt,Pisa,2019-2020,18,Aalborg,dk DEN,1. Danish Superliga,5th,4,2,174,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Malthe Hojholt,Pisa,2020-2021,19,Aalborg,dk DEN,1. Danish Superliga,7th,11,7,541,6.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Malthe Hojholt,Pisa,2021-2022,20,Aalborg,dk DEN,1. Danish Superliga,5th,30,27,2299,25.5,0,0,0,0,0,0,8,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Malthe Hojholt,Pisa,2022-2023,21,Aalborg,dk DEN,1. Danish Superliga,12th,26,20,1876,20.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Malthe Hojholt,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malthe Hojholt,Pisa,2024-2025,23,Aalborg,dk DEN,1. Danish Superliga,12th,3,3,245,2.7,1,0,1,1,0,0,0,0,,,,,,,,0.37,0.00,0.37,0.37,0.37,,,,,,Matches
Malthe Hojholt,Pisa,2024-2025,23,Pisa,it ITA,2. Serie B,2nd,30,11,1278,14.2,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.4,10,53,24,0.00,0.07,0.07,0.00,0.07,0.03,0.08,0.10,0.03,0.10,Matches
Malthe Hojholt,Pisa,2025-2026,24,Pisa,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Malthe Hojholt,Pisa,6 Seasons,6 Seasons,2 Clubs,,3 Leagues,,104,70,6413,71.3,1,1,2,1,0,0,14,0,0.4,0.4,1.1,1.4,10,53,24,0.01,0.01,0.03,0.01,0.03,0.03,0.08,0.10,0.03,0.10,
Malthe Hojholt,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Malthe Hojholt,Pisa,Aalborg (5 Seasons),Aalborg (5 Seasons),Aalborg (5 Seasons),,1 League,,74,59,5135,57.1,1,0,1,1,0,0,13,0,,,,,,,,0.02,0.00,0.02,0.02,0.02,,,,,,
Malthe Hojholt,Pisa,Pisa (2 Seasons),Pisa (2 Seasons),Pisa (2 Seasons),,2 Leagues,,30,11,1278,14.2,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.4,10,53,24,0.00,0.07,0.07,0.00,0.07,0.03,0.08,0.10,0.03,0.10,
Malthe Hojholt,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malthe Hojholt,Pisa,Danish Superliga (5 Seasons),Danish Superliga (5 Seasons),Danish Superliga (5 Seasons),,,,74,59,5135,57.1,1,0,1,1,0,0,13,0,,,,,,,,0.02,0.00,0.02,0.02,0.02,,,,,,
Malthe Hojholt,Pisa,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,30,11,1278,14.2,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.4,10,53,24,0.00,0.07,0.07,0.00,0.07,0.03,0.08,0.10,0.03,0.10,
Malthe Hojholt,Pisa,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
