Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattéo Tramoni,Pisa,2017-2018,17,Ajaccio,fr FRA,2. Ligue 2,3rd,9,0,132,1.5,1,0,1,1,0,0,0,0,,,,,,,,0.68,0.00,0.68,0.68,0.68,,,,,,Matches
Mattéo Tramoni,Pisa,2018-2019,18,Ajaccio,fr FRA,2. Ligue 2,17th,28,17,1486,16.5,2,1,3,2,0,0,3,0,,,,,,,,0.12,0.06,0.18,0.12,0.18,,,,,,Matches
Mattéo Tramoni,Pisa,2019-2020,19,Ajaccio,fr FRA,2. Ligue 2,3rd,24,18,1422,15.8,2,3,5,2,0,0,4,0,,,,,,,,0.13,0.19,0.32,0.13,0.32,,,,,,Matches
Mattéo Tramoni,Pisa,2020-2021,20,Ajaccio,fr FRA,2. Ligue 2,13th,1,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mattéo Tramoni,Pisa,2020-2021,20,Cagliari,it ITA,1. Serie A,16th,6,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Mattéo Tramoni,Pisa,2021-2022,21,Brescia,it ITA,2. Serie B,5th,38,21,2007,22.3,7,2,9,6,1,1,4,0,8.3,7.5,4.3,11.8,72,96,206,0.31,0.09,0.40,0.27,0.36,0.37,0.19,0.57,0.34,0.53,Matches
Mattéo Tramoni,Pisa,2022-2023,22,Pisa,it ITA,2. Serie B,11th,32,14,1379,15.3,5,1,6,5,0,0,1,0,3.3,3.3,1.7,5.0,37,61,96,0.33,0.07,0.39,0.33,0.39,0.22,0.11,0.33,0.22,0.33,Matches
Mattéo Tramoni,Pisa,2023-2024,23,Pisa,it ITA,2. Serie B,13th,7,2,260,2.9,3,1,4,3,0,0,0,0,1.2,1.2,0.2,1.5,6,6,24,1.04,0.35,1.38,1.04,1.38,0.43,0.08,0.51,0.43,0.51,Matches
Mattéo Tramoni,Pisa,2024-2025,24,Pisa,it ITA,2. Serie B,2nd,26,23,1945,21.6,13,3,16,12,1,1,0,0,9.5,8.7,3.2,12.0,42,74,125,0.60,0.14,0.74,0.56,0.69,0.44,0.15,0.59,0.40,0.55,Matches
Mattéo Tramoni,Pisa,2025-2026,25,Pisa,it ITA,1. Serie A,12th,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Mattéo Tramoni,Pisa,9 Seasons,9 Seasons,4 Clubs,,3 Leagues,,172,96,8789,97.7,33,11,44,31,2,2,13,0,22.4,20.9,9.5,30.3,160,239,455,0.34,0.11,0.45,0.32,0.43,0.35,0.15,0.50,0.33,0.48,
Mattéo Tramoni,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattéo Tramoni,Pisa,Pisa (4 Seasons),Pisa (4 Seasons),Pisa (4 Seasons),,2 Leagues,,66,40,3644,40.5,21,5,26,20,1,1,1,0,14.1,13.3,5.2,18.5,88,143,246,0.52,0.12,0.64,0.49,0.62,0.35,0.13,0.48,0.33,0.46,
Mattéo Tramoni,Pisa,Ajaccio (4 Seasons),Ajaccio (4 Seasons),Ajaccio (4 Seasons),,1 League,,62,35,3064,34.0,5,4,9,5,0,0,7,0,,,,,,,,0.15,0.12,0.26,0.15,0.26,,,,,,
Mattéo Tramoni,Pisa,Brescia (1 Season),Brescia (1 Season),Brescia (1 Season),,1 League,,38,21,2007,22.3,7,2,9,6,1,1,4,0,8.3,7.5,4.3,11.8,72,96,206,0.31,0.09,0.40,0.27,0.36,0.37,0.19,0.57,0.34,0.53,
Mattéo Tramoni,Pisa,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,6,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,
Mattéo Tramoni,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattéo Tramoni,Pisa,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,103,60,5591,62.1,28,7,35,26,2,2,5,0,22.4,20.8,9.5,30.3,157,237,451,0.45,0.11,0.56,0.42,0.53,0.36,0.15,0.51,0.33,0.49,
Mattéo Tramoni,Pisa,Ligue 2 (4 Seasons),Ligue 2 (4 Seasons),Ligue 2 (4 Seasons),,,,62,35,3064,34.0,5,4,9,5,0,0,7,0,,,,,,,,0.15,0.12,0.26,0.15,0.26,,,,,,
