Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mehdi Léris,Pisa,2017-2018,19,Chievo,it ITA,1. Serie A,13th,4,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mehdi Léris,Pisa,2018-2019,20,Chievo,it ITA,1. Serie A,20th,23,18,1607,17.9,0,2,2,0,0,0,5,0,1.7,1.7,0.9,2.6,32,66,84,0.00,0.11,0.11,0.00,0.11,0.10,0.05,0.15,0.10,0.15,Matches
Mehdi Léris,Pisa,2019-2020,21,Sampdoria,it ITA,1. Serie A,15th,15,3,509,5.7,1,1,2,1,0,0,0,0,0.6,0.5,0.7,1.2,11,23,54,0.18,0.18,0.35,0.18,0.35,0.10,0.13,0.23,0.09,0.22,Matches
Mehdi Léris,Pisa,2020-2021,22,Sampdoria,it ITA,1. Serie A,9th,20,3,386,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,17,19,36,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
Mehdi Léris,Pisa,2021-2022,23,Brescia,it ITA,2. Serie B,5th,33,30,2390,26.6,2,4,6,2,0,0,7,0,6.5,6.5,4.5,11.0,101,103,253,0.08,0.15,0.23,0.08,0.23,0.24,0.17,0.41,0.24,0.41,Matches
Mehdi Léris,Pisa,2022-2023,24,Sampdoria,it ITA,1. Serie A,20th,32,29,2460,27.3,1,1,2,1,0,0,13,0,3.4,3.4,1.8,5.2,56,62,165,0.04,0.04,0.07,0.04,0.07,0.13,0.07,0.19,0.13,0.19,Matches
Mehdi Léris,Pisa,2023-2024,25,Stoke City,eng ENG,2. Championship,17th,30,18,1586,17.6,2,2,4,2,0,0,5,0,1.7,1.7,1.6,3.2,30,48,132,0.11,0.11,0.23,0.11,0.23,0.10,0.09,0.18,0.10,0.18,Matches
Mehdi Léris,Pisa,2024-2025,26,Pisa,it ITA,2. Serie B,2nd,3,2,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,3,1,14,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.20,0.12,0.20,Matches
Mehdi Léris,Pisa,2025-2026,27,Pisa,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mehdi Léris,Pisa,9 Seasons,9 Seasons,5 Clubs,,3 Leagues,,160,103,9148,101.6,6,10,16,6,0,0,31,0,14.2,14.1,10.0,24.1,250,322,742,0.06,0.10,0.16,0.06,0.16,0.14,0.10,0.24,0.14,0.24,
Mehdi Léris,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mehdi Léris,Pisa,Sampdoria (3 Seasons),Sampdoria (3 Seasons),Sampdoria (3 Seasons),,1 League,,67,35,3355,37.3,2,2,4,2,0,0,14,0,4.1,4.0,2.9,6.9,84,104,255,0.05,0.05,0.11,0.05,0.11,0.11,0.08,0.19,0.11,0.19,
Mehdi Léris,Pisa,Chievo (2 Seasons),Chievo (2 Seasons),Chievo (2 Seasons),,1 League,,27,18,1649,18.3,0,2,2,0,0,0,5,0,1.7,1.7,0.9,2.6,32,66,88,0.00,0.11,0.11,0.00,0.11,0.09,0.05,0.14,0.09,0.14,
Mehdi Léris,Pisa,Pisa (2 Seasons),Pisa (2 Seasons),Pisa (2 Seasons),,2 Leagues,,3,2,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,3,1,14,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.20,0.12,0.20,
Mehdi Léris,Pisa,Brescia (1 Season),Brescia (1 Season),Brescia (1 Season),,1 League,,33,30,2390,26.6,2,4,6,2,0,0,7,0,6.5,6.5,4.5,11.0,101,103,253,0.08,0.15,0.23,0.08,0.23,0.24,0.17,0.41,0.24,0.41,
Mehdi Léris,Pisa,Stoke City (1 Season),Stoke City (1 Season),Stoke City (1 Season),,1 League,,30,18,1586,17.6,2,2,4,2,0,0,5,0,1.7,1.7,1.6,3.2,30,48,132,0.11,0.11,0.23,0.11,0.23,0.10,0.09,0.18,0.10,0.18,
Mehdi Léris,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehdi Léris,Pisa,Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,94,53,5004,55.6,2,4,6,2,0,0,19,0,5.8,5.7,3.8,9.5,116,170,343,0.04,0.07,0.11,0.04,0.11,0.10,0.07,0.17,0.10,0.17,
Mehdi Léris,Pisa,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,36,32,2558,28.4,2,4,6,2,0,0,7,0,6.7,6.7,4.6,11.3,104,104,267,0.07,0.14,0.21,0.07,0.21,0.24,0.16,0.40,0.24,0.40,
Mehdi Léris,Pisa,Championship (1 Season),Championship (1 Season),Championship (1 Season),,,,30,18,1586,17.6,2,2,4,2,0,0,5,0,1.7,1.7,1.6,3.2,30,48,132,0.11,0.11,0.23,0.11,0.23,0.10,0.09,0.18,0.10,0.18,
