Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michel Aebischer,Pisa,2016-2017,19,Young Boys,ch SUI,1. Super Lg,2nd,14,8,816,9.1,1,0,1,1,0,0,3,0,,,,,,,,0.11,0.00,0.11,0.11,0.11,,,,,,Matches
Michel Aebischer,Pisa,2017-2018,20,Young Boys,ch SUI,1. Super Lg,1st,19,10,902,10.0,0,1,1,0,0,0,4,0,,,,,,,,0.00,0.10,0.10,0.00,0.10,,,,,,Matches
Michel Aebischer,Pisa,2018-2019,21,Young Boys,ch SUI,1. Super Lg,1st,26,19,1710,19.0,4,7,11,4,0,0,7,0,,,,,,,,0.21,0.37,0.58,0.21,0.58,,,,,,Matches
Michel Aebischer,Pisa,2019-2020,22,Young Boys,ch SUI,1. Super Lg,1st,32,30,2601,28.9,3,7,10,3,0,0,8,1,,,,,,,,0.10,0.24,0.35,0.10,0.35,,,,,,Matches
Michel Aebischer,Pisa,2020-2021,23,Young Boys,ch SUI,1. Super Lg,1st,27,24,2034,22.6,2,3,5,2,0,0,8,0,,,,,,,,0.09,0.13,0.22,0.09,0.22,,,,,,Matches
Michel Aebischer,Pisa,2021-2022,24,Young Boys,ch SUI,1. Super Lg,3rd,15,13,1065,11.8,2,3,5,2,0,0,4,0,,,,,,,,0.17,0.25,0.42,0.17,0.42,,,,,,Matches
Michel Aebischer,Pisa,2021-2022,24,Bologna,it ITA,1. Serie A,13th,12,4,443,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,19,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
Michel Aebischer,Pisa,2022-2023,25,Bologna,it ITA,1. Serie A,9th,32,18,1542,17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14,46,85,0.06,0.00,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,Matches
Michel Aebischer,Pisa,2023-2024,26,Bologna,it ITA,1. Serie A,5th,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
Michel Aebischer,Pisa,2024-2025,27,Bologna,it ITA,1. Serie A,9th,14,9,724,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,8,33,17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Michel Aebischer,Pisa,2025-2026,28,Pisa,it ITA,1. Serie A,12th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Michel Aebischer,Pisa,10 Seasons,10 Seasons,3 Clubs,,2 Leagues,,228,162,14157,157.3,13,22,35,13,0,0,49,1,3.1,3.1,2.9,6.0,50,225,166,0.08,0.14,0.22,0.08,0.22,0.06,0.05,0.11,0.06,0.11,
Michel Aebischer,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michel Aebischer,Pisa,Young Boys (6 Seasons),Young Boys (6 Seasons),Young Boys (6 Seasons),,1 League,,133,104,9128,101.4,12,21,33,12,0,0,34,1,,,,,,,,0.12,0.21,0.33,0.12,0.33,,,,,,
Michel Aebischer,Pisa,Bologna (4 Seasons),Bologna (4 Seasons),Bologna (4 Seasons),,1 League,,94,57,4939,54.9,1,1,2,1,0,0,15,0,3.1,3.1,2.9,6.0,50,223,166,0.02,0.02,0.04,0.02,0.04,0.06,0.05,0.11,0.06,0.11,
Michel Aebischer,Pisa,Pisa (1 Season),Pisa (1 Season),Pisa (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,
Michel Aebischer,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Aebischer,Pisa,Super Lg (6 Seasons),Super Lg (6 Seasons),Super Lg (6 Seasons),,,,133,104,9128,101.4,12,21,33,12,0,0,34,1,,,,,,,,0.12,0.21,0.33,0.12,0.33,,,,,,
Michel Aebischer,Pisa,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,95,58,5029,55.9,1,1,2,1,0,0,15,0,3.1,3.1,2.9,6.0,50,225,166,0.02,0.02,0.04,0.02,0.04,0.06,0.05,0.11,0.06,0.11,
