Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nícolas Andrade,Pisa,2012-2013,24,Hellas Verona,it ITA,2. Serie B,2nd,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Nícolas Andrade,Pisa,2013-2014,25,Hellas Verona,it ITA,1. Serie A,10th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Nícolas Andrade,Pisa,2014-2015,26,Virtus Lanciano,it ITA,2. Serie B,14th,35,35,3138,34.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Nícolas Andrade,Pisa,2015-2016,27,Trapani,it ITA,2. Serie B,3rd,40,39,3588,39.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Nícolas Andrade,Pisa,2016-2017,28,Hellas Verona,it ITA,2. Serie B,2nd,42,42,3780,42.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Nícolas Andrade,Pisa,2017-2018,29,Hellas Verona,it ITA,1. Serie A,19th,36,36,3240,36.0,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nícolas Andrade,Pisa,2018-2019,30,Udinese,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nícolas Andrade,Pisa,2019-2020,31,Udinese,it ITA,1. Serie A,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nícolas Andrade,Pisa,2020-2021,32,Udinese,it ITA,1. Serie A,14th,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nícolas Andrade,Pisa,2020-2021,32,US Reggina,it ITA,2. Serie B,11th,21,21,1845,20.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nícolas Andrade,Pisa,2021-2022,33,Pisa,it ITA,2. Serie B,3rd,35,35,3131,34.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nícolas Andrade,Pisa,2022-2023,34,Pisa,it ITA,2. Serie B,11th,28,28,2447,27.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nícolas Andrade,Pisa,2023-2024,35,Pisa,it ITA,2. Serie B,13th,31,31,2790,31.0,0,0,0,0,0,0,6,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nícolas Andrade,Pisa,2024-2025,36,Pisa,it ITA,2. Serie B,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nícolas Andrade,Pisa,2025-2026,37,Pisa,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nícolas Andrade,Pisa,14 Seasons,14 Seasons,6 Clubs,,2 Leagues,,274,273,24499,272.2,0,0,0,0,0,0,19,1,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
