Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefano Moreo,Pisa,2014-2015,21,Virtus Entella,it ITA,2. Serie B,18th,8,4,364,4.0,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.25,0.25,0.00,0.25,,,,,,Matches
Stefano Moreo,Pisa,2015-2016,22,Virtus Entella,it ITA,2. Serie B,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stefano Moreo,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefano Moreo,Pisa,2017-2018,24,Venezia,it ITA,2. Serie B,5th,20,15,1324,14.7,3,3,6,3,0,0,3,0,,,,,,,,0.20,0.20,0.41,0.20,0.41,,,,,,Matches
Stefano Moreo,Pisa,2017-2018,24,Palermo,it ITA,2. Serie B,4th,15,4,547,6.1,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.16,0.16,0.00,0.16,,,,,,Matches
Stefano Moreo,Pisa,2018-2019,25,Palermo,it ITA,2. Serie B,11th,31,21,1831,20.3,6,5,11,6,0,0,5,0,6.0,6.0,3.3,9.3,36,47,154,0.29,0.25,0.54,0.29,0.54,0.30,0.16,0.46,0.30,0.46,Matches
Stefano Moreo,Pisa,2019-2020,26,Empoli,it ITA,2. Serie B,7th,15,6,578,6.4,0,2,2,0,0,0,0,0,1.8,1.8,1.1,2.9,5,10,43,0.00,0.31,0.31,0.00,0.31,0.27,0.17,0.45,0.27,0.45,Matches
Stefano Moreo,Pisa,2020-2021,27,Empoli,it ITA,2. Serie B,1st,31,12,1351,15.0,4,0,4,4,0,0,3,0,5.3,5.3,1.7,7.0,30,41,80,0.27,0.00,0.27,0.27,0.27,0.36,0.11,0.47,0.36,0.47,Matches
Stefano Moreo,Pisa,2021-2022,28,Brescia,it ITA,2. Serie B,5th,38,23,2301,25.6,9,4,13,9,0,0,4,0,6.0,6.0,3.4,9.5,47,83,157,0.35,0.16,0.51,0.35,0.51,0.24,0.13,0.37,0.24,0.37,Matches
Stefano Moreo,Pisa,2022-2023,29,Brescia,it ITA,2. Serie B,16th,19,17,1423,15.8,2,1,3,2,0,1,2,0,3.3,2.5,0.6,3.1,16,38,73,0.13,0.06,0.19,0.13,0.19,0.21,0.04,0.25,0.16,0.20,Matches
Stefano Moreo,Pisa,2022-2023,29,Pisa,it ITA,2. Serie B,11th,17,12,1029,11.4,2,0,2,2,0,0,1,0,2.0,2.0,0.4,2.5,8,13,59,0.17,0.00,0.17,0.17,0.17,0.18,0.04,0.22,0.18,0.22,Matches
Stefano Moreo,Pisa,2023-2024,30,Pisa,it ITA,2. Serie B,13th,33,25,2013,22.4,4,2,6,4,0,0,4,0,5.0,5.0,3.1,8.1,29,47,102,0.18,0.09,0.27,0.18,0.27,0.23,0.14,0.36,0.23,0.36,Matches
Stefano Moreo,Pisa,2024-2025,31,Pisa,it ITA,2. Serie B,2nd,35,31,2677,29.7,7,6,13,7,0,0,2,0,7.1,7.1,6.2,13.3,45,64,125,0.24,0.20,0.44,0.24,0.44,0.24,0.21,0.45,0.24,0.45,Matches
Stefano Moreo,Pisa,2025-2026,32,Pisa,it ITA,1. Serie A,12th,1,1,61,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,2,2,0.00,0.00,0.00,0.00,0.00,0.43,0.07,0.51,0.43,0.51,Matches
Stefano Moreo,Pisa,11 Seasons,11 Seasons,6 Clubs,,2 Leagues,,263,171,15499,172.2,37,25,62,37,0,1,25,0,36.9,36.1,19.8,56.0,216,345,795,0.21,0.15,0.36,0.21,0.36,0.25,0.13,0.39,0.25,0.38,
Stefano Moreo,Pisa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefano Moreo,Pisa,Pisa (4 Seasons),Pisa (4 Seasons),Pisa (4 Seasons),,2 Leagues,,86,69,5780,64.2,13,8,21,13,0,0,7,0,14.5,14.5,9.7,24.2,82,126,288,0.20,0.12,0.33,0.20,0.33,0.23,0.15,0.38,0.23,0.38,
Stefano Moreo,Pisa,Brescia (2 Seasons),Brescia (2 Seasons),Brescia (2 Seasons),,1 League,,57,40,3724,41.4,11,5,16,11,0,1,6,0,9.3,8.6,4.0,12.6,63,121,230,0.27,0.12,0.39,0.27,0.39,0.23,0.10,0.32,0.21,0.30,
Stefano Moreo,Pisa,Empoli (2 Seasons),Empoli (2 Seasons),Empoli (2 Seasons),,1 League,,46,18,1929,21.4,4,2,6,4,0,0,3,0,7.1,7.1,2.8,9.9,35,51,123,0.19,0.09,0.28,0.19,0.28,0.33,0.13,0.46,0.33,0.46,
Stefano Moreo,Pisa,Palermo (2 Seasons),Palermo (2 Seasons),Palermo (2 Seasons),,1 League,,46,25,2378,26.4,6,6,12,6,0,0,5,0,6.0,6.0,3.3,9.3,36,47,154,0.23,0.23,0.45,0.23,0.45,0.30,0.16,0.46,0.30,0.46,
Stefano Moreo,Pisa,Virtus Entella (2 Seasons),Virtus Entella (2 Seasons),Virtus Entella (2 Seasons),,1 League,,8,4,364,4.0,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.25,0.25,0.00,0.25,,,,,,
Stefano Moreo,Pisa,Venezia (1 Season),Venezia (1 Season),Venezia (1 Season),,1 League,,20,15,1324,14.7,3,3,6,3,0,0,3,0,,,,,,,,0.20,0.20,0.41,0.20,0.41,,,,,,
Stefano Moreo,Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefano Moreo,Pisa,Serie B (10 Seasons),Serie B (10 Seasons),Serie B (10 Seasons),,,,262,170,15438,171.5,37,25,62,37,0,1,25,0,36.6,35.8,19.8,55.6,216,343,793,0.22,0.15,0.36,0.22,0.36,0.25,0.14,0.38,0.24,0.38,
Stefano Moreo,Pisa,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,61,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,2,2,0.00,0.00,0.00,0.00,0.00,0.43,0.07,0.51,0.43,0.51,
