Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gianluca Mancini,Roma,2015-2016,19,Perugia,it ITA,2. Serie B,10th,12,11,914,10.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Gianluca Mancini,Roma,2016-2017,20,Perugia,it ITA,2. Serie B,4th,13,12,1019,11.3,1,0,1,1,0,0,3,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Matches
Gianluca Mancini,Roma,2017-2018,21,Atalanta,it ITA,1. Serie A,7th,11,8,684,7.6,1,0,1,1,0,0,6,1,0.9,0.9,0.0,0.9,7,27,2,0.13,0.00,0.13,0.13,0.13,0.12,0.00,0.12,0.12,0.12,Matches
Gianluca Mancini,Roma,2018-2019,22,Atalanta,it ITA,1. Serie A,3rd,30,25,2246,25.0,5,2,7,5,0,0,5,0,5.3,5.3,1.4,6.7,26,90,20,0.20,0.08,0.28,0.20,0.28,0.21,0.06,0.27,0.21,0.27,Matches
Gianluca Mancini,Roma,2019-2020,23,Roma,it ITA,1. Serie A,5th,32,31,2740,30.4,1,0,1,1,0,0,16,1,2.6,2.6,0.8,3.4,19,114,14,0.03,0.00,0.03,0.03,0.03,0.09,0.03,0.11,0.09,0.11,Matches
Gianluca Mancini,Roma,2020-2021,24,Roma,it ITA,1. Serie A,7th,33,33,2852,31.7,4,2,6,4,0,0,10,0,2.7,2.7,0.8,3.5,42,150,27,0.13,0.06,0.19,0.13,0.19,0.09,0.03,0.11,0.09,0.11,Matches
Gianluca Mancini,Roma,2021-2022,25,Roma,it ITA,1. Serie A,6th,33,33,2878,32.0,0,0,0,0,0,0,16,1,2.4,2.3,0.3,2.6,30,137,17,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Gianluca Mancini,Roma,2022-2023,26,Roma,it ITA,1. Serie A,6th,35,33,2858,31.8,1,2,3,1,0,0,7,0,2.5,2.5,1.6,4.1,17,93,19,0.03,0.06,0.09,0.03,0.09,0.08,0.05,0.13,0.08,0.13,Matches
Gianluca Mancini,Roma,2023-2024,27,Roma,it ITA,1. Serie A,6th,36,34,2869,31.9,4,1,5,4,0,0,9,0,1.9,1.9,1.1,3.0,38,139,13,0.13,0.03,0.16,0.13,0.16,0.06,0.04,0.10,0.06,0.10,Matches
Gianluca Mancini,Roma,2024-2025,28,Roma,it ITA,1. Serie A,5th,37,36,3143,34.9,2,0,2,2,0,0,8,0,1.7,1.7,0.9,2.6,45,139,23,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,Matches
Gianluca Mancini,Roma,2025-2026,29,Roma,it ITA,1. Serie A,6th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gianluca Mancini,Roma,11 Seasons,11 Seasons,3 Clubs,,2 Leagues,,273,257,22293,247.7,19,7,26,19,0,0,82,3,20.1,20.0,6.9,26.9,225,891,135,0.08,0.03,0.10,0.08,0.10,0.09,0.03,0.12,0.09,0.12,
Gianluca Mancini,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gianluca Mancini,Roma,Roma (7 Seasons),Roma (7 Seasons),Roma (7 Seasons),,1 League,,207,201,17430,193.7,12,5,17,12,0,0,67,2,13.8,13.8,5.5,19.2,192,774,113,0.06,0.03,0.09,0.06,0.09,0.07,0.03,0.10,0.07,0.10,
Gianluca Mancini,Roma,Atalanta (2 Seasons),Atalanta (2 Seasons),Atalanta (2 Seasons),,1 League,,41,33,2930,32.6,6,2,8,6,0,0,11,1,6.3,6.3,1.4,7.7,33,117,22,0.18,0.06,0.25,0.18,0.25,0.19,0.04,0.24,0.19,0.24,
Gianluca Mancini,Roma,Perugia (2 Seasons),Perugia (2 Seasons),Perugia (2 Seasons),,1 League,,25,23,1933,21.5,1,0,1,1,0,0,4,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,
Gianluca Mancini,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gianluca Mancini,Roma,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,248,234,20360,226.2,18,7,25,18,0,0,78,3,20.1,20.0,6.9,26.9,225,891,135,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12,
Gianluca Mancini,Roma,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,25,23,1933,21.5,1,0,1,1,0,0,4,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,
