Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mile Svilar,Roma,2016-2017,16,Anderlecht,be BEL,1. First Division A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mile Svilar,Roma,2017-2018,17,Benfica,pt POR,1. Primeira Liga,2nd,3,3,270,3.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mile Svilar,Roma,2018-2019,18,Benfica,pt POR,1. Primeira Liga,1st,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mile Svilar,Roma,2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mile Svilar,Roma,2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mile Svilar,Roma,2021-2022,21,Benfica,pt POR,1. Primeira Liga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mile Svilar,Roma,2022-2023,22,Roma,it ITA,1. Serie A,6th,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mile Svilar,Roma,2023-2024,23,Roma,it ITA,1. Serie A,6th,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mile Svilar,Roma,2024-2025,24,Roma,it ITA,1. Serie A,5th,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mile Svilar,Roma,2025-2026,25,Roma,it ITA,1. Serie A,6th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mile Svilar,Roma,10 Seasons,10 Seasons,3 Clubs,,3 Leagues,,63,62,5583,62.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mile Svilar,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mile Svilar,Roma,Benfica (5 Seasons),Benfica (5 Seasons),Benfica (5 Seasons),,1 League,,6,5,453,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mile Svilar,Roma,Roma (4 Seasons),Roma (4 Seasons),Roma (4 Seasons),,1 League,,57,57,5130,57.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mile Svilar,Roma,Anderlecht (1 Season),Anderlecht (1 Season),Anderlecht (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mile Svilar,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mile Svilar,Roma,Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,6,5,453,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mile Svilar,Roma,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,57,57,5130,57.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mile Svilar,Roma,First Division A (1 Season),First Division A (1 Season),First Division A (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
