Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Neil El Aynaoui,Roma,2021-2022,20,Nancy,fr FRA,2. Ligue 2,20th,24,17,1405,15.6,2,1,3,2,0,0,4,0,,,,,,,,0.13,0.06,0.19,0.13,0.19,,,,,,Matches
Neil El Aynaoui,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil El Aynaoui,Roma,2023-2024,22,Lens,fr FRA,1. Ligue 1,7th,25,17,1566,17.4,1,2,3,1,0,0,1,0,2.4,2.4,0.8,3.2,25,59,44,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,Matches
Neil El Aynaoui,Roma,2024-2025,23,Lens,fr FRA,1. Ligue 1,8th,24,17,1588,17.6,8,1,9,5,3,3,4,0,4.0,1.6,2.0,3.6,11,75,29,0.45,0.06,0.51,0.28,0.34,0.23,0.11,0.34,0.09,0.21,Matches
Neil El Aynaoui,Roma,2025-2026,24,Roma,it ITA,1. Serie A,6th,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,Matches
Neil El Aynaoui,Roma,4 Seasons,4 Seasons,3 Clubs,,3 Leagues,,74,51,4589,51.0,11,4,15,8,3,3,9,0,6.4,4.1,2.9,7.0,38,135,73,0.22,0.08,0.29,0.16,0.24,0.18,0.08,0.26,0.11,0.20,
Neil El Aynaoui,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Neil El Aynaoui,Roma,Lens (2 Seasons),Lens (2 Seasons),Lens (2 Seasons),,1 League,,49,34,3154,35.0,9,3,12,6,3,3,5,0,6.4,4.1,2.8,6.9,36,134,73,0.26,0.09,0.34,0.17,0.26,0.18,0.08,0.26,0.12,0.20,
Neil El Aynaoui,Roma,Nancy (1 Season),Nancy (1 Season),Nancy (1 Season),,1 League,,24,17,1405,15.6,2,1,3,2,0,0,4,0,,,,,,,,0.13,0.06,0.19,0.13,0.19,,,,,,
Neil El Aynaoui,Roma,Roma (1 Season),Roma (1 Season),Roma (1 Season),,1 League,,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,
Neil El Aynaoui,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil El Aynaoui,Roma,Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,49,34,3154,35.0,9,3,12,6,3,3,5,0,6.4,4.1,2.8,6.9,36,134,73,0.26,0.09,0.34,0.17,0.26,0.18,0.08,0.26,0.12,0.20,
Neil El Aynaoui,Roma,Ligue 2 (1 Season),Ligue 2 (1 Season),Ligue 2 (1 Season),,,,24,17,1405,15.6,2,1,3,2,0,0,4,0,,,,,,,,0.13,0.06,0.19,0.13,0.19,,,,,,
Neil El Aynaoui,Roma,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,
