Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Paulo Dybala,Roma,2012-2013,18,Palermo,it ITA,1. Serie A,18th,27,11,1261,14.0,3,0,3,3,0,0,2,0,,,,,,,,0.21,0.00,0.21,0.21,0.21,,,,,,Matches
Paulo Dybala,Roma,2013-2014,19,Palermo,it ITA,2. Serie B,1st,28,26,1919,21.3,5,5,10,5,0,1,4,0,,,,,,,,0.23,0.23,0.47,0.23,0.47,,,,,,
Paulo Dybala,Roma,2014-2015,20,Palermo,it ITA,1. Serie A,11th,34,34,2955,32.8,13,10,23,10,3,3,3,0,,,,,,,,0.40,0.30,0.70,0.30,0.61,,,,,,Matches
Paulo Dybala,Roma,2015-2016,21,Juventus,it ITA,1. Serie A,1st,34,29,2443,27.1,19,9,28,13,6,6,1,0,,,,,,,,0.70,0.33,1.03,0.48,0.81,,,,,,Matches
Paulo Dybala,Roma,2016-2017,22,Juventus,it ITA,1. Serie A,1st,31,26,2140,23.8,11,7,18,8,3,3,2,0,,,,,,,,0.46,0.29,0.76,0.34,0.63,,,,,,Matches
Paulo Dybala,Roma,2017-2018,23,Juventus,it ITA,1. Serie A,1st,33,26,2353,26.1,22,3,25,19,3,5,0,0,12.2,8.3,4.6,12.9,86,134,173,0.84,0.11,0.96,0.73,0.84,0.46,0.18,0.64,0.32,0.49,Matches
Paulo Dybala,Roma,2018-2019,24,Juventus,it ITA,1. Serie A,1st,30,24,2137,23.7,5,4,9,4,1,1,2,0,5.0,4.2,3.8,8.0,69,143,154,0.21,0.17,0.38,0.17,0.34,0.21,0.16,0.37,0.18,0.34,Matches
Paulo Dybala,Roma,2019-2020,25,Juventus,it ITA,1. Serie A,1st,33,25,2155,23.9,11,6,17,10,1,1,5,0,9.4,8.6,6.7,15.3,101,135,204,0.46,0.25,0.71,0.42,0.67,0.39,0.28,0.67,0.36,0.64,Matches
Paulo Dybala,Roma,2020-2021,26,Juventus,it ITA,1. Serie A,4th,20,14,1132,12.6,4,3,7,4,0,0,0,0,4.6,4.6,2.8,7.4,39,74,97,0.32,0.24,0.56,0.32,0.56,0.36,0.22,0.58,0.36,0.58,Matches
Paulo Dybala,Roma,2021-2022,27,Juventus,it ITA,1. Serie A,4th,29,26,2061,22.9,10,5,15,9,1,2,3,0,7.6,6.0,4.5,10.5,50,103,155,0.44,0.22,0.66,0.39,0.61,0.33,0.20,0.53,0.26,0.46,Matches
Paulo Dybala,Roma,2022-2023,28,Roma,it ITA,1. Serie A,6th,25,21,1739,19.3,12,6,18,7,5,5,5,0,9.3,5.3,6.8,12.2,56,75,109,0.62,0.31,0.93,0.36,0.67,0.48,0.35,0.83,0.28,0.63,Matches
Paulo Dybala,Roma,2023-2024,29,Roma,it ITA,1. Serie A,6th,28,25,1959,21.8,13,9,22,6,7,7,3,0,10.6,5.1,4.3,9.4,79,122,167,0.60,0.41,1.01,0.28,0.69,0.49,0.20,0.68,0.23,0.43,Matches
Paulo Dybala,Roma,2024-2025,30,Roma,it ITA,1. Serie A,5th,24,16,1417,15.7,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,122,0.38,0.19,0.57,0.19,0.38,0.40,0.32,0.72,0.25,0.57,Matches
Paulo Dybala,Roma,2025-2026,31,Roma,it ITA,1. Serie A,6th,1,0,17,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,Matches
Paulo Dybala,Roma,14 Seasons,14 Seasons,3 Clubs,,2 Leagues,,377,303,25688,285.4,134,70,204,101,33,37,32,0,65.1,46.3,38.5,84.9,525,865,1181,0.47,0.25,0.71,0.35,0.60,0.39,0.23,0.62,0.28,0.51,
Paulo Dybala,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
