Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stephan El Shaarawy,Roma,2008-2009,15,Genoa,it ITA,1. Serie A,5th,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Stephan El Shaarawy,Roma,2009-2010,16,Genoa,it ITA,1. Serie A,9th,2,0,44,0.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Stephan El Shaarawy,Roma,2010-2011,17,Padova,it ITA,2. Serie B,5th,25,19,1615,17.9,7,0,7,7,0,0,0,0,,,,,,,,0.39,0.00,0.39,0.39,0.39,,,,,,
Stephan El Shaarawy,Roma,2011-2012,18,Milan,it ITA,1. Serie A,2nd,22,6,799,8.9,2,2,4,2,0,0,1,0,,,,,,,,0.23,0.23,0.45,0.23,0.45,,,,,,Matches
Stephan El Shaarawy,Roma,2012-2013,19,Milan,it ITA,1. Serie A,3rd,37,34,2825,31.4,16,5,21,16,0,0,3,0,,,,,,,,0.51,0.16,0.67,0.51,0.67,,,,,,Matches
Stephan El Shaarawy,Roma,2013-2014,20,Milan,it ITA,1. Serie A,8th,6,1,213,2.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Stephan El Shaarawy,Roma,2014-2015,21,Milan,it ITA,1. Serie A,10th,18,14,1194,13.3,3,3,6,3,0,0,3,0,,,,,,,,0.23,0.23,0.45,0.23,0.45,,,,,,Matches
Stephan El Shaarawy,Roma,2015-2016,22,Monaco,fr FRA,1. Ligue 1,3rd,15,7,681,7.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Stephan El Shaarawy,Roma,2015-2016,22,Roma,it ITA,1. Serie A,3rd,16,15,1191,13.2,8,2,10,8,0,0,0,0,,,,,,,,0.60,0.15,0.76,0.60,0.76,,,,,,Matches
Stephan El Shaarawy,Roma,2016-2017,23,Roma,it ITA,1. Serie A,2nd,32,19,1630,18.1,8,3,11,8,0,0,0,0,,,,,,,,0.44,0.17,0.61,0.44,0.61,,,,,,Matches
Stephan El Shaarawy,Roma,2017-2018,24,Roma,it ITA,1. Serie A,3rd,33,25,2155,23.9,7,5,12,7,0,0,1,0,8.9,8.9,3.7,12.6,78,100,249,0.29,0.21,0.50,0.29,0.50,0.37,0.16,0.53,0.37,0.53,Matches
Stephan El Shaarawy,Roma,2018-2019,25,Roma,it ITA,1. Serie A,6th,28,23,2104,23.4,11,3,14,11,0,0,2,0,7.6,7.6,5.0,12.6,104,96,185,0.47,0.13,0.60,0.47,0.60,0.32,0.22,0.54,0.32,0.54,Matches
Stephan El Shaarawy,Roma,2019,26,Shanghai Shen,cn CHN,1. Super League,13th,10,5,473,5.3,1,2,3,1,0,0,1,0,,,,,,,,0.19,0.38,0.57,0.19,0.57,,,,,,Matches
Stephan El Shaarawy,Roma,2020,27,Shanghai Shen,cn CHN,1. Super League,8th,6,5,376,4.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Stephan El Shaarawy,Roma,2020-2021,27,Roma,it ITA,1. Serie A,7th,10,6,572,6.4,1,1,2,1,0,0,1,0,1.3,1.3,1.1,2.4,27,22,61,0.16,0.16,0.31,0.16,0.31,0.21,0.17,0.38,0.21,0.38,Matches
Stephan El Shaarawy,Roma,2021-2022,28,Roma,it ITA,1. Serie A,6th,27,8,1055,11.7,3,0,3,3,0,0,1,0,2.7,2.7,3.0,5.7,58,78,105,0.26,0.00,0.26,0.26,0.26,0.23,0.26,0.49,0.23,0.49,Matches
Stephan El Shaarawy,Roma,2022-2023,29,Roma,it ITA,1. Serie A,6th,29,14,1523,16.9,7,2,9,7,0,0,3,0,5.6,5.6,1.4,7.0,58,66,136,0.41,0.12,0.53,0.41,0.53,0.33,0.08,0.41,0.33,0.41,Matches
Stephan El Shaarawy,Roma,2023-2024,30,Roma,it ITA,1. Serie A,6th,33,19,1738,19.3,3,4,7,3,0,0,2,0,2.5,2.5,2.3,4.8,46,44,131,0.16,0.21,0.36,0.16,0.36,0.13,0.12,0.25,0.13,0.25,Matches
Stephan El Shaarawy,Roma,2024-2025,31,Roma,it ITA,1. Serie A,5th,31,12,1098,12.2,3,4,7,3,0,0,2,0,2.7,2.7,1.2,3.9,42,49,77,0.25,0.33,0.57,0.25,0.57,0.22,0.10,0.32,0.22,0.32,Matches
Stephan El Shaarawy,Roma,2025-2026,32,Roma,it ITA,1. Serie A,6th,1,1,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,4,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
Stephan El Shaarawy,Roma,18 Seasons,18 Seasons,6 Clubs,,4 Leagues,,382,233,21354,237.3,80,36,116,80,0,0,23,0,31.3,31.3,17.8,49.1,418,459,947,0.34,0.15,0.49,0.34,0.49,0.27,0.16,0.43,0.27,0.43,
Stephan El Shaarawy,Roma,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stephan El Shaarawy,Roma,Roma (10 Seasons),Roma (10 Seasons),Roma (10 Seasons),,1 League,,240,142,13126,145.8,51,24,75,51,0,0,12,0,31.3,31.3,17.8,49.1,418,459,947,0.35,0.16,0.51,0.35,0.51,0.27,0.16,0.43,0.27,0.43,
Stephan El Shaarawy,Roma,Milan (4 Seasons),Milan (4 Seasons),Milan (4 Seasons),,1 League,,83,55,5031,55.9,21,10,31,21,0,0,8,0,,,,,,,,0.38,0.18,0.55,0.38,0.55,,,,,,
Stephan El Shaarawy,Roma,Shanghai Shen (2 Seasons),Shanghai Shen (2 Seasons),Shanghai Shen (2 Seasons),,1 League,,16,10,849,9.4,1,2,3,1,0,0,1,0,,,,,,,,0.11,0.21,0.32,0.11,0.32,,,,,,
Stephan El Shaarawy,Roma,Genoa (2 Seasons),Genoa (2 Seasons),Genoa (2 Seasons),,1 League,,3,0,52,0.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Stephan El Shaarawy,Roma,Padova (1 Season),Padova (1 Season),Padova (1 Season),,1 League,,25,19,1615,17.9,7,0,7,7,0,0,0,0,,,,,,,,0.39,0.00,0.39,0.39,0.39,,,,,,
Stephan El Shaarawy,Roma,Monaco (1 Season),Monaco (1 Season),Monaco (1 Season),,1 League,,15,7,681,7.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Stephan El Shaarawy,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephan El Shaarawy,Roma,Serie A (16 Seasons),Serie A (16 Seasons),Serie A (16 Seasons),,,,326,197,18209,202.3,72,34,106,72,0,0,21,0,31.3,31.3,17.8,49.1,418,459,947,0.36,0.17,0.52,0.36,0.52,0.27,0.16,0.43,0.27,0.43,
Stephan El Shaarawy,Roma,Super League (2 Seasons),Super League (2 Seasons),Super League (2 Seasons),,,,16,10,849,9.4,1,2,3,1,0,0,1,0,,,,,,,,0.11,0.21,0.32,0.11,0.32,,,,,,
Stephan El Shaarawy,Roma,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,25,19,1615,17.9,7,0,7,7,0,0,0,0,,,,,,,,0.39,0.00,0.39,0.39,0.39,,,,,,
Stephan El Shaarawy,Roma,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,15,7,681,7.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
