Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alieu Fadera,Sassuolo,2021-2022,19,Zulte Waregem,be BEL,1. First Division A,16th,18,6,650,7.2,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.9,15,28,48,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
Alieu Fadera,Sassuolo,2022-2023,20,Zulte Waregem,be BEL,1. Pro League A,17th,33,31,2716,30.2,6,6,12,6,0,0,7,0,6.2,6.2,6.3,12.5,141,61,233,0.20,0.20,0.40,0.20,0.40,0.21,0.21,0.42,0.21,0.42,Matches
Alieu Fadera,Sassuolo,2023-2024,21,Genk,be BEL,1. Pro League A,5th,16,12,965,10.7,3,1,4,3,0,0,3,0,2.5,2.5,5.2,7.8,38,24,111,0.28,0.09,0.37,0.28,0.37,0.24,0.49,0.73,0.24,0.73,Matches
Alieu Fadera,Sassuolo,2024-2025,22,Genk,be BEL,1. Pro League A,3rd,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,8,5,24,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14,Matches
Alieu Fadera,Sassuolo,2024-2025,22,Como,it ITA,1. Serie A,10th,28,20,1644,18.3,1,3,4,1,0,0,2,1,1.7,1.7,4.0,5.7,74,36,160,0.05,0.16,0.22,0.05,0.22,0.09,0.22,0.31,0.09,0.31,Matches
Alieu Fadera,Sassuolo,2025-2026,23,Sassuolo,it ITA,1. Serie A,19th,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
Alieu Fadera,Sassuolo,5 Seasons,5 Seasons,4 Clubs,,2 Leagues,,98,71,6173,68.6,10,10,20,10,0,0,17,1,11.0,11.0,16.3,27.3,278,154,577,0.15,0.15,0.29,0.15,0.29,0.16,0.24,0.40,0.16,0.40,
Alieu Fadera,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alieu Fadera,Sassuolo,Zulte Waregem (2 Seasons),Zulte Waregem (2 Seasons),Zulte Waregem (2 Seasons),,1 League,,51,37,3366,37.4,6,6,12,6,0,0,11,0,6.6,6.6,6.9,13.5,156,89,281,0.16,0.16,0.32,0.16,0.32,0.18,0.18,0.36,0.18,0.36,
Alieu Fadera,Sassuolo,Genk (2 Seasons),Genk (2 Seasons),Genk (2 Seasons),,1 League,,18,14,1145,12.7,3,1,4,3,0,0,4,0,2.7,2.7,5.4,8.1,46,29,135,0.24,0.08,0.31,0.24,0.31,0.21,0.42,0.63,0.21,0.63,
Alieu Fadera,Sassuolo,Como (1 Season),Como (1 Season),Como (1 Season),,1 League,,28,20,1644,18.3,1,3,4,1,0,0,2,1,1.7,1.7,4.0,5.7,74,36,160,0.05,0.16,0.22,0.05,0.22,0.09,0.22,0.31,0.09,0.31,
Alieu Fadera,Sassuolo,Sassuolo (1 Season),Sassuolo (1 Season),Sassuolo (1 Season),,1 League,,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,
Alieu Fadera,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alieu Fadera,Sassuolo,First Division A (4 Seasons),First Division A (4 Seasons),First Division A (4 Seasons),,,,69,51,4511,50.1,9,7,16,9,0,0,15,0,9.3,9.3,12.3,21.5,202,118,416,0.18,0.14,0.32,0.18,0.32,0.18,0.24,0.43,0.18,0.43,
Alieu Fadera,Sassuolo,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,29,20,1662,18.5,1,3,4,1,0,0,2,1,1.7,1.7,4.0,5.8,76,36,161,0.05,0.16,0.22,0.05,0.22,0.09,0.22,0.31,0.09,0.31,
